"genes","ERR2984230","ERR2984231","ERR2984232","ERR2984233","ERR2984242","ERR2984243","ERR2984244","ERR2984245"
"GNAI1|GNAI1",167,118,191,86,336,287,171,114
"CD36|CD36",11467,5821,9864,6765,24548,11958,11401,11185
"TMEM60|TMEM60",238,267,241,214,356,216,239,315
"MAGI2|MAGI2",52,44,45,13,140,60,70,69
"RSBN1L|RSBN1L",551,407,476,276,1276,481,513,570
"PTPN12|PTPN12",1112,793,1202,724,2222,807,886,980
"ARMC10|ARMC10",37,30,67,38,64,35,60,44
"LRRC17|LRRC17",11,8,0,0,21,20,11,4
"NAPEPLD|NAPEPLD",605,374,607,371,1163,612,557,740
"GSAP|GSAP",907,537,608,497,1762,691,719,868
"CCDC146|CCDC146",26,3,14,12,14,37,0,14
"LOC107051626|LOC107051626",20,6,5,10,7,10,0,11
"FGL2|FGL2",621,114,302,94,929,758,541,623
"FAM185A|FAM185A",193,69,161,100,393,156,231,202
"PMPCB|PMPCB",1120,875,1337,951,2010,908,808,1011
"PSMC2|PSMC2",3117,2392,3681,2839,5694,2571,2306,2534
"ORC5|ORC5",142,139,212,89,299,118,134,134
"RELN|RELN",785,430,498,250,2134,751,567,719
"SLC26A5|SLC26A5",4327,1848,3721,1273,9860,5605,4076,5140
"LOC101752215|LOC101752215",208,159,60,79,379,131,99,119
"KMT2E|KMT2E",2412,1347,1336,787,3864,1428,2279,2341
"LOC107051628|LOC107051628",43,79,27,87,74,40,60,52
"SRPK2|SRPK2",440,343,380,260,912,403,203,452
"RINT1|RINT1",470,255,366,314,833,275,368,296
"CCDC71L|CCDC71L",232,278,268,270,628,322,243,198
"ATXN7L1|ATXN7L1",985,610,657,465,1941,718,895,748
"CDHR3|CDHR3",25,19,18,32,55,45,51,46
"SYPL1|SYPL1",528,623,825,500,1569,399,470,682
"NAMPT|NAMPT",3457,2512,3337,2215,7800,2300,3298,2248
"PRKAR2B|PRKAR2B",198,183,143,78,330,118,146,115
"HBP1|HBP1",1293,587,916,307,2702,1105,1483,1566
"COG5|COG5",666,604,591,529,1269,564,538,595
"BCAP29|BCAP29",2375,1837,1877,1802,4084,2476,2299,2354
"DLD|DLD",5540,3267,5357,4061,9759,3772,3861,4747
"LRRK2|LRRK2",407,173,214,76,671,189,211,248
"LAMB4|LAMB4",27,7,21,11,41,11,21,21
"SLC2A13|SLC2A13",1469,1033,1850,926,3730,1147,1297,1393
"C12orf40|C12orf40",69,26,40,25,123,54,47,57
"ABCD2|ABCD2",1448,856,1172,906,3222,1530,1485,1821
"LOC107051634|LOC107051634",273,440,248,711,467,406,508,274
"KIF21A|KIF21A",2320,1695,2737,1513,5960,2413,2883,2370
"ALG10|ALG10",319,209,305,200,625,285,261,350
"TPRKB|TPRKB",362,311,431,316,547,250,256,345
"TRMU|TRMU",483,329,351,319,688,296,383,287
"HIST1H2B5L|HIST1H2B5L",114,127,159,47,222,109,92,59
"GRAMD4|GRAMD4",227,161,305,81,613,167,131,201
"CELSR1|CELSR1",758,503,591,279,1301,419,585,378
"TBC1D22A|TBC1D22A",913,518,725,435,1828,649,790,783
"BRD1|BRD1",666,591,572,413,1538,740,836,871
"ZBED4|ZBED4",743,420,775,382,1457,572,420,493
"LOC112533147|LOC112533147",157,94,137,103,200,106,224,221
"PIM3|PIM3",1983,1025,2164,1091,2220,1342,2039,2187
"MOV10L1|MOV10L1",16,0,0,5,42,19,28,19
"LOC429348|LOC429348",687,160,220,159,155,137,97,52
"TRABD|TRABD",2900,1677,2894,1441,3952,953,1118,1187
"SELENOO|SELENOO",2020,1431,1487,990,3825,1360,1307,1665
"MAPK12|MAPK12",98,86,65,70,136,58,140,118
"MAPK11|MAPK11",223,202,253,180,452,128,105,168
"TUBGCP6|TUBGCP6",303,143,245,137,579,232,298,345
"HDAC10|HDAC10",581,467,415,306,1128,494,593,788
"ZNF800|ZNF800",187,138,208,144,379,171,198,218
"ARL8BL|ARL8BL",12,10,15,14,20,34,9,5
"WASL|WASL",949,651,1084,630,2064,763,869,759
"IQUB|IQUB",92,93,72,52,169,68,62,61
"NDUFA5|NDUFA5",839,1103,1094,1386,1457,908,951,937
"ATP6AP1|ATP6AP1",1626,661,1271,939,3134,1737,1722,1791
"LOC107052612|LOC107052612",15,5,17,5,9,12,17,19
"CADPS2|CADPS2",43,21,40,16,93,78,75,74
"FAM3C|FAM3C",626,312,511,325,982,464,659,594
"AASS|AASS",5067,2163,3151,1970,8617,3292,3090,3298
"CPED1|CPED1",215,63,142,143,442,137,200,320
"LSM8|LSM8",159,175,153,143,239,148,180,121
"ANKRD26|ANKRD26",222,126,168,97,394,156,258,222
"CTTNBP2|CTTNBP2",36,14,12,6,55,42,11,31
"TSPAN12|TSPAN12",4677,4036,4396,3550,10038,5613,7222,6139
"ST7|ST7",485,341,502,367,1027,351,433,309
"CAPZA2|CAPZA2",2136,1295,2306,1606,4363,2409,1922,2173
"CAV2|CAV2",30,23,41,22,56,27,17,20
"CAV1|CAV1",20,12,32,8,21,21,16,12
"TES|TES",99,52,133,20,107,126,92,73
"TFEC|TFEC",20,0,14,3,27,25,38,20
"MET|MET",1494,1354,1269,1019,3450,1590,1981,2353
"MDFIC|MDFIC",276,115,176,125,431,225,181,197
"LOC107052650|LOC107052650",519,471,826,368,931,677,501,403
"FOXP2|FOXP2",608,517,498,576,1670,1588,1225,804
"TMEM168|TMEM168",836,621,836,516,1671,993,754,904
"ZNF277|ZNF277",152,121,182,131,335,149,133,126
"IFRD1|IFRD1",3878,2306,4203,2688,4729,2776,5095,4235
"IMMP2L|IMMP2L",381,226,349,343,656,386,341,282
"THAP5|THAP5",502,306,502,405,814,362,359,305
"PNPLA8|PNPLA8",625,458,556,403,1262,713,755,929
"NRCAM|NRCAM",13,6,12,6,23,11,8,5
"GXYLT1|GXYLT1",295,154,290,162,482,248,224,242
"PRICKLE1|PRICKLE1",104,60,76,34,216,56,76,83
"ZCRB1|ZCRB1",437,397,440,340,696,347,539,398
"PUS7L|PUS7L",258,114,169,175,371,213,276,196
"TWF1|TWF1",726,603,913,217,1550,499,525,624
"ANO6|ANO6",15,0,22,0,20,20,0,15
"LOC112533246|LOC112533246",126,30,164,23,240,60,105,111
"LOC101749362|LOC101749362",272,217,187,211,624,294,284,356
"ARID2|ARID2",521,388,437,353,956,506,684,681
"SLC38A1|SLC38A1",323,175,291,161,328,227,249,329
"SLC38A2|SLC38A2",8162,5227,5382,6011,12388,4776,7848,5964
"LOC112533249|LOC112533249",19,11,41,15,47,17,28,87
"LRIG3|LRIG3",0,8,10,0,0,28,15,14
"SLC16A7|SLC16A7",245,55,118,65,291,223,133,179
"RPAP3|RPAP3",499,441,467,359,901,427,443,480
"SLC38A4|SLC38A4",18545,11366,14605,11526,44518,18495,25246,22969
"LOC101749586|LOC101749586",1208,1491,968,2743,2181,2726,3225,1541
"FAM19A2|FAM19A2",14,9,11,6,24,6,23,21
"LOC107052719|LOC107052719",2034,6936,9292,8580,24865,5552,4875,6805
"LOC107052718|LOC107052718",5844,5932,11963,6534,21574,4292,6416,6661
"MON2|MON2",2589,1408,2639,1135,6813,2394,2197,2608
"TMEM5|TMEM5",178,208,207,110,438,178,199,196
"PPM1H|PPM1H",414,224,374,131,923,327,315,460
"SRGAP1|SRGAP1",203,68,180,92,375,352,149,164
"C1H12ORF66|C1H12ORF66",2246,1830,2113,1885,3791,1914,2219,1952
"RPL18A|RPL18A",2224,4246,3881,5005,5328,3982,3890,3026
"XPOT|XPOT",1833,1307,2353,1084,4563,2060,1900,2049
"TBK1|TBK1",932,375,426,276,1227,574,918,767
"RASSF3|RASSF3",6703,3656,4914,3207,12493,5789,8365,8674
"TBC1D30|TBC1D30",659,320,652,225,1169,398,320,492
"LEMD3|LEMD3",415,270,300,232,729,248,367,361
"GNS|GNS",9382,4952,8533,4697,19213,8210,8588,8584
"MSRB3|MSRB3",494,614,523,608,2606,1048,1219,1340
"LLPH|LLPH",347,500,490,621,588,398,482,473
"HELB|HELB",961,729,627,741,1733,833,1128,782
"DYRK2|DYRK2",317,228,338,240,635,352,329,392
"CAND1|CAND1",1976,1053,2199,960,4025,1420,1073,1325
"MDM1|MDM1",278,301,336,186,763,384,342,294
"LOC101752108|LOC101752108",31,20,27,20,90,31,61,31
"RAP1B|RAP1B",1643,1151,1643,1088,2684,1579,1460,1247
"NUP107|NUP107",922,933,821,708,1968,876,701,802
"SLC35E3|SLC35E3",1086,1239,1168,1035,2171,753,925,592
"MDM2|MDM2",1939,1086,1621,789,3593,1274,1525,1650
"CPM|CPM",43,6,25,20,57,32,22,22
"FRS2|FRS2",391,281,372,201,700,326,360,393
"CPSF6|CPSF6",1177,780,1035,635,2195,991,821,910
"LOC107052751|LOC107052751",190,355,89,304,343,125,234,168
"LYZ|LYZ",328,814,627,256,546,4058,455,1886
"YEATS4|YEATS4",344,357,283,412,561,264,386,303
"RAB3IP|RAB3IP",790,704,1019,557,1925,982,1142,953
"CNOT2|CNOT2",864,552,797,521,1456,650,775,660
"TSPAN8|TSPAN8",60,53,108,44,107,52,46,34
"LOC101747919|LOC101747919",55,12,38,42,60,18,65,82
