"genes","ERR2984230","ERR2984231","ERR2984232","ERR2984233","ERR2984242","ERR2984243","ERR2984244","ERR2984245"
"LOC107052938|LOC107052938",11,6,17,20,26,16,21,0
"LOC112532068|LOC112532068",68,54,27,55,78,48,58,83
"LOC107052939|LOC107052939",12,74,17,70,20,27,28,35
"PKDCCA|PKDCCA",669,557,623,508,1041,618,600,893
"LOC112532101|LOC112532101",9,13,9,14,17,8,12,12
"EML4|EML4",711,501,537,369,1237,547,635,565
"COX7A2L|COX7A2L",1570,1302,1544,1593,3194,1479,1629,1456
"MTA3|MTA3",213,205,169,132,339,123,99,167
"LOC107052935|LOC107052935",10,17,12,7,30,8,23,19
"HAAO|HAAO",4332,2408,5664,3193,5930,5927,3564,3617
"LOC101749926|LOC101749926",128,63,47,95,315,117,496,198
"LOC107052932|LOC107052932",23,18,14,13,107,50,75,39
"ZFP36L2|ZFP36L2",919,371,1192,255,2758,966,794,690
"PLEKHH2|PLEKHH2",97,32,47,40,178,64,79,103
"THADA|THADA",217,142,218,137,494,172,199,207
"LOC107052931|LOC107052931",41,16,11,25,62,46,57,60
"ABCG8|ABCG8",1084,641,857,648,2420,999,806,1187
"DYNC2LI1|DYNC2LI1",34,9,7,10,49,23,31,35
"ABCG5|ABCG5",813,526,866,611,1795,1150,761,1833
"LOC107052929|LOC107052929",20,7,12,0,28,10,4,12
"LRPPRC|LRPPRC",2872,2088,3215,1784,5830,1920,1884,2576
"SRBD1|SRBD1",297,181,272,144,517,239,276,295
"PPM1B|PPM1B",3913,3229,3884,2566,8672,3039,3290,4040
"PREPL|PREPL",661,732,399,410,1138,442,425,822
"SLC3A1|SLC3A1",1479,1083,1129,921,3747,948,1577,1906
"CAMKMT|CAMKMT",152,136,161,93,302,72,71,124
"LOC107052922|LOC107052922",34,18,33,31,48,30,33,51
"PIGF|PIGF",187,150,228,113,453,217,239,173
"RHOQ|RHOQ",28,11,26,0,54,19,19,32
"CRIPT|CRIPT",807,741,775,595,1919,962,1145,1276
"SOCS5|SOCS5",223,94,198,85,440,168,136,130
"EPAS1|EPAS1",37551,29736,63295,19184,101079,37574,25223,40265
"TTC7A|TTC7A",558,444,638,403,1139,296,229,249
"LOC107052921|LOC107052921",30,18,11,0,39,11,16,20
"MCFD2|MCFD2",12912,6698,11777,10388,24155,13002,10332,10634
"LOC421415|LOC421415",105,81,29,41,217,40,69,83
"CALM2|CALM2",3508,2212,3007,2047,6759,3349,2579,3070
"PPP1CB|PPP1CB",658,311,702,208,1518,731,574,700
"BRE|BRE",1899,1295,1758,1337,4281,1790,1985,1868
"RBKS|RBKS",851,567,1079,818,2705,1052,1232,1530
"MRPL33|MRPL33",683,986,1049,1051,1086,752,854,674
"LOC421419|LOC421419",4897,3983,4871,3550,9684,3745,4241,3473
"SUPT7L|SUPT7L",730,477,557,344,1338,575,695,734
"DAAM2|DAAM2",500,316,406,301,1371,463,479,576
"LOC101748090|LOC101748090",25,23,33,27,32,14,31,31
"MOCS1|MOCS1",10318,6487,9245,5328,17823,6531,7770,8289
"KCNK5|KCNK5",2223,1959,2622,1062,4624,1635,1641,1739
"SAYSD1|SAYSD1",221,192,205,226,537,393,315,258
"GLO1|GLO1",2071,1408,1934,1473,5056,2363,2424,2159
"BTBD9|BTBD9",352,96,290,42,866,257,244,400
"ZFAND3|ZFAND3",1187,957,1346,801,2499,1247,1076,1143
"LOC107052908|LOC107052908",16,18,18,17,42,13,16,43
"CMTR1|CMTR1",749,874,607,487,1334,798,843,891
"CCDC167|CCDC167",793,777,834,687,1808,562,533,535
"AARS2|AARS2",533,448,547,473,1067,486,639,545
"NFKBIE|NFKBIE",65,60,71,73,90,77,44,25
"SLC35B2|SLC35B2",561,458,603,432,1128,429,386,384
"HSP90AB1|HSP90AB1",369,370,322,340,338,208,165,274
"SLC29A1|SLC29A1",177,156,143,145,327,104,134,131
"LOC100858253|LOC100858253",7,27,11,13,12,22,6,6
"SPTBB4L|SPTBB4L",156,148,156,82,238,163,97,83
"CAPN11|CAPN11",1339,872,970,720,2323,1045,751,713
"LOC101750125|LOC101750125",24,57,41,41,50,30,25,31
"LOC107052902|LOC107052902",24,42,85,56,58,37,200,168
"LOC107052903|LOC107052903",11,24,15,7,36,4,19,7
"VEGFA|VEGFA",716,445,609,230,1734,609,699,559
"RSPH9|RSPH9",43,44,64,56,99,64,28,47
"MRPS18A|MRPS18A",1031,1013,1064,941,1785,885,867,854
"GTPBP2|GTPBP2",383,309,280,347,800,407,449,401
"EPHX1L|EPHX1L",15520,11141,14768,11657,29065,11680,10496,10062
"MAD2L1BP|MAD2L1BP",34,28,36,38,83,28,41,15
"POLH|POLH",575,481,510,558,1065,493,526,408
"POLR1C|POLR1C",440,597,540,607,842,377,409,352
"YIPF3|YIPF3",2137,1844,2588,2025,4241,2184,2199,2016
"TJAP1|TJAP1",338,304,269,224,739,262,351,277
"ABCC10|ABCC10",388,324,266,270,739,268,445,299
"FAM98A|FAM98A",1278,874,1368,847,2316,801,962,926
"TTC27|TTC27",461,320,597,306,956,372,247,370
"RASGRP3|RASGRP3",131,52,57,58,214,98,114,102
"LTBP1|LTBP1",515,249,359,136,708,413,321,235
"BIRC6|BIRC6",2547,1398,1757,1058,5419,1706,1707,2709
"YIPF4|YIPF4",1649,1165,1514,1086,3607,1404,1271,1540
"CDC42EP3|CDC42EP3",78,81,95,60,195,184,82,104
"RMDN2|RMDN2",1633,958,1604,909,3723,1274,1214,1367
"CYP1B1|CYP1B1",132,38,79,76,402,126,118,111
"NANP|NANP",932,634,989,504,1832,848,748,699
"EIF2AK2|EIF2AK2",852,729,694,448,1679,759,724,697
"GPATCH11|GPATCH11",260,217,280,243,499,229,216,296
"HEATR5B|HEATR5B",379,162,268,122,824,273,325,340
"STRN|STRN",861,553,582,398,1782,752,641,822
"FEZ2|FEZ2",201,146,208,142,396,201,173,217
"SLC30A6|SLC30A6",430,263,468,228,940,418,522,534
"PRKD3|PRKD3",547,323,285,211,1297,435,719,949
"QPCT|QPCT",1928,1825,64,1905,4800,123,2223,4702
"LOC107052889|LOC107052889",79,122,87,154,164,156,178,116
"CEBPZ|CEBPZ",819,516,852,504,1382,553,745,768
"NDUFAF7|NDUFAF7",602,521,635,571,972,475,405,459
"SPAST|SPAST",613,426,612,470,1258,615,606,529
"DPY30|DPY30",317,236,269,272,449,293,297,307
"MEMO1|MEMO1",1041,857,1288,1033,2089,707,655,601
"EFCAB2|EFCAB2",13,8,21,9,13,29,21,14
"KIF26B|KIF26B",4,11,6,0,11,14,13,11
"SMYD3|SMYD3",101,49,83,56,234,142,106,121
"AHCTF1|AHCTF1",1211,713,1067,555,2530,843,824,1043
"KIF28P|KIF28P",0,29,8,52,25,25,25,34
"LOC107052888|LOC107052888",18,5,13,0,13,12,0,11
"SCCPDH|SCCPDH",10135,8067,12217,7071,23108,10505,8883,8507
"LOC107052887|LOC107052887",36,10,4,12,15,13,15,5
"CNST|CNST",468,250,404,173,802,545,408,391
"TFB2M|TFB2M",492,443,546,369,802,536,520,392
"HNRNPU|HNRNPU",4223,3165,3674,2718,8185,3319,4509,3779
"COX20|COX20",620,546,612,578,996,532,678,735
"LOC107052981|LOC107052981",32,9,9,9,32,12,17,13
"ADSS|ADSS",316,189,313,150,596,415,260,196
"ZBTB18|ZBTB18",309,253,252,170,577,208,225,267
"PLD5|PLD5",96,64,87,89,355,153,83,180
"LOC112532110|LOC112532110",131,148,52,199,356,105,103,181
"AKT3|AKT3",43,10,11,0,63,23,29,24
"SDCCAG8|SDCCAG8",99,101,64,73,218,110,124,126
"CEP170|CEP170",176,71,112,46,315,117,123,199
"OPN3|OPN3",12,25,20,10,24,37,23,22
"LOC421506|LOC421506",327,200,270,180,407,208,240,201
"PIGM|PIGM",78,63,94,73,171,107,162,101
"GREM2|GREM2",19,9,35,6,27,16,0,28
"ACTN2|ACTN2",148,104,57,122,237,128,120,216
"MTR|MTR",4519,3216,2993,2670,8243,4216,5672,6146
"EDARADD|EDARADD",324,291,293,238,676,409,650,192
"HEATR1|HEATR1",840,649,699,445,1401,608,662,731
"GPR137B|GPR137B",157,71,72,47,291,133,152,112
"ERO1B|ERO1B",2403,1994,2746,1923,5043,2432,3094,2188
"NID1|NID1",418,188,382,161,1063,395,452,189
"LYST|LYST",770,520,529,432,2009,670,834,812
"LOC112532059|LOC112532059",46,68,48,68,109,75,98,88
"B3GALNT2|B3GALNT2",510,352,598,343,1130,411,506,457
"TBCE|TBCE",329,238,319,237,466,176,206,216
"GGPS1|GGPS1",480,312,426,325,787,423,382,379
"ARID4B|ARID4B",814,526,751,458,1616,794,858,902
"RBM34|RBM34",468,397,438,503,718,494,751,596
"LOC421515|LOC421515",156,111,42,92,355,143,463,262
"TOMM20|TOMM20",3117,2401,3366,2594,8636,4201,4085,3497
"IRF2BP2|IRF2BP2",973,1056,825,1168,2240,1688,1173,1227
"LOC101748561|LOC101748561",17,35,9,0,24,14,21,19
"LOC107053051|LOC107053051",3916,1485,1574,2052,6881,3842,5676,7132
"TARBP1|TARBP1",516,572,402,425,1136,411,633,669
"COA6|COA6",295,295,334,281,423,258,358,318
"SLC35F3|SLC35F3",24,15,34,14,35,47,0,9
"KCNK1|KCNK1",2172,1131,1902,1273,4585,1666,1895,1851
"MAP3K21|MAP3K21",412,253,526,235,833,341,394,339
"NTPCR|NTPCR",151,149,289,168,245,212,229,193
"MAP10|MAP10",75,24,45,60,150,107,160,98
"SIPA1L2|SIPA1L2",366,105,237,109,685,244,223,364
"DISC1|DISC1",113,17,95,30,92,93,61,82
"TSNAX|TSNAX",456,399,534,359,841,352,484,428
"EGLN1|EGLN1",676,510,809,475,1531,676,616,522
"SPRTN|SPRTN",781,673,815,497,1423,653,718,808
"EXOC8|EXOC8",241,139,279,192,528,194,209,242
"RHOU|RHOU",1708,2590,2634,1788,4241,1174,2821,1315
"LOC112532180|LOC112532180",50,47,35,39,20,8,10,11
"CCSAP|CCSAP",117,109,136,97,313,135,145,122
"ACTA1|ACTA1",11,6,50,14,48,62,29,0
"NUP133|NUP133",419,328,467,303,883,363,420,456
"ABCB10|ABCB10",654,385,510,367,1430,515,619,641
"TAF5L|TAF5L",1030,733,1208,692,1915,878,893,728
"GALNT2|GALNT2",609,358,556,394,1219,366,480,426
"C3H1ORF198|C3H1ORF198",225,100,142,117,409,206,145,136
"TTC13|TTC13",432,369,437,360,973,409,499,549
"ARV1|ARV1",436,348,405,272,736,458,691,544
"COG2|COG2",597,468,584,340,1313,513,510,559
"AGT|AGT",23621,14753,24613,14888,46536,18384,26063,19635
"C3H1ORF131|C3H1ORF131",361,717,589,776,820,456,371,495
"GNPAT|GNPAT",1662,2006,2449,1713,4430,1082,956,1986
"PDCD2|PDCD2",327,405,432,360,571,272,288,296
"TBP|TBP",461,483,468,368,802,448,368,411
"PSMB1|PSMB1",2414,2384,3287,3053,4449,2624,2088,2094
"FAM120B|FAM120B",669,293,584,278,1088,500,483,545
"DLL1|DLL1",536,332,417,392,1183,531,453,382
"LOC107053044|LOC107053044",276,139,203,189,458,182,270,258
"TCTE3|TCTE3",30,35,44,20,61,15,31,27
"THBS2|THBS2",16,42,14,15,68,93,34,77
"C3H6orf120|C3H6orf120",955,771,1111,677,1847,899,880,1028
"PHF10|PHF10",561,407,593,393,1014,518,552,463
"SMOC2|SMOC2",287,182,259,101,401,191,151,119
"LOC107053041|LOC107053041",35,17,24,8,44,9,12,21
"LOC112532176|LOC112532176",92,95,85,64,107,33,47,38
"FRMD1|FRMD1",118,51,126,52,62,244,125,81
"KIF25|KIF25",36,24,20,10,18,14,5,0
"CCR6|CCR6",30,0,15,6,31,28,11,29
"FGFR1OP|FGFR1OP",217,145,158,124,381,138,172,211
"RNASET2|RNASET2",1334,517,855,498,2442,1230,1220,1392
"RPS6KA2|RPS6KA2",64,22,34,20,112,75,57,54
"MPC1|MPC1",9564,5799,4988,9711,9238,3881,6247,3504
"T|T",19,16,7,0,20,28,31,12
"SFT2D1|SFT2D1",1123,936,933,912,2125,1079,1816,1107
"LOC112532091|LOC112532091",136,125,44,75,228,215,191,175
"QKI|QKI",3675,2595,3142,1937,6517,3137,3403,3437
"LOC100857421|LOC100857421",164,149,108,94,114,35,49,66
"SULT6B1L|SULT6B1L",16253,12258,21008,15179,30929,15569,24698,16128
"MAP3K4|MAP3K4",526,355,446,214,914,367,438,483
"PACRG|PACRG",136,112,137,71,201,193,47,110
"PARK2|PARK2",331,244,360,324,718,401,277,409
"PLGL|PLGL",9265,6196,8510,5873,17510,8017,11977,12742
"SLC22A2|SLC22A2",134,52,104,33,258,148,114,158
"MRPL18|MRPL18",449,826,655,858,835,496,512,459
"LOC107053026|LOC107053026",262,112,139,224,499,177,177,206
"LOC421584|LOC421584",1895,1839,2136,2107,4314,2092,1633,2220
"IGF2R|IGF2R",2845,1440,1893,987,5252,1809,2117,2952
"TCP1|TCP1",3501,3110,4739,3022,8043,2818,3646,2897
"ACAT2|ACAT2",4791,4406,6396,4758,11127,3915,3479,3579
"PLG|PLG",81543,50072,85850,48288,169140,67934,82395,77202
"FNDC1|FNDC1",49,15,74,37,58,69,52,31
"SOD2|SOD2",2852,2168,3284,2477,5475,2776,3404,2674
"SF3B5|SF3B5",254,376,305,331,436,316,333,236
"STX11|STX11",16,5,5,4,16,17,15,20
"LOC107053022|LOC107053022",116,10,23,49,145,16,23,80
"UTRN|UTRN",1333,686,994,456,2786,1221,995,1309
"EPM2A|EPM2A",92,108,93,91,188,96,129,81
"FBXO30|FBXO30",691,428,576,439,1575,717,677,810
"SHPRH|SHPRH",324,177,244,178,673,355,257,388
"RAB32|RAB32",205,105,129,54,348,202,206,179
"STXBP5|STXBP5",740,523,519,337,1493,637,745,731
"UST|UST",253,126,177,106,451,229,166,175
"SASH1|SASH1",579,235,394,167,1178,513,342,569
"ZC3H12D|ZC3H12D",38,6,10,10,21,12,6,23
"TAB2|TAB2",1157,780,1120,709,2560,1031,1151,975
"LOC112532084|LOC112532084",57,47,39,23,86,50,60,63
"PPIL4|PPIL4",579,348,493,454,1000,529,570,593
"GINM1|GINM1",1856,1016,1346,975,3636,1907,1843,2137
"KATNA1|KATNA1",156,114,147,142,304,137,91,136
"LATS1|LATS1",986,900,829,602,1777,967,918,1088
"PCMT1|PCMT1",881,765,806,678,1776,648,585,663
"IYD|IYD",2933,1833,2203,1768,6561,3295,3005,2352
"PLEKHG1|PLEKHG1",207,67,102,59,411,71,145,166
"MTHFD1L|MTHFD1L",1872,1093,1449,830,4512,1435,1026,1577
"AKAP12|AKAP12",137,25,75,18,154,59,73,35
"ZBTB2|ZBTB2",763,456,604,436,1320,535,419,470
"ARMT1|ARMT1",1004,655,831,604,1579,686,597,750
"ESR1|ESR1",505,150,254,69,1391,496,524,769
"MYCT1|MYCT1",232,82,170,58,307,156,93,135
"FBXO5|FBXO5",99,73,46,78,256,78,123,95
"MTRF1L|MTRF1L",224,152,177,160,319,195,155,225
"IPCEF1|IPCEF1",170,73,60,44,175,108,84,165
"CNKSR3|CNKSR3",498,271,678,263,1094,349,408,508
"SCAF8|SCAF8",698,429,636,286,1346,564,666,587
"TFB1M|TFB1M",358,200,272,221,830,468,717,400
"ARID1B|ARID1B",1255,834,944,427,2821,1075,1184,1162
"LOC112532150|LOC112532150",21,18,21,20,33,16,38,14
"LOC107053011|LOC107053011",45,30,11,9,78,24,49,17
"TMEM242|TMEM242",971,724,834,662,1745,1030,1113,1024
"ZDHHC14|ZDHHC14",284,140,186,103,688,243,247,222
"LOC101748959|LOC101748959",961,669,913,586,2703,1223,944,1076
"SNX9|SNX9",2172,1189,1600,883,4158,1724,2332,2269
"SYNJ2|SYNJ2",208,125,187,93,399,147,181,161
"SERAC1|SERAC1",597,496,545,365,1071,471,662,643
"GTF2H5|GTF2H5",1743,1744,1854,1979,3608,1809,1753,1932
"TULP4|TULP4",320,223,312,215,633,302,295,359
"TMEM181|TMEM181",2634,1787,1918,1553,5664,1737,3966,2627
"DYNLT1|DYNLT1",59,126,104,67,133,109,66,79
"SYTL3|SYTL3",107,45,116,80,158,140,143,127
"TAGAP|TAGAP",180,82,151,90,233,164,131,114
"PHACTR2|PHACTR2",1106,605,856,527,2157,887,850,1056
"FUCA2|FUCA2",667,274,457,231,1349,526,612,591
"PEX3|PEX3",875,701,866,752,1663,862,847,880
"ADAT2|ADAT2",183,195,163,215,419,268,252,285
"AIG1|AIG1",1467,943,1377,979,2540,1556,1688,1557
"HIVEP2|HIVEP2",424,252,397,194,908,258,355,476
"ADGRG6|ADGRG6",367,90,222,88,489,309,236,240
"CITED2|CITED2",42,7,45,3,70,44,19,29
"HECA|HECA",1217,928,1277,808,2652,1420,1323,1471
"ABRACL|ABRACL",342,252,386,380,569,455,457,370
"LOC107053000|LOC107053000",12,14,3,9,30,15,8,17
"REPS1|REPS1",396,213,312,189,897,367,383,389
"CCDC28A|CCDC28A",379,341,431,310,784,397,582,434
"NHSL1|NHSL1",91,41,62,12,122,104,44,40
"ARFGEF3|ARFGEF3",37,8,95,6,34,73,20,6
"TNFAIP3|TNFAIP3",255,106,171,106,340,208,125,189
"IFNGR1|IFNGR1",733,231,431,111,1311,615,568,805
"IL22RA2|IL22RA2",31,97,44,28,161,97,73,233
"IL20RA|IL20RA",4292,3125,3885,2960,7362,4036,5806,4990
"PEX7|PEX7",246,130,179,71,444,125,257,217
"MAP3K5|MAP3K5",1088,957,907,493,1841,555,628,663
"MAP7|MAP7",1940,1165,1638,978,3965,1435,1956,1484
"MTFR2|MTFR2",20,24,11,4,26,21,29,13
"BCLAF1|BCLAF1",1129,833,780,579,1943,886,1032,1119
"PDE7B|PDE7B",193,84,138,65,408,160,152,177
"MYB|MYB",5,18,35,7,8,15,13,0
"AHI1|AHI1",80,51,59,22,149,76,60,89
"HBS1L|HBS1L",2259,1283,1890,1021,4772,1673,1948,2149
"LOC112532123|LOC112532123",49,39,62,64,236,103,126,77
"SLC2A12|SLC2A12",112,36,86,72,119,78,60,106
"SGK1|SGK1",3422,4019,3584,2680,4317,1932,1776,1733
"TBPL1|TBPL1",363,352,315,337,649,359,331,264
"TCF21|TCF21",59,38,66,46,129,31,50,34
"SLC18B1|SLC18B1",304,228,395,291,774,373,346,372
"RPS12|RPS12",9436,13534,11654,13961,16729,10581,11745,9306
"STX7|STX7",1081,630,967,615,1536,803,752,622
"ENPP1|ENPP1",929,697,929,566,2235,787,726,1159
"ENPP3|ENPP3",234,81,127,72,584,233,165,264
"AKAP7|AKAP7",162,126,187,118,283,158,199,138
"EPB41L2|EPB41L2",1486,827,1100,640,2387,1137,1250,1195
"SMLR1|SMLR1",3578,2846,3642,3114,6795,3428,4864,4224
"TMEM200A|TMEM200A",93,46,65,37,199,79,97,85
"L3MBTL3|L3MBTL3",352,136,208,149,465,184,297,270
"ARHGAP18|ARHGAP18",335,152,240,115,408,280,230,190
"LAMA2|LAMA2",18,11,10,0,44,49,21,39
"KIAA0408|KIAA0408",57,41,34,6,0,8,11,26
"PTPRK|PTPRK",1021,674,1053,520,2487,953,985,1100
"RNF146|RNF146",555,391,436,395,901,414,514,371
"LOC107056111|LOC107056111",7,0,4,10,7,11,17,17
"LOC101751514|LOC101751514",242,125,213,121,151,135,195,169
"HINT3|HINT3",721,647,679,632,1348,639,642,550
"NCOA7|NCOA7",552,331,329,249,969,557,917,737
"HEY2|HEY2",358,188,56,48,117,207,284,227
"HDDC2|HDDC2",316,357,400,343,417,281,409,311
"RNF217|RNF217",202,122,148,97,347,214,257,171
"FABP7|FABP7",246,369,985,325,982,352,184,391
"SMPDL3A|SMPDL3A",1812,1250,2327,1132,3416,1546,1347,1732
"PKIB|PKIB",7,14,18,26,32,13,9,9
"HSF2|HSF2",311,168,333,207,758,242,269,239
"GJA1|GJA1",1400,533,1154,309,2740,925,475,1123
"TBC1D32|TBC1D32",71,23,42,17,182,55,164,120
"LOC101747613|LOC101747613",31,23,10,17,99,34,37,62
"FAM184A|FAM184A",16,13,3,8,25,32,15,10
"MCM9|MCM9",130,77,133,69,35,117,28,21
"ASF1A|ASF1A",230,257,250,225,443,239,231,241
"PLN|PLN",24,8,17,0,69,26,27,41
"MAN1A1|MAN1A1",15872,8632,14193,7493,37547,17047,18458,17446
"DCBLD1|DCBLD1",2073,1314,2189,1529,3909,2049,1829,1506
"GOPC|GOPC",645,499,720,370,1225,465,497,530
"NUS1|NUS1",1310,1689,1945,1804,2777,1265,1031,925
"SLC35F1|SLC35F1",7,7,22,8,28,71,6,21
"KPNA5|KPNA5",935,261,752,92,935,432,645,817
"RWDD1|RWDD1",373,336,411,323,639,292,274,313
"FAM26F|FAM26F",16,12,9,12,79,30,11,15
"DSE|DSE",304,102,258,86,785,341,181,307
"NT5DC1|NT5DC1",227,136,182,135,461,237,256,321
"COL10A1|COL10A1",257,413,9718,159,576,390,173,395
"FRK|FRK",795,506,708,514,1688,977,965,1012
"HDAC2|HDAC2",1948,1386,1762,1246,3131,1545,1301,1657
"MARCKS|MARCKS",557,608,542,718,1171,733,490,416
"TUBE1|TUBE1",225,127,97,136,370,161,214,200
"FYN|FYN",289,212,264,178,775,377,281,294
"TRAF3IP2|TRAF3IP2",1119,874,1052,650,2549,906,1068,851
"REV3L|REV3L",1080,789,797,533,2113,865,1009,1177
"LOC107053089|LOC107053089",17,39,20,21,34,17,6,27
"MFSD4B|MFSD4B",530,351,501,246,1165,483,737,618
"SLC16A10|SLC16A10",548,264,340,146,1397,495,331,666
"RPF2|RPF2",513,434,651,426,800,322,362,393
"GTF3C6|GTF3C6",289,432,507,508,601,227,242,267
"AMD1|AMD1",1705,1218,2388,1028,3234,861,768,884
"CDK19|CDK19",1077,562,891,507,1902,944,1064,1120
"SLC22A16|SLC22A16",479,54,366,234,1280,344,481,524
"DDO|DDO",731,690,827,586,1367,415,451,369
"FIG4|FIG4",299,176,313,185,577,263,274,330
"ZBTB24|ZBTB24",212,119,184,102,327,127,134,195
"PPIL6|PPIL6",6,18,20,16,18,21,0,13
"CD164|CD164",10525,8411,11680,7522,25596,11317,9532,10935
"LOC101748060|LOC101748060",38,61,46,38,105,37,52,55
"LOC107053086|LOC107053086",87,61,27,32,95,18,19,28
"CEP57L1|CEP57L1",10,12,0,8,9,10,24,11
"SESN1|SESN1",3804,3126,2456,2973,7767,3896,5221,4574
"FOXO3|FOXO3",740,890,613,575,1479,932,621,733
"AFG1L|AFG1L",580,385,436,356,996,476,504,510
"SNX3|SNX3",1016,607,1065,752,1961,970,912,870
"OSTM1|OSTM1",421,176,414,113,934,490,493,461
"LOC107053084|LOC107053084",201,295,261,283,471,248,362,257
"SOBP|SOBP",54,35,71,36,120,42,84,42
"SEC63|SEC63",5436,3651,7131,3845,11042,4926,3838,4555
"BEND3|BEND3",672,659,1032,543,1842,651,798,847
"PDSS2|PDSS2",183,79,185,56,383,161,130,194
"LOC107053100|LOC107053100",54,40,44,22,94,80,85,50
"C3H6ORF203|C3H6ORF203",1031,834,1064,849,2132,1031,1253,1164
"CD24|CD24",405,195,515,145,464,1170,279,96
"RTN4IP1|RTN4IP1",348,398,261,334,452,202,255,188
"PRDM1|PRDM1",116,65,77,34,220,75,60,91
"PREP|PREP",1430,837,1531,785,3285,1136,1035,1294
"LOC112532087|LOC112532087",215,125,204,118,495,178,197,186
"HACE1|HACE1",533,438,400,233,1103,470,616,636
"ASCC3|ASCC3",767,361,799,308,1793,672,619,833
"TSTD3|TSTD3",195,230,192,173,377,288,234,180
"CCNC|CCNC",1185,880,1137,996,2376,1027,1028,1024
"COQ3|COQ3",493,469,462,486,868,408,583,384
"USP45|USP45",577,300,452,191,915,346,325,421
"PNISR|PNISR",1981,1704,959,1185,3532,1301,1838,1960
"FBXL4|FBXL4",334,335,489,209,827,264,390,368
"MMS22L|MMS22L",42,41,59,17,74,41,62,44
"NDUFAF4|NDUFAF4",256,254,339,201,731,329,344,298
"GPR63|GPR63",35,18,16,18,46,23,36,29
"FHL5|FHL5",30,24,17,0,33,22,32,16
"UFL1|UFL1",1250,672,1293,622,2426,997,1155,1139
"MANEA|MANEA",339,240,231,137,583,306,406,414
"MAP3K7|MAP3K7",2340,1419,2663,1373,5303,2118,1800,2192
"LOC107053107|LOC107053107",68,361,123,120,88,29,144,8
"BACH2|BACH2",1043,356,364,360,1168,431,857,892
"CASP8AP2|CASP8AP2",309,171,223,124,589,320,320,282
"LYRM2|LYRM2",196,243,267,214,398,211,288,194
"MDN1|MDN1",1052,1026,847,594,2482,665,913,1230
"ANKRD6|ANKRD6",220,102,171,73,367,136,270,626
"RRAGD|RRAGD",529,316,467,329,714,444,467,462
"UBE2J1|UBE2J1",656,395,601,316,1316,519,732,729
"PM20D2|PM20D2",551,482,714,519,1095,581,467,388
"PNRC1|PNRC1",4032,4262,4448,4468,8731,4548,7040,6601
"BORCS6|BORCS6",254,291,187,349,533,829,704,588
"RNGTT|RNGTT",466,364,594,234,989,303,288,278
"CNR1|CNR1",17,15,5,7,81,19,12,43
"LOC107053110|LOC107053110",252,62,190,189,444,78,142,266
"AKIRIN2|AKIRIN2",916,832,1168,991,1753,754,949,639
"CFAP206|CFAP206",14,7,4,8,29,5,16,10
"RARS2|RARS2",175,157,141,117,424,173,225,177
"SLC35A1|SLC35A1",185,178,185,212,460,197,213,206
"SYNCRIP|SYNCRIP",1634,1090,1704,869,2939,1070,878,1038
"SNX14|SNX14",1133,734,1196,673,2302,1020,1205,1139
"NT5E|NT5E",150,68,78,45,270,91,53,76
"CEP162|CEP162",59,71,26,21,112,76,84,95
"SNAP91|SNAP91",57,28,48,19,55,61,25,45
"PRSS35|PRSS35",251,222,192,207,246,85,100,91
"UBE3D|UBE3D",78,64,112,50,155,64,66,30
"DOPEY1|DOPEY1",906,449,502,344,1541,513,719,692
"RWDD2A|RWDD2A",151,61,138,80,189,80,144,84
"PGM3|PGM3",596,326,736,386,1382,458,549,629
"IBTK|IBTK",2045,1360,1701,1074,4190,1359,1753,1383
"BCKDHB|BCKDHB",1895,1041,1381,1298,3339,1344,1433,1565
"LCA5|LCA5",110,110,143,69,218,142,71,93
"SH3BGRL2|SH3BGRL2",958,597,793,467,2560,1158,777,1066
"HMGN3|HMGN3",960,939,951,1004,1649,846,800,911
"PHIP|PHIP",982,641,800,399,1738,833,865,957
"HTR1B|HTR1B",16,7,16,24,34,12,16,6
"MYO6|MYO6",879,605,899,526,1729,724,733,569
"FILIP1|FILIP1",37,14,52,20,55,22,23,13
"SENP6|SENP6",992,667,878,602,2066,793,857,847
"TMEM30A|TMEM30A",2053,987,1678,828,4517,1899,1828,1917
"COX7A2|COX7A2",1199,1514,1305,2054,2036,1382,2024,1415
"COL12A1|COL12A1",250,199,341,127,608,325,409,292
"SLC17A5|SLC17A5",1575,893,1651,991,2763,1723,1475,1693
"MTO1|MTO1",1728,1501,1755,1453,2985,1072,1152,1299
"MB21D1|MB21D1",102,114,111,53,168,76,52,75
"KCNQ5|KCNQ5",22,22,21,16,54,18,12,17
"ASRGL1|ASRGL1",292,163,254,187,509,324,582,431
"LOC112532113|LOC112532113",9,19,5,8,15,16,20,18
"OGFRL1|OGFRL1",301,104,167,114,591,260,196,198
"B3GAT2|B3GAT2",18,17,10,17,29,12,25,21
"SMAP1|SMAP1",840,583,744,567,1774,834,710,578
"SDHAF4|SDHAF4",289,402,275,417,450,293,399,258
"EEF1A1|EEF1A1",95379,74490,95985,86559,266391,130618,148682,104945
"LOC101749469|LOC101749469",665,544,666,745,1595,998,1211,778
"EYS|EYS",80,40,31,39,127,49,73,43
"PHF3|PHF3",2217,1579,1772,1141,4656,1792,2125,2456
"LOC112532135|LOC112532135",179,17,52,92,67,43,59,32
"PTP4A1|PTP4A1",2437,1910,2044,1525,4676,2087,3262,2477
"BAG2|BAG2",0,17,25,11,42,46,13,10
