gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984239,ERR2984238,ERR2984249
LOC112532968|LOC112532968,0,0,0,0,7,5
LOC107053972|LOC107053972,4,1,3,71,40,34
PRKCQ|PRKCQ,85,25,80,264,172,159
LOC419112|LOC419112,3,0,0,33,26,7
RBM17|RBM17,1,0,0,1708,1252,970
PFKFB3|PFKFB3,1722,1094,1760,678,1548,1049
IL2RA|IL2RA,114,120,42,95,61,33
ITIH5|ITIH5,865,364,592,265,197,102
SFMBT2|SFMBT2,5,5,5,1589,1105,1125
LOC107054553|LOC107054553,24,20,12,6,0,0
GATA3|GATA3,127,77,85,153,52,56
TAF3|TAF3,23,0,0,1584,1206,1044
MIR1596|MIR1596,723,639,787,0,0,0
MIR1596,757,462,297,0,0,0
CELF2|CELF2,124,14,92,72,40,34
USP6NL|USP6NL,555,452,503,828,617,617
ECHDC3|ECHDC3,298,68,179,4988,2861,2501
PROSER2|PROSER2,0,0,0,1591,1364,1640
ITIH2|ITIH2,37,46,30,94657,60054,60981
KIN|KIN,841,565,934,566,381,326
ATP5C1|ATP5C1,0,0,0,13674,8097,6507
UPF2|UPF2,0,0,0,2561,2014,1913
DHTKD1|DHTKD1,0,0,0,7148,3575,4342
SEC61A2|SEC61A2,0,0,0,1325,1097,849
NUDT5|NUDT5,45,16,43,43537,21972,21295
CDC123|CDC123,447,251,381,2976,2244,1605
CCDC3|CCDC3,1854,1719,2057,28,33,5
LOC112532973|LOC112532973,896,765,1240,195,114,80
CAMK1D|CAMK1D,1460,887,1313,14706,14277,8040
MCM10|MCM10,5696,4678,5553,42,58,35
OPTN|OPTN,35044,22298,33974,3772,3234,2347
PHYH|PHYH,290,177,209,10735,6490,6467
SEPHS1|SEPHS1,3907,2063,3400,1801,1192,910
BEND7|BEND7,13997,11869,14348,2719,2082,1866
PRPF18|PRPF18,568,591,636,1209,914,674
HSPA14|HSPA14,1168,821,1220,500,309,297
DCLRE1C|DCLRE1C,32,16,6,120,99,78
MEIG1|MEIG1,37,28,28,0,0,4
SUV39H2|SUV39H2,49,48,109,1124,780,745
FAM107B|FAM107B,8323,4919,8528,637,337,259
LOC112532975|LOC112532975,1930,1628,1575,0,0,0
FRMD4A|FRMD4A,3971,2520,4282,219,149,160
MIR1460|MIR1460,826,535,932,0,0,0
MIR1460,1350,873,1406,0,0,0
DMTF1|DMTF1,524,419,549,1480,1411,1071
TMEM243|TMEM243,213,212,253,203,378,197
SEMA3D|SEMA3D,422,190,347,37,51,38
KIAA1324L|KIAA1324L,0,0,0,14085,8584,4559
SEMA3E|SEMA3E,181,88,126,0,20,8
SEMA3A|SEMA3A,0,0,0,0,5,6
PCLO|PCLO,0,0,0,9,0,0
LOC107055432|LOC107055432,502,451,486,0,0,0
LOC107055502|LOC107055502,62,87,32,0,0,0
LOC112532986|LOC112532986,761,723,602,9,0,6
LOC107057089|LOC107057089,221,300,142,15,10,10
HGF|HGF,3,0,0,157,104,84
SEMA3C|SEMA3C,35,25,50,117,94,53
CACNA2D1|CACNA2D1,5,5,0,265,109,119
LOC112532984|LOC112532984,3788,1238,4806,0,0,0
GNAT3|GNAT3,6,0,0,0,0,3
GNAI1|GNAI1,0,0,0,480,175,126
CD36|CD36,0,0,0,24931,16652,14243
TMEM60|TMEM60,0,0,0,597,486,353
PHTF2|PHTF2,0,7,13,350,219,186
RSBN1L|RSBN1L,96,48,94,1129,987,940
LOC112532992|LOC112532992,10,6,0,5,5,9
LOC107051625|LOC107051625,51,27,68,760,6,130
PTPN12|PTPN12,112,52,56,2546,1971,1657
MAGI2|MAGI2,0,0,0,146,71,70
ARMC10|ARMC10,167,118,191,111,87,49
FBXL13|FBXL13,271,83,124,0,0,0
LRRC17|LRRC17,11467,5821,9864,36,26,27
NAPEPLD|NAPEPLD,238,267,241,1741,758,692
GSAP|GSAP,52,44,45,2135,1209,1162
CCDC146|CCDC146,551,407,476,36,20,24
LOC107051626|LOC107051626,1112,793,1202,18,44,28
FGL2|FGL2,37,30,67,822,421,281
FAM185A|FAM185A,0,0,0,327,295,219
DNAJC2|DNAJC2,11,8,0,1849,1774,1301
PMPCB|PMPCB,605,374,607,2675,1735,1505
PSMC2|PSMC2,907,537,608,6405,5305,4244
ORC5|ORC5,26,3,14,324,310,165
TRNAG-CCC,5,290,165,0,0,0
RELN|RELN,20,6,5,918,604,529
SLC26A5|SLC26A5,621,114,302,5356,4795,5739
LOC112533002|LOC112533002,193,69,161,13,10,11
LOC101752215|LOC101752215,930,840,1122,490,346,339
KMT2E|KMT2E,1120,875,1337,2986,3273,2828
LOC107051628|LOC107051628,3117,2392,3681,163,80,69
SRPK2|SRPK2,142,139,212,885,782,730
LOC107051629|LOC107051629,0,0,0,0,0,8
LOC107051627|LOC107051627,0,4,3,46,48,48
EFCAB10|EFCAB10,785,430,498,18,4,8
RINT1|RINT1,4327,1848,3721,827,897,629
PUS7|PUS7,8,0,0,1472,1413,938
CCDC71L|CCDC71L,208,159,60,527,603,361
LOC112533020|LOC112533020,2412,1347,1336,0,0,0
ATXN7L1|ATXN7L1,43,79,27,1913,1542,1306
CDHR3|CDHR3,440,343,380,100,97,67
LOC107051630|LOC107051630,0,0,0,17,11,11
SYPL1|SYPL1,34,9,18,1466,1289,898
NAMPT|NAMPT,737,649,758,5824,5279,4135
PIK3CG|PIK3CG,0,0,0,4264,2290,2279
PRKAR2B|PRKAR2B,470,255,366,233,163,215
DUS4L|DUS4L,4,0,0,858,510,368
LOC112533028|LOC112533028,232,278,268,9,6,0
HBP1|HBP1,985,610,657,2314,1680,1508
COG5|COG5,25,19,18,1200,1253,729
GPR22|GPR22,7,0,0,0,0,0
SLC26A3|SLC26A3,528,623,825,19,10,11
CBLL1|CBLL1,11,3,4,690,826,550
MIR2126|MIR2126,3457,2512,3337,0,0,0
MIR2126,198,183,143,0,0,0
BCAP29|BCAP29,1938,1053,1953,5999,3757,2651
DLD|DLD,0,0,0,11917,7167,6520
LRRK2|LRRK2,1293,587,916,434,340,309
LOC112533030|LOC112533030,666,604,591,9,6,13
LAMB4|LAMB4,333,264,287,13,37,29
LAMB1|LAMB1,14,0,0,1211,1026,550
ERGIC2|ERGIC2,5,0,0,5777,4625,2968
SLC2A13|SLC2A13,7,9,2,3212,2761,2165
C12orf40|C12orf40,491,336,379,89,58,58
LOC107051632|LOC107051632,0,0,0,4,0,2
ABCD2|ABCD2,0,0,0,2707,1740,2189
LOC107051634|LOC107051634,2375,1837,1877,1339,631,489
GTSE1|GTSE1,5540,3267,5357,57,23,38
KIF21A|KIF21A,407,173,214,6162,4637,4342
LOC107051635|LOC107051635,27,7,21,14,14,0
ALG10|ALG10,2150,2345,2897,691,520,365
TPRKB|TPRKB,707,288,610,777,609,442
CPNE8|CPNE8,3,0,0,1314,920,1041
TRMU|TRMU,1469,1033,1850,849,684,423
HIST1H2B5L|HIST1H2B5L,69,26,40,296,138,116
LOC107051636|LOC107051636,5,0,0,504,151,65
GRAMD4|GRAMD4,1448,856,1172,571,317,277
CELSR1|CELSR1,273,440,248,1213,952,968
CERK|CERK,0,3,0,2645,1916,1357
TBC1D22A|TBC1D22A,2320,1695,2737,1845,1208,959
LOC107049439|LOC107049439,9,27,0,0,0,0
BRD1|BRD1,613,423,581,1887,1140,957
ZBED4|ZBED4,53,19,30,1559,879,795
LOC112533147|LOC112533147,319,209,305,590,382,122
LOC107050376|LOC107050376,362,311,431,0,0,0
PIM3|PIM3,483,329,351,6039,5073,1832
LOC101748415|LOC101748415,114,127,159,0,0,0
LOC107050120|LOC107050120,227,161,305,0,0,0
MOV10L1|MOV10L1,758,503,591,125,61,9
LOC107049700|LOC107049700,411,30,782,21,14,23
LOC112533153|LOC112533153,1077,763,1142,0,0,0
PANX2|PANX2,0,0,8,184,129,81
LOC429348|LOC429348,913,518,725,674,990,850
ALG12|ALG12,4,0,0,17160,10048,4920
CRELD2|CRELD2,0,0,6,17435,10075,4605
TRABD|TRABD,0,0,0,4685,4362,3384
LOC112533154|LOC112533154,0,0,0,5,0,0
SELENOO|SELENOO,666,591,572,4299,2401,2703
MAPK12|MAPK12,743,420,775,205,137,104
MAPK11|MAPK11,0,0,0,309,294,224
TUBGCP6|TUBGCP6,0,0,0,527,361,370
HDAC10|HDAC10,157,94,137,1215,902,757
ARL8BL|ARL8BL,1983,1025,2164,56,22,19
ZNF800|ZNF800,6163,3499,5923,536,347,217
LOC107052593|LOC107052593,5727,3905,7859,191,61,67
POT1|POT1,16,0,0,473,217,160
ASB15|ASB15,0,0,0,0,0,0
WASL|WASL,56,54,78,2329,1523,1304
LOC107051595|LOC107051595,14,4,0,0,0,0
MIR1693|MIR1693,687,160,220,0,0,0
MIR1693,2900,1677,2894,0,0,0
PLXNB2|PLXNB2,7,0,4,10387,8554,7133
IQUB|IQUB,2020,1431,1487,147,120,170
NDUFA5|NDUFA5,98,86,65,2412,1628,999
SLC13A1|SLC13A1,223,202,253,27,9,0
ATP6AP1|ATP6AP1,303,143,245,3116,1892,1248
LOC107052612|LOC107052612,581,467,415,18,23,27
CADPS2|CADPS2,187,138,208,145,134,77
WNT16|WNT16,4,4,14,6,12,4
FAM3C|FAM3C,12,10,15,1293,747,729
PTPRZ1|PTPRZ1,94,66,33,20,11,8
AASS|AASS,161,116,151,12317,3741,3367
CPED1|CPED1,0,0,0,405,116,94
MIR1645,0,0,0,0,0,0
MIR1645|MIR1645,6246,3052,4669,0,0,0
ING3|ING3,6,0,0,952,590,482
LSM8|LSM8,949,651,1084,452,274,180
LOC112533181|LOC112533181,92,93,72,5,0,0
ANKRD26|ANKRD26,839,1103,1094,385,263,248
CTTNBP2|CTTNBP2,10,5,12,69,55,37
CFTR|CFTR,1626,661,1271,40,33,16
TSPAN12|TSPAN12,15,5,17,13828,8005,6612
KCND2|KCND2,43,21,40,23,10,0
LOC101747342|LOC101747342,0,3,0,5,0,0
ST7|ST7,6,0,6,913,859,529
CAPZA2|CAPZA2,626,312,511,6071,3167,2365
CAV1|CAV1,5067,2163,3151,52,48,19
CAV2|CAV2,215,63,142,74,91,49
TES|TES,0,0,0,246,168,91
LOC112533188|LOC112533188,0,0,0,9,0,5
TFEC|TFEC,443,277,381,14,0,14
MDFIC|MDFIC,159,175,153,425,310,212
MET|MET,222,126,168,3359,2242,2645
LOC112533184|LOC112533184,0,3,6,43,27,21
GPR85|GPR85,36,14,12,0,0,0
LOC107052654|LOC107052654,29,12,23,0,0,0
LOC107052650|LOC107052650,4677,4036,4396,1150,740,392
BMT2|BMT2,5,0,0,280,212,249
TMEM168|TMEM168,485,341,502,1686,1232,1042
FOXP2|FOXP2,2136,1295,2306,2038,1457,1571
LOC112533189|LOC112533189,30,23,41,7,0,0
ZNF277|ZNF277,20,12,32,383,266,198
IFRD1|IFRD1,99,52,133,8444,7936,2934
DOCK4|DOCK4,6,0,9,269,125,125
DNAJB9|DNAJB9,20,0,14,4133,3432,1271
THAP5|THAP5,1494,1354,1269,1186,897,518
PNPLA8|PNPLA8,25,13,6,1659,970,899
IMMP2L|IMMP2L,276,115,176,1020,482,362
LRRN3|LRRN3,0,0,0,0,0,0
CNTN1|CNTN1,519,471,826,20,19,4
GXYLT1|GXYLT1,608,517,498,615,365,296
YAF2|YAF2,0,0,0,603,496,415
PDZRN4|PDZRN4,210,90,191,9,8,0
ZCRB1|ZCRB1,836,621,836,1087,690,465
PPHLN1|PPHLN1,0,0,6,655,465,380
MIR7447,152,121,182,0,0,0
MIR7447|MIR7447,3878,2306,4203,0,0,0
PRICKLE1|PRICKLE1,248,83,103,185,103,77
PUS7L|PUS7L,381,226,349,663,344,198
IRAK4|IRAK4,8,0,4,1443,765,459
TWF1|TWF1,1685,909,2006,1587,1205,853
ANO6|ANO6,502,306,502,33,28,9
LOC112533246|LOC112533246,625,458,556,181,60,202
NELL2|NELL2,9,3,23,1943,1151,978
LOC101749362|LOC101749362,13,6,12,790,433,567
ARID2|ARID2,4,1,0,1119,995,828
LOC107052702|LOC107052702,295,154,290,0,0,0
SLC38A1|SLC38A1,308,300,341,501,304,432
LOC107052706|LOC107052706,104,60,76,5,0,0
SCAF11|SCAF11,0,1,0,3994,4012,2767
LOC112531641|LOC112531641,0,2,0,0,0,0
