"genes","CN_2w_2","CN_2w_1","CN_4w_1","HT_3hr_1","HT_3hr_2","HT_3hr_4"
"LOC112531841|LOC112531841",0,0,0,1911,703,657
"DSG4|DSG4",0,0,0,224,35,94
"LOC107052701|LOC107052701",0,0,0,933,426,481
"DSC1|DSC1",88,110,81,1311,709,555
"TRAPPC8|TRAPPC8",461,984,2002,11,6,4
"MEP1B|MEP1B",0,0,0,1386,677,769
"RNF138|RNF138",373,1356,1653,603,293,453
"RAB10L|RAB10L",64,89,163,130,84,90
"GAREM1|GAREM1",132,255,404,129,53,75
"KLHL14|KLHL14",177,431,643,567,357,375
"CCDC178|CCDC178",0,0,0,130,46,48
"MIR6707|MIR6707",0,0,0,3318,1351,1515
"MIR6707",0,0,0,3714,1347,2064
"LOC112531845|LOC112531845",12,18,51,59,35,24
"ASXL3|ASXL3",6,3,8,929,517,665
"LOC112531846|LOC112531846",11,23,27,336,247,191
"EPT1L|EPT1L",6,13,44,58,31,27
"MAPRE2|MAPRE2",106,353,610,1929,871,1058
"ERR2984226.4834|TRNAA-AGC",1,0,1,95,54,109
"ERR2984226.4835|TRNAA-AGC",1,1,0,75,35,46
"MCM4|MCM4",125,714,505,22,39,15
"TTR|TTR",24956,84520,88155,2010,781,924
"LOC112531842|LOC112531842",4772,10405,12897,439,243,237
"B4GALT6|B4GALT6",347,986,1458,3468,1134,1257
"UBE2V2|UBE2V2",225,862,870,691,414,455
"LOC421106|LOC421106",273,676,879,0,0,0
"LOC107052709|LOC107052709",4,8,5,98,30,27
"CEBPD|CEBPD",390,2300,1114,2100,1023,1067
"PRKDC|PRKDC",206,678,980,12,12,0
"SNAI2|SNAI2",14,33,59,403,184,214
"C2H8ORF22|C2H8ORF22",2803,3668,4257,535,243,338
"LOC112531855|LOC112531855",6,4,0,141,84,72
"LOC112531854|LOC112531854",5,15,21,16,0,10
"PCMTD1|PCMTD1",534,723,1652,499,252,364
"RB1CC1|RB1CC1",331,443,1327,0,0,0
"ATP6V1H|ATP6V1H",172,435,824,449,449,170
"TCEA1|TCEA1",214,845,792,0,7,4
"MRPL15|MRPL15",287,961,964,525,107,115
"LYPLA1|LYPLA1",736,1969,2369,5407,3143,2607
"SOX17|SOX17",9,21,8,3222,1868,1480
"RP1|RP1",0,0,0,168,55,47
"LOC112531801|LOC112531801",0,0,0,4737,3123,2766
"TMEM68|TMEM68",63,68,267,126,76,25
"TGS1|TGS1",137,383,564,321,162,134
"XKR4|XKR4",25,42,93,132,66,37
"LOC112531856|LOC112531856",0,0,0,31,15,18
"KIF20AL|KIF20AL",26,81,104,2740,945,1035
"LOC112531857|LOC112531857",13,22,37,55,17,31
"LYN|LYN",553,1395,3452,280,108,64
"PLAG1|PLAG1",34,127,164,1101,444,501
"RPS20|RPS20",3562,16351,11997,2617,958,798
"IMPAD1|IMPAD1",197,1116,1169,7514,3140,4366
"UBXN2B|UBXN2B",70,199,224,684,245,458
"CHCHD7|CHCHD7",873,2387,2163,34,15,16
"SDR16C5|SDR16C5",1757,6057,6615,0,0,0
"CYP7A1|CYP7A1",1427,5515,5028,0,0,0
"NSMAF|NSMAF",151,231,677,0,0,0
"SDCBP|SDCBP",1225,3171,4873,0,0,0
"CA8|CA8",27,41,95,12018,3493,7119
"LOC112531858|LOC112531858",5,8,18,4207,2416,2060
"LOC107052732|LOC107052732",2,17,5,426,206,240
"LOC107052733|LOC107052733",0,0,0,498,221,263
"RAB2A|RAB2A",744,2246,2571,4749,1816,1827
"LOC101750226|LOC101750226",0,0,0,1831,920,862
"CHD7|CHD7",359,738,1258,18,7,14
"CLVS1|CLVS1",176,884,1260,27,2,13
"LOC112531859|LOC112531859",28,69,176,215,104,89
"LOC112531860|LOC112531860",11,15,0,265,122,183
"ASPH|ASPH",627,1784,308,15,7,8
"LOC107049082|LOC107049082",15,7,32,4197,1316,1923
"GGH|GGH",1584,5156,6205,3944,1933,1821
"YTHDF3|YTHDF3",356,853,1160,2766,1589,1625
"TTPA|TTPA",3742,8263,15512,530,284,422
"LOC101751292|LOC101751292",637,3675,4297,5797,2448,2148
"TRNAA-AGC_6",0,0,0,2191,1060,996
"TRNAY-GUA_1",0,0,0,501,154,244
"TRNAY-GUA_3",0,0,0,27,31,14
"TRNAY-GUA_4",0,0,0,136,91,65
"TRNAY-GUA_5",0,0,0,404,72,508
"LOC112531863|LOC112531863",0,0,0,2642,1231,1116
"TRNAY-GUA_8",0,0,0,130399,59798,72084
"TRNAY-GUA_9",0,0,0,15097,13723,15559
"TRNAY-GUA_10",0,0,0,1956,930,1118
"TRNAY-GUA_11",0,0,0,900,304,347
"TRNAY-GUA_12",0,0,0,2766,1272,1323
"TRNAR-ACG_2",0,0,0,2687,1235,1225
"RRS1|RRS1",74,347,238,174,268,124
"PDE7A|PDE7A",93,249,403,1356,634,620
"ARMC1|ARMC1",396,1055,1389,5,3,0
"MTFR1|MTFR1",1473,5928,5818,0,0,0
"VCPIP1|VCPIP1",240,293,1104,0,0,0
"ADHFE1|ADHFE1",1195,3293,3889,28,18,19
"TCF24|TCF24",21,55,66,16,5,8
"COPS5|COPS5",226,886,846,16,9,11
"MCMDC2|MCMDC2",73,121,247,647,297,246
"LOC107052740|LOC107052740",46,242,145,130,76,39
"ARFGEF1|ARFGEF1",531,1324,2287,2,1,0
"PREX2|PREX2",139,155,487,1158,557,707
"SLCO5A1|SLCO5A1",10,5,24,833,322,524
"TRAM1|TRAM1",2081,7615,9874,1308,369,564
"XKR9|XKR9",104,138,129,31,37,60
"LACTB2|LACTB2",830,2297,2809,11,0,14
"EYA1|EYA1",0,0,0,14617,14696,20726
"LOC101748504|LOC101748504",0,0,0,36,8,28
"TERF1|TERF1",31,66,96,21,10,25
"SBSPON|SBSPON",23,22,42,2846,2111,2403
"KCNB2|KCNB2",1487,2261,3928,1902,952,1180
"RPL7|RPL7",4820,19312,14605,785,383,444
"RDH10|RDH10",1080,3519,3838,1041,600,446
"UBE2W|UBE2W",188,520,629,3718,1525,1476
"LOC112531865|LOC112531865",2,7,6,1072,520,516
"STAU2|STAU2",407,1164,1606,26,57,7
"ELOC|ELOC",246,957,788,0,0,0
"LOC112531866|LOC112531866",0,7,13,323,185,169
"HNF4G|HNF4G",144,348,442,122,42,58
"LOC112531873|LOC112531873",0,0,0,624,179,290
"LOC112531872|LOC112531872",0,0,0,163,59,75
"ZFHX4|ZFHX4",86,110,252,74,34,16
"PEX2|PEX2",170,449,618,3978,1999,1551
"ZC2HC1A|ZC2HC1A",64,113,180,1,1,2
"IL7|IL7",15,63,75,1222,546,530
"LOC101750271|LOC101750271",12,10,56,328,177,202
"LOC107049563|LOC107049563",0,5,4,261,207,183
"LOC107050168|LOC107050168",0,5,8,243,125,125
"HEY1|HEY1",25,100,91,2913,1204,1534
"LOC107052750|LOC107052750",0,0,0,11764,6419,7310
"LOC101750761|LOC101750761",10,43,18,5908,4515,2084
"TPD52|TPD52",849,2970,2919,6914,3776,3316
"MRPS28|MRPS28",190,755,505,556,448,410
"LOC101751416|LOC101751416",6,12,22,43,38,44
"ZBTB10|ZBTB10",323,961,1105,9,12,0
"LOC101750982|LOC101750982",36,78,89,176,232,40
"ZNF704|ZNF704",433,1136,1348,13,17,17
"FABP5|FABP5",33,155,424,4554,2078,2071
"FABP4|FABP4",3,19,16,1686,487,575
"IMPA1|IMPA1",222,933,946,1776,1110,598
"CHMP4C|CHMP4C",5,16,31,1244,353,458
"ZFAND1|ZFAND1",85,241,169,201,48,93
"SNX16|SNX16",60,207,283,0,18,27
"LOC107052747|LOC107052747",0,0,0,2005,859,786
"LRRCC1|LRRCC1",29,75,111,8,8,1
"CA3B|CA3B",0,0,0,25802,11304,12280
"C8orf59|C8orf59",62,248,209,13097,5268,12216
"E2F5|E2F5",171,513,837,1139,1047,2573
"CA13|CA13",31,72,246,391,243,203
"CA2|CA2",602,1654,2055,14,10,0
"ATP6V0D2|ATP6V0D2",100,181,155,0,0,0
"CPNE3|CPNE3",184,572,743,217,237,66
"RMDN1|RMDN1",270,1601,1111,2029,1019,998
"WWP1|WWP1",1816,2432,4545,10498,4142,3501
"RIPK2|RIPK2",62,136,232,33,17,11
"MMP16|MMP16",17,14,64,6652,2713,2573
"SLC7AL|SLC7AL",47,157,479,1377,496,668
"LOC112531879|LOC112531879",0,0,0,190,62,127
"CALB1|CALB1",14,112,167,281,167,267
"LOC101752273|LOC101752273",3,0,5,3245,1760,1513
"TMEM64|TMEM64",78,190,329,1345,572,495
"TMEM55A|TMEM55A",210,334,402,377,185,177
"DECR1|DECR1",2898,9558,9444,3277,1154,1210
"OTUD6B|OTUD6B",483,1991,2214,12,0,8
"SLC26A7|SLC26A7",0,0,0,530,345,121
"RUNX1T1|RUNX1T1",6,39,54,26,0,17
"TRIQK|TRIQK",25,80,122,0,0,0
"RBM12B|RBM12B",260,804,1123,4541,1751,1999
"GEM|GEM",6,23,31,0,0,0
"PDP1|PDP1",91,273,406,11557,5058,3694
"ESRP1|ESRP1",0,0,0,53,45,10
"RAD54B|RAD54B",11,20,21,20,6,4
"RNF151|RNF151",560,1666,2597,0,0,0
"FSBP|FSBP",19,65,53,56,28,33
"DPY19L4|DPY19L4",306,608,1015,166,63,58
"LOC414835|LOC414835",0,23,34,93,75,30
"INTS8|INTS8",236,573,806,8233,3357,4046
"CCNE2|CCNE2",9,23,44,1,0,1
"TP53INP1|TP53INP1",601,1057,2151,1,0,1
"PLEKHF2|PLEKHF2",116,302,396,19601,12818,12433
"NDUFAF6|NDUFAF6",61,161,347,8001,2844,2368
"C2H8ORF37|C2H8ORF37",47,86,131,2698,990,1139
"UQCRB|UQCRB",1101,4502,3289,798,489,342
"PTDSS1|PTDSS1",2369,6596,11042,159,102,114
"MTERF3|MTERF3",173,681,600,928,502,455
"CPQ|CPQ",456,653,768,1137,598,577
"SDC2|SDC2",14384,49204,55087,2300,1243,1114
"LAPTM4B|LAPTM4B",16,33,78,12,0,9
"LOC112531884|LOC112531884",0,0,0,145,77,71
"MATN2|MATN2",12,14,62,828,425,451
"MTDH|MTDH",2261,7618,11097,1069,455,504
"ERICH5|ERICH5",12,160,72,0,0,0
"RPL30|RPL30",3435,13003,9936,0,0,0
"POP1|POP1",77,282,372,408,139,201
"NIPAL2|NIPAL2",16,27,21,150,84,54
"OSR2|OSR2",0,0,0,40,28,26
"KCNS2|KCNS2",184,592,651,8,5,0
"RIDA|RIDA",4947,20294,12353,112,91,42
"VPS13B|VPS13B",219,333,901,26,15,16
"COX6C|COX6C",1279,7394,3603,2803,2021,1501
"POLR2K|POLR2K",94,384,155,481,384,273
"SPAG1|SPAG1",20,67,115,1609,549,602
"RNF19A|RNF19A",263,787,1152,8,16,0
"ANKRD46|ANKRD46",324,935,1274,206,70,67
"YWHAZ|YWHAZ",724,2151,3466,799,419,452
"PABPC1|PABPC1",4720,11621,17048,580,434,368
"ZNF706|ZNF706",1477,5668,5177,445,144,341
"MIR6630|MIR6630",0,0,0,1043,535,530
"MIR6630",0,0,0,229,173,104
"NCALD|NCALD",50,79,148,27,49,9
"RRM2B|RRM2B",350,1407,1381,406,190,190
"UBR5|UBR5",900,1971,3718,97,50,57
"LOC107052779|LOC107052779",6,36,36,191,133,120
"KLF10|KLF10",611,1745,1684,955,316,362
"AZIN1|AZIN1",824,2236,3078,103,36,123
"LOC112531803|LOC112531803",0,1,1,2489,1046,786
"FZD6|FZD6",49,113,248,216,241,34
"ATP6V1C1|ATP6V1C1",280,629,1174,7827,2480,1783
"CTHRC1|CTHRC1",66,273,316,1499,911,608
"SLC25A32|SLC25A32",79,244,373,1826,1016,702
"DCAF13|DCAF13",450,1484,2070,47,28,18
"DCSTAMP|DCSTAMP",13,27,80,401,186,172
"RIMS2|RIMS2",48,20,95,281,93,344
"LOC112531887|LOC112531887",69,161,204,221,101,57
"LRP12|LRP12",1132,2813,4245,704,354,384
"DPYS|DPYS",6563,22995,24969,226,188,0
"ZFPM2|ZFPM2",20,24,38,509,206,198
"HGH1|HGH1",30,70,88,0,0,0
"LOC112531804|LOC112531804",464,1259,2034,16232,6121,6327
"LOC112531889|LOC112531889",27,70,122,677,332,369
"MAF1|MAF1",589,1815,2172,0,0,0
"HSF1|HSF1",115,223,231,79,37,22
"LOC112531891|LOC112531891",5,7,27,237,67,98
"LOC112531893|LOC112531893",95,132,208,72,35,29
"LOC112531890|LOC112531890",0,0,0,39,18,8
"MROH1L1|MROH1L1",254,643,997,1497,618,725
"LOC101751687|LOC101751687",64,242,394,0,0,0
"LOC112531805|LOC112531805",4,18,18,115,66,34
"LOC107049554|LOC107049554",4,2,10,57,87,9
"BOP1|BOP1",226,841,646,15,8,0
"LOC112531806|LOC112531806",18,0,26,8,16,3
"LOC112531894|LOC112531894",371,777,745,17,22,8
"LOC107050194|LOC107050194",116,89,213,48,36,26
"LOC101748706|LOC101748706",16,33,46,1548,696,1073
"ANGPT1|ANGPT1",21,34,97,11,31,4
"OXR1|OXR1",239,537,940,39,17,15
"LOC107052781|LOC107052781",0,0,0,2762,1163,1511
"MIR1813-1|MIR1813-1",0,0,0,308,164,158
"MIR1813-1",0,0,0,447,326,226
"EIF3E|EIF3E",1393,2915,4587,173,84,111
"EMC2|EMC2",270,834,896,4259,2220,2564
"LOC112531895|LOC112531895",6,42,58,900,713,1466
"NUDCD1|NUDCD1",303,1002,1537,0,0,0
"ENY2|ENY2",96,499,365,11772,3424,4432
"KCNV1|KCNV1",0,0,0,896,462,474
"EBAG9|EBAG9",1555,8287,6742,76697,38570,36047
"SYBU|SYBU",132,524,488,67,46,14
"TRPS1|TRPS1",26,40,147,29,44,5
"UTP23|UTP23",52,185,153,117,21,50
"EIF3H|EIF3H",1614,4752,4713,13153,5740,6463
"MED30|MED30",52,236,194,11769,7367,7541
"MIR1467|MIR1467",0,0,0,50,89,13
"MIR1467",0,0,0,757,397,420
"EXT1|EXT1",649,2391,2270,535,186,239
"SAMD12|SAMD12",300,985,1125,27681,10448,13656
"LOC112531898|LOC112531898",6,7,25,339,118,214
"COLEC10|COLEC10",296,825,980,1195,452,656
"ENPP2|ENPP2",549,1269,1409,169,95,76
"DSCC1|DSCC1",25,178,98,2034,773,1009
"TAF2|TAF2",558,1162,1731,1673,718,836
"LOC107052786|LOC107052786",11,22,25,0,0,0
"DEPDC6|DEPDC6",443,1493,1639,33394,13207,11340
"MRPL13|MRPL13",236,1097,795,3957,2135,1741
"COL14A1|COL14A1",158,307,422,7816,4716,4732
"LOC107052785|LOC107052785",0,6,12,49,82,18
"SNTB1|SNTB1",1411,4353,6399,0,6,10
"FAM83A|FAM83A",0,0,0,4909,1553,2261
"C2H8ORF76|C2H8ORF76",86,305,272,60,40,9
"TBC1D31|TBC1D31",132,445,526,2607,1953,950
"DERL1|DERL1",1747,6870,8408,5180,2241,2170
"ZHX1|ZHX1",918,2353,3670,88,45,52
"FBXO32|FBXO32",106,123,563,0,0,0
"WDYHV1|WDYHV1",106,360,303,1726,747,862
"ATAD2|ATAD2",172,420,648,1,1,1
"ANXA13|ANXA13",139,176,297,193,140,153
"FAM91A1|FAM91A1",533,1368,1813,304,156,133
"FER1L6|FER1L6",69,93,169,494,180,192
"TMEM65|TMEM65",79,185,257,2389,1020,1096
"TATDN1|TATDN1",352,1765,1317,63,76,35
"RNF139|RNF139",599,1840,2446,134,36,51
"NDUFB9|NDUFB9",945,5427,3446,5974,2192,2516
"MTSS1|MTSS1",2267,7511,8196,76,41,54
"SQLE|SQLE",2276,6663,3095,34085,15058,16753
"FAM84B|FAM84B",160,465,605,73,28,5
"LOC112531747|LOC112531747",0,0,0,84,42,20
"LOC107052792|LOC107052792",0,8,15,3192,1212,774
"WASHC5|WASHC5",262,761,1252,0,0,0
"NSMCE2|NSMCE2",143,340,281,3408,1507,1436
"TRIB1|TRIB1",913,1908,2088,463,162,171
"MYC|MYC",183,959,545,1696,440,507
"LOC100858809|LOC100858809",53,237,394,10,0,6
"TRNAS-GCU_1",0,0,0,1225,311,239
"ASAP1|ASAP1",92,120,470,4,7,0
"HHLA1|HHLA1",0,0,0,253,72,102
"KCNQ3|KCNQ3",0,6,11,42,18,15
"EFR3A|EFR3A",633,1344,2282,864,262,236
"PHF20L1|PHF20L1",405,928,1575,20,8,8
"LOC101750227|LOC101750227",19,33,68,1318,612,821
"ST3GAL1|ST3GAL1",63,110,202,0,0,0
"ERR2984226.5326|MIR30B",1,1,1,129,68,76
"ZFAT|ZFAT",76,123,300,9118,5324,4928
"NDRG1|NDRG1",3386,5982,10915,1033,632,571
"KHDRBS3|KHDRBS3",23,63,96,17,11,27
"LOC428383|LOC428383",1,0,2,506,262,315
"CHRAC1|CHRAC1",110,419,541,2199,736,1010
"MIR6572|MIR6572",5,4,13,584,313,411
"ERR2984226.5336|MIR6572",1,1,1,7900,5414,3930
"TRAPPC9|TRAPPC9",382,700,1180,0,0,0
"RPLP1|RPLP1",4570,27525,17068,61,79,50
"PTK2|PTK2",325,948,1894,162,121,73
"DENND3|DENND3",59,101,216,8349,5525,4382
"SLC45A4|SLC45A4",236,461,1421,2991,1470,1611
"LOC101752329|LOC101752329",16,85,64,307,170,204
"LOC107052827|LOC107052827",8,5,24,55,43,21
"PTP4A3|PTP4A3",3250,15383,11049,0,0,0
"PSCA|PSCA",19,43,67,1332,625,613
"TSNARE1|TSNARE1",14,55,55,46,14,13
"LOC107052824|LOC107052824",12,55,96,1816,769,847
"RHPN1|RHPN1",25,20,113,1873,776,764
"LOC107052823|LOC107052823",11,19,6,2847,1330,1808
"ZC3H3|ZC3H3",164,390,465,204,55,41
"LOC776273|LOC776273",739,1955,2324,2763,1021,1224
"LOC420294|LOC420294",272,864,1009,27,10,23
"NAPRT|NAPRT",1417,6379,4046,2922,1135,1152
"TIGD5|TIGD5",13,41,30,636,302,284
"LOC112531809|LOC112531809",0,0,0,819,321,406
"EEF1D|EEF1D",6099,18366,17652,435,204,213
"FAM83H|FAM83H",67,196,176,770,193,263
"CCDC166|CCDC166",9,3,13,10612,4955,4478
"MAPK15|MAPK15",23,33,82,4329,1639,1799
"SCRIB|SCRIB",372,1014,1377,969,347,364
"EPPKL|EPPKL",0,0,0,318,115,181
"NRBP2|NRBP2",79,272,190,585,304,413
"PUF60|PUF60",485,2005,1992,101,38,22
"LOC107050437|LOC107050437",6,26,37,3133,1462,1900
"CPSF1|CPSF1",3,7,4,196,75,78
"CYHR1|CYHR1",9,21,34,247,191,123
"LOC112531812|LOC112531812",0,0,0,1476,804,840
"LOC107051082|LOC107051082",89,431,281,12248,4894,5573
"RPS27A|RPS27A",2963,14196,9940,3688,1556,1797
"MTIF2|MTIF2",385,1324,1779,4419,2489,2368
"PRORSD1P|PRORSD1P",215,1122,832,1441,547,814
"EFEMP1|EFEMP1",41,83,117,423,249,249
"PNPT1|PNPT1",259,602,1010,3117,685,1642
"PPP4R3B|PPP4R3B",729,2243,2839,1064,418,485
"CFAP36|CFAP36",23,60,67,47,26,74
"VRK2|VRK2",149,374,668,658,353,238
"FANCL|FANCL",206,511,594,140,86,97
"BCL11A|BCL11A",10,28,58,1034,612,519
"KIAA1841|KIAA1841",59,246,263,0,0,0
"LOC421195|LOC421195",0,0,0,3468,1570,1507
"AHSA2|AHSA2",339,2225,2591,10,5,0
"LOC112532065|LOC112532065",8,37,36,26,0,18
"XPO1p|XPO1p",28,62,79,2292,1328,1641
"ANXA4L|ANXA4L",73,240,189,159,164,151
"USP34|USP34",603,1340,2473,20,17,13
"LOC107052835|LOC107052835",0,24,28,160,152,146
"XPO1|XPO1",1376,3618,4949,97,162,276
"EML6|EML6",155,157,339,9,6,0
"ACYP2|ACYP2",166,688,458,24239,17607,11906
"LOC100858220|LOC100858220",212,400,606,380,127,183
"SPTBN1|SPTBN1",2222,4328,9498,12,11,8
"LOC112532081|LOC112532081",25,46,72,1,1,1
"TPCN3|TPCN3",29,121,131,0,4,7
"ASB3|ASB3",70,280,281,776,368,455
"NPHP1|NPHP1",124,559,623,9,1,13
"ERLEC1|ERLEC1",1282,6468,7149,1,0,1
"CHAC2|CHAC2",77,222,325,1570,690,695
"MALL|MALL",5,14,16,20249,14818,13937
"BCL2L11|BCL2L11",111,296,564,2467,1032,950
"ANAPC1|ANAPC1",220,600,1003,310,120,158
"MERTK|MERTK",265,251,1253,1484,689,840
"CD93|CD93",34,29,131,53,42,47
"SSTR4|SSTR4",0,0,0,14858,6830,5805
"THBD|THBD",103,246,432,0,0,0
"GZF1|GZF1",217,546,890,0,12,9
"ZC3H6|ZC3H6",236,656,816,70,9,52
"NAPB|NAPB",66,184,214,9711,8392,2001
"XRN2|XRN2",421,1063,1981,111,78,47
"KIZ|KIZ",59,177,210,1633,835,843
"INSM1|INSM1",0,0,0,3123,814,918
"CFAP61|CFAP61",0,0,0,1432,609,588
"LOC112532214|LOC112532214",0,0,0,6781,3040,3127
"CRNKL1|CRNKL1",345,894,1581,56,25,29
"SLC24A3|SLC24A3",27,33,129,1036,446,333
"RIN2|RIN2",317,806,1131,1478,618,455
"KLHDC3|KLHDC3",55,231,234,26766,15657,12572
"PYGB|PYGB",130,228,384,6,6,3
"MEA1|MEA1",94,285,262,3,2,3
"SRF|SRF",111,565,494,0,0,0
"ERR2984226.5494|MIR6542",1,1,1,94,40,25
"PTK7|PTK7",333,1545,1670,241,138,114
"MRPL2|MRPL2",567,3495,1686,1924,901,1018
"LOC107052855|LOC107052855",6,7,28,2525,1051,1121
"LOC107052850|LOC107052850",74,325,185,634,177,223
"ESF1|ESF1",183,733,830,15,18,3
"LOC101747556|LOC101747556",76,139,165,10,4,4
"CUL9|CUL9",349,1061,1306,0,0,0
"XDH|XDH",5267,18123,24548,261,74,160
"OTOR|OTOR",41,85,81,44,22,18
"SNRPB2|SNRPB2",202,782,675,12914,7331,6612
"KIF16B|KIF16B",114,238,480,151,123,115
"LOC112532119|LOC112532119",0,0,0,2193,779,884
"MACROD2|MACROD2",300,1308,1490,632,278,294
"LOC107052851|LOC107052851",0,0,0,28,28,64
"LOC112532125|LOC112532125",0,0,0,74,88,38
"FLRT3|FLRT3",13,5,12,1011,511,484
"LHCGR|LHCGR",4,0,4,33,16,13
"STON1|STON1",60,125,206,491,294,394
"LOC112532054|LOC112532054",154,212,208,770,464,521
"FSHR|FSHR",11,44,39,44,52,20
"CAPN14|CAPN14",8,0,5,333,192,195
"GALNT14|GALNT14",6,11,9,404,165,158
"LOC107052020|LOC107052020",0,0,0,370,169,230
"MIR1792|MIR1792",0,0,0,3433,1353,1547
"NRXN1|NRXN1",173,556,734,1907,1054,1254
"LOC112532066|LOC112532066",0,0,0,111,49,71
"EHD3|EHD3",988,2309,4154,43,27,22
"LOC107052018|LOC107052018",3,4,9,3650,1213,1615
"LBH|LBH",215,315,778,28,14,16
"LCLAT1|LCLAT1",738,1604,2406,7600,3214,3907
"YPEL5|YPEL5",291,802,1026,57,32,28
"FAM179A|FAM179A",9,30,43,12502,5602,6423
"ALK|ALK",14,85,132,578,150,252
"CLIP4|CLIP4",555,1429,2200,0,6,7
"LOC112532076|LOC112532076",4,8,22,818,347,383
"LOC112532238|LOC112532238",0,4,4,12732,6289,8356
"WDR43|WDR43",304,919,1360,7,13,10
"TRMT61B|TRMT61B",127,451,523,4164,1275,1758
"SPDYA|SPDYA",13,30,31,410,132,146
"EPCAM|EPCAM",803,1677,2219,1054,467,427
"MSH2|MSH2",237,890,845,293,77,131
"LOC101749318|LOC101749318",0,0,0,7225,3523,2608
"FBXO11|FBXO11",541,1464,2174,379,121,103
"MSH6|MSH6",129,527,618,861,360,392
"FOXN2|FOXN2",485,1002,1380,9610,2710,1695
"LOC421285|LOC421285",14,4,10,1239,398,497
"PPP1R21|PPP1R21",395,983,1460,1618,856,652
"B3GNT2|B3GNT2",179,585,722,157,75,57
"TMEM17|TMEM17",19,31,29,0,0,0
"COMMD1|COMMD1",112,362,302,485,432,264
"EHBP1|EHBP1",330,542,1397,1006,413,558
"LOC101749934|LOC101749934",9,19,35,67,71,0
"WDPCP|WDPCP",97,74,235,1294,539,623
"MDH1|MDH1",7070,18184,22225,207,127,156
"PELI1|PELI1",225,664,946,955,442,524
"LOC112532189|LOC112532189",9,14,10,2526,909,1054
"LGALSL|LGALSL",99,438,434,303,155,193
"AFTPH|AFTPH",363,899,1769,493,197,206
"CEP68|CEP68",15,52,51,0,0,0
"VPS54|VPS54",187,542,898,0,0,0
"UGP2|UGP2",17565,45826,67956,1892,827,858
"RAB1B|RAB1B",2768,9975,10672,142,74,63
"SPRED2|SPRED2",154,348,581,1963,939,1138
"MIR6711",0,0,0,2749,1135,1014
"ACTR2|ACTR2",520,1059,2298,335,199,204
"LOC107052011|LOC107052011",579,1730,2460,312,351,150
"MEIS1|MEIS1",105,88,297,0,0,0
"C1D|C1D",56,299,246,337,115,155
"LOC421268|LOC421268",0,0,0,854,389,317
"LOC101751139|LOC101751139",0,0,0,1621,629,480
"ETAA1|ETAA1",53,189,294,2192,1543,801
"PNO1|PNO1",220,869,620,7727,2830,2900
"PPP3R1|PPP3R1",419,1052,1942,175,89,75
"CNRIP1|CNRIP1",23,59,98,597,228,284
"FBXO48|FBXO48",77,218,241,1,1,1
"APLF|APLF",110,203,387,696,299,160
"BFSP1|BFSP1",7,25,53,758,487,428
"PCSK2|PCSK2",52,39,118,2206,733,935
"COQ8A|COQ8A",1026,1874,2963,0,0,0
"MIR6631|MIR6631",0,0,0,45,12,13
"MIR6631",0,0,0,1634,642,660
"PSEN2|PSEN2",451,1440,1784,203,70,65
"ITPKB|ITPKB",240,690,975,28788,8748,10649
"TASP1|TASP1",64,282,385,905,331,431
"BTBD3|BTBD3",101,293,420,72,13,23
"LOC107052858|LOC107052858",0,0,0,50,15,15
"ISM1|ISM1",7,31,77,361,161,236
"SPTLC3|SPTLC3",0,8,5,770,275,504
"LAMP5|LAMP5",7,17,15,1244,434,368
"JAG1|JAG1",265,559,1945,0,0,0
"LOC112532058|LOC112532058",8,4,29,22,11,10
"SLX4IP|SLX4IP",23,63,126,0,0,0
"MKKS|MKKS",552,1678,2194,0,0,0
"LOC101747958|LOC101747958",0,0,0,3601,1414,1802
"PLCB4|PLCB4",20,28,49,461,428,196
"LOC107052865|LOC107052865",0,0,0,2099,1143,918
"PLCB1|PLCB1",103,263,443,55,47,23
"LOC107052866|LOC107052866",0,0,0,101,21,24
"LOC112532146|LOC112532146",0,0,0,2308,791,725
"LOC107052867|LOC107052867",8,17,23,1489,620,627
"TMX4|TMX4",311,786,1190,3,1,3
"FAM161A|FAM161A",8,17,56,576,235,335
"FERMT1|FERMT1",339,1108,2391,3581,3110,2837
"CCT4|CCT4",1585,6343,6300,1269,515,486
"POLR3F|POLR3F",134,589,502,766,294,376
"DZANK1|DZANK1",26,51,71,3075,1150,1368
"BIRC5|BIRC5",32,91,70,2702,924,1012
"LOC112532092|LOC112532092",0,5,4,1782,918,1094
"SEC23B|SEC23B",738,2807,3634,434,357,252
"DTD1|DTD1",147,517,569,19,45,108
"OVOL2|OVOL2",5,9,20,1415,1055,827
"KAT14|KAT14",223,594,679,61,33,52
"MGME1|MGME1",34,263,184,3195,1215,1411
"SNX5|SNX5",481,2025,3985,58,23,46
"DSTN|DSTN",2633,8680,10849,37322,14551,12987
"CST7|CST7",44,122,196,1248,590,631
"SYNDIG1|SYNDIG1",0,0,0,2761,1148,1287
"CST3|CST3",2365,10492,8905,28,19,23
"MIR3526|MIR3526",1,1,1,626,428,404
"ERR2984226.5699|MIR3526",1,1,1,1050,481,349
"ACSS1|ACSS1",38,69,181,1008,372,364
"APMAP|APMAP",1609,5521,6108,75449,18485,12797
"MAL|MAL",0,3,4,90,29,32
"ENTPD6|ENTPD6",110,458,379,272,223,82
"MRPS5|MRPS5",280,1210,1004,13960,5772,5401
"LOC112532142|LOC112532142",0,0,0,647,270,291
