gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984233,ERR2984242,ERR2984243,ERR2984244,ERR2984245
LOC107055494|LOC107055494,2,2,0,2,1,0,0,0
LOC100858111|LOC100858111,0,11,0,0,6,3,0,0
MIR6659|MIR6659,0,0,0,0,0,0,0,0
MIR6659,0,0,0,0,0,0,0,0
LOC107053233|LOC107053233,3,12,0,2,11,0,0,2
LOC101749355|LOC101749355,3,8,0,3,3,0,0,2
CHCHD3|CHCHD3,1362,979,1267,970,2137,997,840,1080
LOC107054205|LOC107054205,3,7,0,4,6,5,3,0
LOC101748467|LOC101748467,7,23,3,9,14,8,11,2
LOC107054320|LOC107054320,0,3,0,0,3,0,2,0
LOC112532931|LOC112532931,10,9,3,0,13,0,10,6
LOC101750196|LOC101750196,3,3,0,4,7,0,7,4
LOC107054228|LOC107054228,4,18,0,4,8,4,4,0
LOC101750753|LOC101750753,0,0,0,0,0,0,0,0
LOC107054375|LOC107054375,0,0,0,0,0,0,0,0
PODXL|PODXL,422,323,447,160,732,313,307,331
PLXNA4|PLXNA4,536,298,488,218,1168,247,399,618
MIR6621,0,0,0,0,0,0,0,0
MIR6621|MIR6621,4,1,3,0,9,4,2,6
LOC101750931|LOC101750931,85,25,80,26,98,58,107,55
MIR29A|MIR29A,3,0,0,0,0,0,0,0
ERR2984230.176|MIR29A,1,0,0,0,0,0,0,0
MKLN1|MKLN1,1722,1094,1760,1158,3363,1411,1398,1761
LOC107055713|LOC107055713,114,120,42,83,160,77,113,108
K123|K123,865,364,592,548,1438,1145,473,984
LOC112532968|LOC112532968,5,5,5,0,0,7,0,0
LOC107053972|LOC107053972,24,20,12,9,51,34,9,23
PRKCQ|PRKCQ,127,77,85,67,144,142,106,102
LOC419112|LOC419112,23,0,0,0,26,30,15,6
RBM17|RBM17,723,639,787,605,1375,589,723,691
PFKFB3|PFKFB3,757,462,297,295,840,788,224,139
IL2RA|IL2RA,124,14,92,0,286,131,67,127
SFMBT2|SFMBT2,555,452,503,296,1497,433,559,642
ITIH5|ITIH5,298,68,179,84,279,194,210,198
LOC107054553|LOC107054553,0,0,0,0,0,0,0,0
GATA3|GATA3,37,46,30,57,64,43,41,32
TAF3|TAF3,841,565,934,507,1792,707,655,650
MIR1626|MIR1626,0,0,0,0,0,0,0,0
MIR1626,0,0,0,0,0,0,0,0
MIR1596|MIR1596,0,0,0,0,0,0,0,0
MIR1596,0,0,0,0,0,0,0,0
CELF2|CELF2,45,16,43,12,81,45,34,47
USP6NL|USP6NL,447,251,381,213,873,376,273,361
ECHDC3|ECHDC3,1854,1719,2057,2032,3209,1902,1567,1603
PROSER2|PROSER2,896,765,1240,590,1930,711,876,809
UPF2|UPF2,1460,887,1313,613,2462,1126,1103,1206
ATP5C1|ATP5C1,5696,4678,5553,5460,9821,4476,4518,4831
ITIH2|ITIH2,35044,22298,33974,19939,89734,35221,40988,53081
KIN|KIN,290,177,209,176,551,236,266,266
DHTKD1|DHTKD1,3907,2063,3400,1799,8596,2639,1993,3002
NUDT5|NUDT5,13997,11869,14348,14947,24604,13282,14361,16383
SEC61A2|SEC61A2,568,591,636,519,1188,434,409,404
CDC123|CDC123,1168,821,1220,893,2354,1218,1526,1126
CCDC3|CCDC3,32,16,6,9,30,15,15,20
MCM10|MCM10,37,28,28,16,45,14,0,11
LOC112532973|LOC112532973,49,48,109,83,190,90,112,114
CAMK1D|CAMK1D,8323,4919,8528,4067,17552,5809,7684,7113
OPTN|OPTN,1930,1628,1575,1202,3444,1561,1451,1503
PHYH|PHYH,3971,2520,4282,2999,9621,3771,4812,4633
SEPHS1|SEPHS1,826,535,932,453,1736,704,678,613
BEND7|BEND7,1350,873,1406,875,3011,1199,1173,1403
PRPF18|PRPF18,524,419,549,384,985,576,666,619
HSPA14|HSPA14,213,212,253,149,403,165,223,180
FAM107B|FAM107B,422,190,347,177,750,460,332,325
LOC112532975|LOC112532975,0,0,0,0,0,0,0,0
FRMD4A|FRMD4A,181,88,126,52,337,149,105,133
MIR1460|MIR1460,0,0,0,0,0,0,0,0
MIR1460,0,0,0,0,0,0,0,0
SUV39H2|SUV39H2,502,451,486,325,1015,446,485,552
DCLRE1C|DCLRE1C,62,87,32,21,113,46,52,28
DMTF1|DMTF1,761,723,602,460,1417,621,734,683
TMEM243|TMEM243,221,300,142,357,151,171,147,139
GRM3|GRM3,3,0,0,0,0,0,0,0
SEMA3D|SEMA3D,35,25,50,20,67,20,19,16
SEMA3E|SEMA3E,5,5,0,5,0,0,6,0
