"genes","logFC","logCPM","PValue","FDR"
"LOC107054059",12.7784959242164,3.68770133716607,3.71010722953994e-74,3.4576401113053e-73
"LOC101748676",13.1039577734541,4.01043675533183,4.09427966542351e-74,3.81323828877207e-73
"XPC",-7.63453598939407,4.09985851990465,4.18005162008328e-74,3.89064295059089e-73
"LOC107053739",16.5909730106641,7.48552505400264,4.49090961603867e-74,4.1773177733401e-73
"LRRIQ4",8.21908072922659,4.39029056144413,4.99334910592096e-74,4.64171822422538e-73
"OPN4",12.6734253854083,3.58368199083604,5.21577752145946e-74,4.84540094857515e-73
"GRAMD3",5.70567526289904,8.05144794443459,5.48707573999704e-74,5.09419553929966e-73
"MIR103A1",12.7977501578634,3.70691870053287,5.61025405253498e-74,5.20524714093293e-73
"ACE",7.65886249601495,4.3375544555431,6.44625154110096e-74,5.97709858947388e-73
"PNPLA3",-6.48379306161447,9.45846620459778,6.65629808443068e-74,6.16794444564271e-73
"LOC112530993",7.48747695458481,4.15297962209055,7.34125867805338e-74,6.79834049825057e-73
"MIR1416",12.9487278432565,3.85650099658231,7.4560904485453e-74,6.90030713898622e-73
"MIR1665",10.8858598502691,5.10167397739333,7.75763013916387e-74,7.17482590022795e-73
"PIK3CG",-7.65692630390057,4.64185427136144,8.09528729097671e-74,7.4823803404834e-73
"LOC107053843",15.4344640704901,6.33081010911847,8.62973594424871e-74,7.97132309439358e-73
"PTPRS",-12.8562758831711,3.74846810107904,9.8174501501473e-74,9.06269103247647e-73
"FAM196B",13.0820757490199,3.98876355176434,9.96603856416688e-74,9.19404807690471e-73
"LOC112532993",8.73075565101148,6.58284487909342,1.01946314167332e-73,9.39899993014018e-73
"COMMD2",-12.4627600864682,3.35220271895477,1.11129262335218e-73,1.02391671532443e-72
"UPB1",-5.92868210238334,6.89049560890012,1.18333707969222e-73,1.08960962479789e-72
"LOC112530371",13.882325206876,4.78373659608314,1.18743889875701e-73,1.09269802440404e-72
"MIR6582",10.0843372731829,4.96202827364775,1.19780405872635e-73,1.10154252423965e-72
"LOC101751521",13.1440547584472,4.05016162082263,1.25929276304542e-73,1.15736132996117e-72
"CRYGN",-8.17743629079852,3.73678536636048,1.34433459383794e-73,1.23474301821206e-72
"ZFYVE1",-12.5293300430456,3.41974012600856,1.44347361989904e-73,1.32496733715984e-72
"DGKI",9.03573395586505,5.48713368634532,1.53742268314195e-73,1.4103174933304e-72
"BAZ2A",-12.5674388687619,3.45745979115464,1.54002993739506e-73,1.41182292817779e-72
"CNNM4",-12.461960087006,3.35221687570484,1.67245919063456e-73,1.5322662164729e-72
"MIR1765.1",13.3818996254476,4.28633657007394,1.70298701489289e-73,1.55925747171866e-72
"LOC112532846",9.74131066369335,3.95368958126571,1.87079493866121e-73,1.71183008382318e-72
"LOC425607",-12.6138159094994,3.50476955450131,1.9451216562056e-73,1.77872733179802e-72
"PPP1CC",-6.2504882115122,4.19736911929793,2.32571072492018e-73,2.12542906962218e-72
"HNRNPKL",-12.477578106709,3.36800892908562,2.37516043346925e-73,2.16926371339289e-72
"LOC112530941",-12.9800665301164,3.86869569683474,2.6554896492459e-73,2.42377702963338e-72
"TM9SF3",-6.09289970488071,6.51537496989577,2.79497521344334e-73,2.54949892597051e-72
"LOC101751447",8.54020338831871,4.78815537358283,2.81913304712799e-73,2.56993083079734e-72
"C4H4ORF47",13.8124121948585,4.71422601994654,2.83419357167323e-73,2.58204929319582e-72
"MIR7450",17.0349724652558,7.92942208579156,2.87189275198196e-73,2.61476441026246e-72
"VSTM2L",7.84655160170037,3.90310292525103,2.91737428660088e-73,2.65451995330627e-72
"TAPBP",-7.67648462703155,4.67315519159364,3.04959968428509e-73,2.77310517650641e-72
"LOC112532575",12.6311493374248,3.54178971269936,3.2189329130378e-73,2.92526533944163e-72
"LRRFIP2",-6.2327732497553,4.70673610984719,3.66290736654179e-73,3.32666658466596e-72
"LOC112532745",16.1167038615192,7.01202549368884,3.86496094116632e-73,3.50799218840145e-72
"TRNAV-AAC_6",12.6806432612171,3.59089928625081,3.9087661225385e-73,3.54554930779982e-72
"LOC112530092",8.09220209886669,3.94115632873813,3.93769672247781e-73,3.56957581920399e-72
"VTA1",-12.4691491506382,3.3591644530073,4.94647682417529e-73,4.48126880543543e-72
"VANGL1",-6.01147357225402,4.20514793358871,5.32713291369915e-73,4.8231346510462e-72
"LOC107052697",12.8337171038937,3.74201691413984,5.76116617607451e-73,5.212874385819e-72
"SUCLG1",-6.48330689250631,5.00274022767954,5.76565792405829e-73,5.21371034927375e-72
"ANKRD61",7.08602923998524,5.51892782200807,5.88525042832131e-73,5.31856304941616e-72
"LOC107054886",9.27405359966932,7.15205045168037,6.10894532175172e-73,5.51730642687008e-72
"ERR2984226.14489",9.97073281664031,3.67776952266256,6.28364789939182e-73,5.6695664085444e-72
"FAM98B",-9.37770759720531,3.33427568850688,6.28529226157662e-73,5.6695664085444e-72
"LOC107054402",7.68225053145267,3.95609335999192,6.32078876406749e-73,5.69806824240088e-72
"SPIN1Z",-12.8080707086256,3.69809834056359,6.78684169861919e-73,6.11443389284354e-72
"TRNAA-UGC_5",13.1940842677545,4.09983489884777,7.09245346867802e-73,6.38583010091139e-72
"MYL1",14.0256203742038,4.92548509688414,7.61749668726106e-73,6.85433984550159e-72
"COX7A2",-13.9514494919621,4.84348691894928,8.04379138694782e-73,7.23347221769037e-72
"TTR",-6.0544603830877,10.0627225009432,8.13079055979863e-73,7.30721048280058e-72
