genes	rank
KSR1|KSR1	3.62887871905843
ALDOB|ALDOB	3.62457025072938
NAT10|NAT10	-3.6218151908382
MPI|MPI	-3.62081416452071
CYCS|CYCS	-3.62064232126877
LOC112532524|LOC112532524	3.61974809922653
TP63|TP63	3.61633171331887
ERR2984230.28016	-3.6129378087299
IQGAP2|IQGAP2	3.60708312667835
NDUFA12|NDUFA12	-3.60522228797548
DGUOK|DGUOK	-3.59741269893542
LOC101749898|LOC101749898	3.59648478049735
JUND|JUND	-3.59583321012774
CMC4|CMC4	-3.59337374108747
LSM12|LSM12	-3.58996340823848
JMY|JMY	3.58867003700928
POLR3H|POLR3H	-3.57580481067146
RRP12|RRP12	-3.57289644060686
NQO1|NQO1	-3.57204345242822
TANC1|TANC1	3.57185920520949
H1F0|H1F0	-3.57152496750181
TPST2|TPST2	3.57105771608851
IL1RL2|IL1RL2	3.56829825247648
LOC112532176|LOC112532176	-3.56410908066621
NHLRC3|NHLRC3	3.56391032725183
TRNT1|TRNT1	-3.56127875359862
ZC2HC1C|ZC2HC1C	-3.55060433266992
LOC769668|LOC769668	-3.52941378463567
F11|F11	3.52852723312201
TXNIP|TXNIP	3.51670764543668
CKS1B|CKS1B	-3.51390806999382
C1QBP|C1QBP	-3.51124882029293
NSMF|NSMF	-3.50639051376544
B3GNT2|B3GNT2	3.50259814304031
ACOX3|ACOX3	3.50255089329133
EEF2K|EEF2K	3.49798619181422
LOC101751578|LOC101751578	-3.49264526074122
ACOT8|ACOT8	-3.49055168270762
RBPMS|RBPMS	-3.48095720642549
SUN2|SUN2	3.47243104619677
ABCA8|ABCA8	3.46612838953062
PRORSD1P|PRORSD1P	-3.46427075166456
UCK2|UCK2	-3.4552403973456
UCHL3|UCHL3	-3.45093605005218
GSL|GSL	-3.45040627320793
MIA2|MIA2	3.44818256714575
TBCA|TBCA	-3.44485710541245
C3AR1|C3AR1	3.43131980803117
OAZ2|OAZ2	3.42915387530967
CD83|CD83	3.42657709842508
LOC112533303|LOC112533303	-3.42070237738328
LOC107051620|LOC107051620	3.41453053723853
DZIP1|DZIP1	3.40358196316837
TSR1|TSR1	-3.40349913558458
TPD52|TPD52	-3.38829823194927
HDGF|HDGF	-3.38705953293666
LOC107054098|LOC107054098	3.38647624559385
LOC107054179|LOC107054179	3.38238836328955
ARPC4-TTLL3|ARPC4-TTLL3	-3.38195442929482
XKRX|XKRX	-3.37933199892815
MAP2K2|MAP2K2	-3.37853431260992
NPTXR|NPTXR	-3.37659657403653
VPS72|VPS72	-3.36871873323647
FBXO32|FBXO32	3.3658874536472
JAG1|JAG1	-3.36357451737141
UTP4|UTP4	-3.35363641709369
ATP5F1B|ATP5F1B	-3.34363671668148
PDSS1|PDSS1	-3.34338238141553
RBPJ|RBPJ	3.34324802814683
TMEM183A|TMEM183A	-3.33925319733869
AHR|AHR	3.33778553246824
NDUFV1|NDUFV1	-3.33142526475396
SNRPA1|SNRPA1	-3.33099700004895
INPP5F|INPP5F	3.32398238397599
TBCCD1|TBCCD1	-3.32294018236992
LOC107050614|LOC107050614	-3.32131098096698
HSP90AB1|HSP90AB1	-3.32114886856338
B3GALT5|B3GALT5	3.3196004963126
MRPS24|MRPS24	-3.30920546026081
GTPBP10|GTPBP10	-3.30793366194793
LMAN2L|LMAN2L	-3.30621456686822
HSD17B10|HSD17B10	-3.30367019801164
SLC19A2|SLC19A2	-3.29512883184571
METTL23|METTL23	-3.2891643295092
AS3MT|AS3MT	-3.28212921529098
AvBD8|AvBD8	-3.27907809670078
SHMT1|SHMT1	-3.27583364976503
TNFRSF21|TNFRSF21	-3.27381520589283
CRBN|CRBN	3.26755393497737
SNRPL|SNRPL	-3.2569670842289
NDUFS8|NDUFS8	-3.25238141187324
CXorf23|CXorf23	3.24784846857378
CL2|CL2	-3.24743169963019
LOC107052275|LOC107052275	-3.24633146500074
HMOX1|HMOX1	3.24530625871419
RSL1D1|RSL1D1	-3.23987747141247
CDKN2B|CDKN2B	-3.23631909300642
SETD6|SETD6	-3.23566035777088
OGFOD1|OGFOD1	-3.23006894048663
PRKG1|PRKG1	3.21560167226133
LOC112530174|LOC112530174	-3.21476392073298
ESR1|ESR1	3.20148353636516
DDO|DDO	-3.19180848890204
LOC107056412|LOC107056412	-3.19054711311455
LRP5|LRP5	3.1896100464995
TFB1M|TFB1M	3.18762999209839
