gene_id,ERR2984226,ERR2984227,ERR2984230,ERR2984246,ERR2984239,ERR2984238,ERR2984244,ERR2984249
LOC101750035|LOC101750035,8,14,9,21,8,12,0,4
LOC107055493|LOC107055493,0,0,0,3,1,0,0,0
LOC101747803|LOC101747803,0,3,0,18,6,10,0,0
LOC112532918|LOC112532918,3,3,0,17,6,8,0,2
LOC107055494|LOC107055494,6,2,2,16,3,6,0,0
LOC100858111|LOC100858111,0,10,11,22,6,6,0,0
MIR6659|MIR6659,0,0,0,0,0,0,0,0
MIR6659,0,0,0,0,0,0,0,0
LOC107053233|LOC107053233,11,14,13,43,19,11,2,2
LOC101749355|LOC101749355,4,5,8,23,8,10,2,3
MIR6621,0,0,0,1,0,1,0,0
MIR6621|MIR6621,3,4,1,7,3,3,6,6
PODXL|PODXL,161,306,324,745,717,517,329,213
PLXNA4|PLXNA4,231,305,296,646,786,552,617,766
LOC101750931|LOC101750931,46,64,25,113,100,132,55,104
MKLN1|MKLN1,599,1654,1099,2475,3668,2549,1766,2453
LOC107055713|LOC107055713,42,109,119,271,207,223,108,97
K123|K123,331,255,364,1830,1386,559,989,347
LOC112532968|LOC112532968,4,6,5,6,0,7,0,5
LOC107053972|LOC107053972,13,32,20,27,71,40,23,34
PRKCQ|PRKCQ,56,90,77,472,264,172,102,159
LOC419112|LOC419112,0,6,7,26,33,26,6,7
RBM17|RBM17,309,916,644,991,1708,1252,695,970
PFKFB3|PFKFB3,362,331,463,881,678,1548,332,1049
IL2RA|IL2RA,46,4,14,237,95,61,129,33
ITIH5|ITIH5,51,100,68,411,265,197,200,102
SFMBT2|SFMBT2,295,803,455,1007,1589,1105,646,1125
LOC107054553|LOC107054553,0,0,0,0,6,0,0,0
GATA3|GATA3,26,39,49,103,153,52,33,56
TAF3|TAF3,300,775,568,1108,1584,1206,651,1044
MIR1596|MIR1596,0,0,0,0,0,0,0,0
MIR1596,0,0,0,0,0,0,0,0
CELF2|CELF2,14,16,16,151,72,40,45,34
USP6NL|USP6NL,161,436,254,603,828,617,363,617
ECHDC3|ECHDC3,741,2959,1720,2270,4988,2861,1603,2501
PROSER2|PROSER2,338,1272,765,1421,1591,1364,809,1640
ITIH2|ITIH2,13815,33897,22322,48643,94657,60054,53079,60981
KIN|KIN,100,262,181,318,566,381,270,326
ATP5C1|ATP5C1,2086,7696,4680,6850,13674,8097,4831,6507
UPF2|UPF2,517,1243,888,2085,2561,2014,1208,1913
DHTKD1|DHTKD1,1125,3048,2064,5088,7148,3575,3001,4342
SEC61A2|SEC61A2,243,1123,594,1233,1325,1097,412,849
NUDT5|NUDT5,5553,19082,12141,18931,43537,21972,16672,21295
CDC123|CDC123,466,1365,866,2005,2976,2244,1163,1605
CCDC3|CCDC3,6,12,16,51,28,33,20,5
LOC112532973|LOC112532973,22,87,48,66,195,114,115,80
CAMK1D|CAMK1D,1954,8688,4921,11384,14706,14277,7110,8040
MCM10|MCM10,9,35,28,27,42,58,11,35
OPTN|OPTN,565,1797,1630,2453,3772,3234,1503,2347
PHYH|PHYH,1449,4449,2520,3817,10735,6490,4642,6467
SEPHS1|SEPHS1,359,879,537,1103,1801,1192,615,910
BEND7|BEND7,430,1340,874,1601,2719,2082,1403,1866
PRPF18|PRPF18,206,584,423,765,1209,914,619,674
HSPA14|HSPA14,64,416,214,333,500,309,182,297
DCLRE1C|DCLRE1C,22,46,87,70,120,99,29,78
MEIG1|MEIG1,0,5,0,0,0,0,4,4
SUV39H2|SUV39H2,221,613,451,667,1124,780,552,745
FAM107B|FAM107B,157,180,190,1023,637,337,325,259
LOC112532975|LOC112532975,0,0,0,0,0,0,0,0
FRMD4A|FRMD4A,43,109,88,278,219,149,133,160
MIR1460|MIR1460,0,0,0,0,0,0,0,0
MIR1460,0,0,0,0,0,0,0,0
DMTF1|DMTF1,345,931,727,1292,1480,1411,687,1071
TMEM243|TMEM243,56,483,300,330,203,378,139,197
SEMA3D|SEMA3D,9,31,24,29,37,51,16,38
KIAA1324L|KIAA1324L,1659,4301,1239,7914,14085,8584,3937,4559
SEMA3E|SEMA3E,0,0,5,12,0,20,0,8
SEMA3A|SEMA3A,12,0,0,11,0,5,11,6
PCLO|PCLO,0,5,0,11,9,0,0,0
LOC107055432|LOC107055432,0,0,0,0,0,0,0,0
LOC107055502|LOC107055502,3,0,0,0,0,0,0,0
LOC112532986|LOC112532986,0,0,6,0,9,0,0,6
LOC107057089|LOC107057089,0,0,7,14,15,10,8,10
HGF|HGF,26,70,48,219,157,104,107,84
SEMA3C|SEMA3C,20,56,27,92,117,94,39,53
CACNA2D1|CACNA2D1,52,62,52,162,265,109,134,119
LOC112532984|LOC112532984,0,3,0,0,0,0,0,0
GNAT3|GNAT3,0,0,0,0,0,0,0,3
GNAI1|GNAI1,79,115,118,295,480,175,117,126
CD36|CD36,3538,10399,5834,13753,24931,16652,11196,14243
TMEM60|TMEM60,89,311,270,339,597,486,321,353
PHTF2|PHTF2,76,169,84,477,350,219,177,186
RSBN1L|RSBN1L,208,600,409,964,1129,987,571,940
LOC112532992|LOC112532992,0,0,7,20,5,5,4,9
LOC107051625|LOC107051625,137,4,290,210,760,6,116,130
PTPN12|PTPN12,524,1191,797,1930,2546,1971,981,1657
MAGI2|MAGI2,29,42,44,87,146,71,68,70
ARMC10|ARMC10,15,25,30,53,111,87,48,49
FBXL13|FBXL13,0,0,0,0,0,0,0,0
LRRC17|LRRC17,6,18,8,15,36,26,4,27
NAPEPLD|NAPEPLD,199,520,378,1096,1741,758,741,692
GSAP|GSAP,324,837,551,1083,2135,1209,880,1162
CCDC146|CCDC146,6,32,3,33,36,20,12,24
LOC107051626|LOC107051626,4,15,6,4,18,44,11,28
FGL2|FGL2,209,120,114,1143,822,421,623,281
FAM185A|FAM185A,52,192,68,249,327,295,201,219
DNAJC2|DNAJC2,365,1523,843,1520,1849,1774,791,1301
PMPCB|PMPCB,440,1478,883,1698,2675,1735,1016,1505
PSMC2|PSMC2,1152,4770,2394,4264,6405,5305,2537,4244
ORC5|ORC5,45,262,142,341,324,310,136,165
TRNAG-CCC,0,0,0,0,0,0,0,0
RELN|RELN,209,416,434,1082,918,604,724,529
SLC26A5|SLC26A5,1441,1899,1864,4810,5356,4795,5180,5739
LOC112533002|LOC112533002,5,0,0,16,13,10,14,11
LOC101752215|LOC101752215,93,189,159,243,490,346,119,339
KMT2E|KMT2E,895,1754,1347,2907,2986,3273,2341,2828
LOC107051628|LOC107051628,24,131,79,123,163,80,52,69
SRPK2|SRPK2,180,405,343,776,885,782,454,730
LOC107051629|LOC107051629,0,0,0,0,0,0,0,8
LOC107051627|LOC107051627,13,16,9,36,46,48,41,48
EFCAB10|EFCAB10,0,5,0,0,18,4,10,8
RINT1|RINT1,127,475,257,636,827,897,297,629
PUS7|PUS7,312,794,650,1114,1472,1413,425,938
CCDC71L|CCDC71L,118,498,278,385,527,603,198,361
LOC112533020|LOC112533020,0,0,0,6,0,0,8,0
ATXN7L1|ATXN7L1,369,962,611,1495,1913,1542,749,1306
CDHR3|CDHR3,7,42,19,61,100,97,45,67
LOC107051630|LOC107051630,0,0,3,9,17,11,7,11
SYPL1|SYPL1,325,1145,623,1283,1466,1289,682,898
NAMPT|NAMPT,1209,3878,2512,5291,5824,5279,2249,4135
PIK3CG|PIK3CG,558,1481,1053,2819,4264,2290,1656,2279
PRKAR2B|PRKAR2B,44,237,184,201,233,163,115,215
DUS4L|DUS4L,92,353,264,394,858,510,361,368
LOC112533028|LOC112533028,0,4,0,0,9,6,0,0
HBP1|HBP1,486,821,590,1823,2314,1680,1566,1508
COG5|COG5,253,739,606,948,1200,1253,600,729
GPR22|GPR22,8,0,0,0,0,0,3,0
SLC26A3|SLC26A3,6,5,9,13,19,10,8,11
CBLL1|CBLL1,113,440,338,544,690,826,255,550
MIR2126|MIR2126,0,0,0,1,0,0,0,0
MIR2126,0,0,0,1,0,0,0,0
BCAP29|BCAP29,721,2882,1838,2808,5999,3757,2356,2651
DLD|DLD,1969,6051,3267,7550,11917,7167,4747,6520
LRRK2|LRRK2,110,254,175,532,434,340,251,309
LOC112533030|LOC112533030,0,8,0,4,9,6,5,13
LAMB4|LAMB4,12,38,7,16,13,37,20,29
LAMB1|LAMB1,201,507,289,843,1211,1026,364,550
ERGIC2|ERGIC2,942,3564,2347,3780,5777,4625,2400,2968
SLC2A13|SLC2A13,568,2223,1033,2023,3212,2761,1395,2165
C12orf40|C12orf40,22,29,26,88,89,58,57,58
LOC107051632|LOC107051632,0,0,0,0,4,0,0,2
ABCD2|ABCD2,414,997,858,1886,2707,1740,1821,2189
LOC107051634|LOC107051634,97,370,440,467,1339,631,274,489
GTSE1|GTSE1,14,28,23,71,57,23,20,38
KIF21A|KIF21A,833,2270,1700,3692,6162,4637,2381,4342
LOC107051635|LOC107051635,5,11,27,29,14,14,0,0
ALG10|ALG10,125,326,209,400,691,520,354,365
TPRKB|TPRKB,74,560,311,572,777,609,350,442
CPNE8|CPNE8,284,567,429,1040,1314,920,882,1041
TRMU|TRMU,168,570,330,523,849,684,288,423
HIST1H2B5L|HIST1H2B5L,33,179,127,169,296,138,60,116
LOC107051636|LOC107051636,14,100,31,176,504,151,26,65
GRAMD4|GRAMD4,108,304,162,497,571,317,204,277
CELSR1|CELSR1,294,595,507,854,1213,952,379,968
CERK|CERK,374,1161,764,1414,2645,1916,936,1357
TBC1D22A|TBC1D22A,287,696,519,1240,1845,1208,785,959
LOC107049439|LOC107049439,0,0,0,0,0,0,0,0
BRD1|BRD1,267,558,592,1232,1887,1140,875,957
ZBED4|ZBED4,282,643,420,1167,1559,879,493,795
LOC112533147|LOC112533147,51,166,94,197,590,382,224,122
LOC107050376|LOC107050376,0,0,0,0,0,0,0,0
PIM3|PIM3,688,1432,1025,1725,6039,5073,2188,1832
LOC101748415|LOC101748415,0,0,0,0,0,0,0,0
LOC107050120|LOC107050120,0,0,0,0,0,0,0,0
MOV10L1|MOV10L1,0,26,0,50,125,61,19,9
LOC107049700|LOC107049700,0,0,4,14,21,14,5,23
LOC112533153|LOC112533153,0,0,0,0,0,0,0,0
PANX2|PANX2,21,76,54,89,184,129,15,81
LOC429348|LOC429348,80,118,160,61,674,990,52,850
ALG12|ALG12,1728,6792,3503,8278,17160,10048,6075,4920
CRELD2|CRELD2,1661,11467,3907,10309,17435,10075,3073,4605
TRABD|TRABD,772,2313,1680,2618,4685,4362,1190,3384
LOC112533154|LOC112533154,0,0,0,0,5,0,4,0
SELENOO|SELENOO,556,1724,1432,2337,4299,2401,1667,2703
MAPK12|MAPK12,32,77,86,108,205,137,118,104
MAPK11|MAPK11,83,236,216,327,309,294,184,224
TUBGCP6|TUBGCP6,106,218,143,454,527,361,344,370
HDAC10|HDAC10,221,588,478,666,1215,902,817,757
ARL8BL|ARL8BL,11,26,10,20,56,22,5,19
ZNF800|ZNF800,89,265,140,301,536,347,219,217
LOC107052593|LOC107052593,30,13,66,37,191,61,82,67
POT1|POT1,82,196,117,237,473,217,192,160
ASB15|ASB15,0,0,0,0,0,0,0,0
WASL|WASL,347,946,657,1248,2329,1523,761,1304
LOC107051595|LOC107051595,0,0,0,8,0,0,3,0
MIR1693|MIR1693,0,0,0,0,0,0,0,0
MIR1693,0,0,0,0,0,0,0,0
PLXNB2|PLXNB2,2046,4517,3043,8837,10387,8554,4753,7133
IQUB|IQUB,34,70,93,78,147,120,63,170
NDUFA5|NDUFA5,513,2366,1103,1498,2412,1628,937,999
SLC13A1|SLC13A1,6,0,5,21,27,9,0,0
ATP6AP1|ATP6AP1,483,1140,666,2799,3116,1892,1793,1248
LOC107052612|LOC107052612,6,2,5,33,18,23,19,27
CADPS2|CADPS2,17,42,21,76,145,134,76,77
WNT16|WNT16,0,0,0,3,6,12,4,4
FAM3C|FAM3C,179,566,313,775,1293,747,597,729
PTPRZ1|PTPRZ1,0,0,3,13,20,11,0,8
AASS|AASS,1121,3866,2164,6228,12317,3741,3301,3367
CPED1|CPED1,85,116,63,200,405,116,325,94
MIR1645,0,0,0,0,0,0,0,0
MIR1645|MIR1645,0,0,0,0,0,0,0,0
ING3|ING3,162,359,278,597,952,590,355,482
LSM8|LSM8,68,274,173,188,452,274,121,180
LOC112533181|LOC112533181,0,0,0,0,5,0,0,0
ANKRD26|ANKRD26,72,199,128,419,385,263,225,248
CTTNBP2|CTTNBP2,15,16,14,71,69,55,33,37
CFTR|CFTR,0,12,12,31,40,33,10,16
TSPAN12|TSPAN12,1715,4731,4040,5724,13828,8005,6151,6612
KCND2|KCND2,0,6,3,0,23,10,0,0
LOC101747342|LOC101747342,0,0,0,0,5,0,0,0
ST7|ST7,146,707,343,622,913,859,313,529
CAPZA2|CAPZA2,886,2193,1298,3563,6071,3167,2185,2365
CAV1|CAV1,9,14,12,35,52,48,12,19
CAV2|CAV2,20,46,23,77,74,91,20,49
TES|TES,43,68,52,170,246,168,73,91
LOC112533188|LOC112533188,4,3,0,5,9,0,0,5
TFEC|TFEC,11,9,0,47,14,0,20,14
MDFIC|MDFIC,92,277,115,428,425,310,196,212
MET|MET,872,1609,1357,2498,3359,2242,2355,2645
LOC112533184|LOC112533184,12,7,13,51,43,27,11,21
GPR85|GPR85,0,0,0,0,0,0,0,0
LOC107052654|LOC107052654,2,0,0,0,0,0,0,0
LOC107052650|LOC107052650,218,484,471,968,1150,740,402,392
BMT2|BMT2,52,96,90,329,280,212,191,249
