gene_id,CN_2w_2,CN_2w_1,CN_3hr_3,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_3,HT_3hr_4
LOC101750035|LOC101750035,8,14,9,21,0,2,0,0
LOC107055493|LOC107055493,0,0,0,3,1,0,0,0
LOC101747803|LOC101747803,0,3,0,18,6,3,0,0
LOC112532918|LOC112532918,3,3,0,17,0,0,0,0
LOC107055494|LOC107055494,6,2,2,16,0,0,0,0
LOC100858111|LOC100858111,0,10,11,22,11,0,0,2
MIR6659|MIR6659,0,0,0,0,3,0,0,2
MIR6659,0,0,0,0,2137,997,840,1080
LOC107053233|LOC107053233,11,14,13,43,6,5,3,0
LOC101749355|LOC101749355,4,5,8,23,14,8,11,2
MIR6621,0,0,0,1,3,0,2,0
MIR6621|MIR6621,3,4,1,7,13,0,10,6
PODXL|PODXL,161,306,324,745,7,0,7,4
PLXNA4|PLXNA4,231,305,296,646,8,4,4,0
LOC101750931|LOC101750931,46,64,25,113,0,0,0,0
MKLN1|MKLN1,599,1654,1099,2475,0,0,0,0
LOC107055713|LOC107055713,42,109,119,271,732,313,307,331
K123|K123,331,255,364,1830,1168,247,399,618
LOC112532968|LOC112532968,4,6,5,6,0,0,0,0
LOC107053972|LOC107053972,13,32,20,27,9,4,2,6
PRKCQ|PRKCQ,56,90,77,472,98,58,107,55
LOC419112|LOC419112,0,6,7,26,0,0,0,0
RBM17|RBM17,309,916,644,991,0,0,0,0
PFKFB3|PFKFB3,362,331,463,881,3363,1411,1398,1761
IL2RA|IL2RA,46,4,14,237,160,77,113,108
ITIH5|ITIH5,51,100,68,411,1438,1145,473,984
SFMBT2|SFMBT2,295,803,455,1007,0,7,0,0
LOC107054553|LOC107054553,0,0,0,0,51,34,9,23
GATA3|GATA3,26,39,49,103,144,142,106,102
TAF3|TAF3,300,775,568,1108,26,30,15,6
MIR1596|MIR1596,0,0,0,0,1375,589,723,691
MIR1596,0,0,0,0,840,788,224,139
CELF2|CELF2,14,16,16,151,286,131,67,127
USP6NL|USP6NL,161,436,254,603,1497,433,559,642
ECHDC3|ECHDC3,741,2959,1720,2270,279,194,210,198
PROSER2|PROSER2,338,1272,765,1421,0,0,0,0
ITIH2|ITIH2,13815,33897,22322,48643,64,43,41,32
KIN|KIN,100,262,181,318,1792,707,655,650
ATP5C1|ATP5C1,2086,7696,4680,6850,0,0,0,0
UPF2|UPF2,517,1243,888,2085,0,0,0,0
DHTKD1|DHTKD1,1125,3048,2064,5088,0,0,0,0
SEC61A2|SEC61A2,243,1123,594,1233,0,0,0,0
NUDT5|NUDT5,5553,19082,12141,18931,81,45,34,47
CDC123|CDC123,466,1365,866,2005,873,376,273,361
CCDC3|CCDC3,6,12,16,51,3209,1902,1567,1603
LOC112532973|LOC112532973,22,87,48,66,1930,711,876,809
CAMK1D|CAMK1D,1954,8688,4921,11384,2462,1126,1103,1206
MCM10|MCM10,9,35,28,27,9821,4476,4518,4831
OPTN|OPTN,565,1797,1630,2453,89734,35221,40988,53081
PHYH|PHYH,1449,4449,2520,3817,551,236,266,266
SEPHS1|SEPHS1,359,879,537,1103,8596,2639,1993,3002
BEND7|BEND7,430,1340,874,1601,24604,13282,14361,16383
PRPF18|PRPF18,206,584,423,765,1188,434,409,404
HSPA14|HSPA14,64,416,214,333,2354,1218,1526,1126
DCLRE1C|DCLRE1C,22,46,87,70,30,15,15,20
MEIG1|MEIG1,0,5,0,0,45,14,0,11
SUV39H2|SUV39H2,221,613,451,667,190,90,112,114
FAM107B|FAM107B,157,180,190,1023,17552,5809,7684,7113
LOC112532975|LOC112532975,0,0,0,0,3444,1561,1451,1503
FRMD4A|FRMD4A,43,109,88,278,9621,3771,4812,4633
MIR1460|MIR1460,0,0,0,0,1736,704,678,613
MIR1460,0,0,0,0,3011,1199,1173,1403
DMTF1|DMTF1,345,931,727,1292,985,576,666,619
TMEM243|TMEM243,56,483,300,330,403,165,223,180
SEMA3D|SEMA3D,9,31,24,29,750,460,332,325
KIAA1324L|KIAA1324L,1659,4301,1239,7914,0,0,0,0
SEMA3E|SEMA3E,0,0,5,12,337,149,105,133
SEMA3A|SEMA3A,12,0,0,11,0,0,0,0
PCLO|PCLO,0,5,0,11,0,0,0,0
LOC107055432|LOC107055432,0,0,0,0,1015,446,485,552
LOC107055502|LOC107055502,3,0,0,0,113,46,52,28
LOC112532986|LOC112532986,0,0,6,0,1417,621,734,683
LOC107057089|LOC107057089,0,0,7,14,151,171,147,139
HGF|HGF,26,70,48,219,0,0,0,0
SEMA3C|SEMA3C,20,56,27,92,67,20,19,16
CACNA2D1|CACNA2D1,52,62,52,162,0,0,6,0
LOC112532984|LOC112532984,0,3,0,0,6314,2120,4751,3930
GNAT3|GNAT3,0,0,0,0,21,7,8,11
GNAI1|GNAI1,79,115,118,295,0,0,0,0
CD36|CD36,3538,10399,5834,13753,0,0,0,0
TMEM60|TMEM60,89,311,270,339,0,0,0,0
PHTF2|PHTF2,76,169,84,477,15,0,0,8
RSBN1L|RSBN1L,208,600,409,964,220,90,75,107
LOC112532992|LOC112532992,0,0,7,20,6,0,11,0
LOC107051625|LOC107051625,137,4,290,210,65,72,34,39
PTPN12|PTPN12,524,1191,797,1930,210,136,166,134
MAGI2|MAGI2,29,42,44,87,0,0,0,0
ARMC10|ARMC10,15,25,30,53,336,287,171,114
FBXL13|FBXL13,0,0,0,0,390,262,217,175
LRRC17|LRRC17,6,18,8,15,24548,11958,11401,11185
NAPEPLD|NAPEPLD,199,520,378,1096,356,216,239,315
GSAP|GSAP,324,837,551,1083,140,60,70,69
CCDC146|CCDC146,6,32,3,33,1276,481,513,570
LOC107051626|LOC107051626,4,15,6,4,2222,807,886,980
FGL2|FGL2,209,120,114,1143,64,35,60,44
FAM185A|FAM185A,52,192,68,249,5,0,4,0
