gene_id,CN_2w_2,CN_2w_1,CN_3hr_3,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_3,HT_3hr_4
KL|KL,30,0,0,6,709,283,304,266
NBEA|NBEA,8,15,14,20,33,3,0,13
LOC112531575|LOC112531575,0,0,0,3,38,11,21,0
MAB21L1|MAB21L1,0,3,0,0,1851,622,839,846
STARD13|STARD13,638,1824,1081,2278,57,24,45,28
LOC107052065|LOC107052065,4,7,0,0,2093,965,928,866
LOC101747501|LOC101747501,0,12,0,0,583,215,202,213
PDS5B|PDS5B,221,496,264,797,56,31,19,31
ZAR1L|ZAR1L,10,13,15,7,158,44,90,56
B3GLCT|B3GLCT,149,363,253,492,0,0,0,0
ALOX5AP|ALOX5AP,42,103,89,304,0,0,0,0
N4BP2L2|N4BP2L2,81,241,189,364,0,0,0,0
BRCA2|BRCA2,122,435,212,450,0,0,0,0
N4BP2L1|N4BP2L1,1528,4053,3250,3713,252,115,130,33
LOC107052079|LOC107052079,6,5,0,11,5,0,0,0
FRY|FRY,161,591,265,858,80,31,32,6
HSPH1|HSPH1,198,746,276,979,179,27,75,82
LOC107052088|LOC107052088,7,0,5,4,6,5,0,19
USPL1|USPL1,597,1732,1204,2583,53,12,36,25
LOC107052100|LOC107052100,12,25,16,60,181,49,169,108
MIR1646|MIR1646,0,0,0,0,23,3,14,9
MIR1646,0,0,0,0,69,15,62,26
KATNAL1|KATNAL1,6,38,29,79,363,185,249,269
LOC101747923|LOC101747923,10,44,25,39,0,0,0,0
LOC112531576|LOC112531576,19,47,16,66,4,10,6,0
HMGB1|HMGB1,1047,2597,1706,3711,2414,1080,1856,1374
UBL3|UBL3,971,2812,2128,3612,592,347,371,270
SLC7A1|SLC7A1,92,280,91,365,85,32,126,61
LOC101748210|LOC101748210,5,48,87,17,34,16,17,0
SLC46A3|SLC46A3,137,394,258,625,2726,1311,1501,1250
MTUS2|MTUS2,0,7,0,0,99,33,60,54
LOC112531577|LOC112531577,0,0,0,0,389,258,263,271
POMP|POMP,500,2059,1042,1899,28,17,12,32
MIR6656|MIR6656,0,0,2,0,218,86,72,151
MIR6656,0,0,1,0,7061,2822,4500,3859
FLT1|FLT1,17,28,22,151,30,10,14,4
PDX1|PDX1,15,41,20,46,42,11,17,31
FLT3|FLT3,28,22,16,151,123,23,30,22
LOC418927|LOC418927,177,543,377,564,1925,730,769,688
PAN3|PAN3,483,846,665,1764,85,46,24,45
LOC101749023|LOC101749023,226,484,260,462,8,20,0,0
RASL11A|RASL11A,8,68,33,46,106,50,29,29
MTIF3|MTIF3,218,766,521,912,240,115,59,47
GTF3A|GTF3A,121,523,319,510,1465,818,703,729
LOC112531578|LOC112531578,0,5,12,14,1321,493,667,502
USP12|USP12,36,156,102,274,20,0,33,0
GPR12|GPR12,6,0,0,11,1398,624,697,686
WASF3|WASF3,11,9,11,17,91,68,65,47
CDK8|CDK8,84,229,153,282,26,13,37,7
RNF6|RNF6,247,561,404,1010,0,0,0,0
SHISA2|SHISA2,103,494,257,397,0,9,0,0
RPL21|RPL21,5940,16218,10727,19281,3979,1672,1409,1342
LOC112531634|LOC112531634,7,36,17,33,148,174,69,71
LOC112531622|LOC112531622,4,8,5,14,1350,656,708,733
NUP58|NUP58,150,331,270,484,403,211,176,178
ATP8A2|ATP8A2,6,29,8,27,1716,810,797,865
LOC107052156|LOC107052156,4,16,11,25,136,75,43,54
LOC107052157|LOC107052157,3,3,0,9,1236,700,790,655
AMER2|AMER2,22,23,94,85,3238,1790,1925,1070
MTMR6|MTMR6,211,605,340,1045,2639,859,1112,978
MIPEP|MIPEP,143,588,353,730,108,42,67,58
TNFRSF19|TNFRSF19,25,38,40,89,7,4,0,0
SACS|SACS,62,86,28,317,154,48,77,52
SPATA13|SPATA13,2108,5405,4139,8484,26,28,16,27
SGCG|SGCG,297,1040,773,5443,0,0,0,0
LOC112531584|LOC112531584,0,2,0,0,0,1,0,0
MICU2|MICU2,606,1633,1103,2278,0,25,3,4
SKA3|SKA3,0,55,51,27,3736,1597,1139,1563
MRPL57|MRPL57,219,1330,669,717,0,9,0,14
ZDHHC20|ZDHHC20,303,1126,685,1482,0,0,0,0
SAP18|SAP18,646,2671,1350,2358,1085,503,554,524
LATS2|LATS2,247,518,390,886,0,4,8,7
IL17D|IL17D,3,30,17,27,170015,49084,76993,71748
XPO4|XPO4,250,657,398,1088,8,0,13,10
EEF1AKMT1|EEF1AKMT1,156,892,355,827,1272,757,1091,849
IFT88|IFT88,160,522,419,597,834,212,349,363
GJB2|GJB2,47,248,142,205,198,55,75,49
GJA3|GJA3,4,19,17,63,1638,438,840,608
CRYL1|CRYL1,1802,5618,2962,7245,8,14,22,16
ZMYM2|ZMYM2,244,620,449,947,549,213,190,220
CENPJ|CENPJ,0,41,12,28,598,150,239,236
RNF17|RNF17,0,0,0,11,6,0,3,7
ARHGAP20|ARHGAP20,4,17,18,41,11500,4390,4433,4210
PSPC1|PSPC1,343,1131,566,1186,796,313,437,436
MIR6641|MIR6641,3,0,1,3,1322,517,322,390
ERR2984226.2919|MIR6641,1,0,1,1,191,138,124,70
MPHOSPH8|MPHOSPH8,190,592,480,954,0,0,0,4
PARP4|PARP4,413,845,720,1735,1329,391,721,345
LOC112531585|LOC112531585,0,0,0,0,3213,1295,1589,1564
FDX1|FDX1,866,2668,2080,2976,65,22,59,21
C1H11ORF87|C1H11ORF87,0,12,5,18,56,19,33,25
ZC3H12C|ZC3H12C,17,78,55,194,0,0,0,0
RDX|RDX,2159,6148,3810,8659,0,0,0,0
DDX10|DDX10,135,504,254,628,104,57,43,54
EXPH5|EXPH5,665,1530,1066,2122,4743,2175,3018,2706
KDELC2|KDELC2,162,438,325,526,72,39,89,36
ATM|ATM,307,620,517,1116,5644,2510,2787,2474
NPAT|NPAT,120,347,323,607,254,62,35,121
RAB39A|RAB39A,4,0,7,45,10,12,34,4
SLC35F2|SLC35F2,41,87,27,27,12,0,12,4
CUL5|CUL5,399,791,539,1509,0,0,0,0
CWF19L2|CWF19L2,87,258,187,399,700,430,586,645
ELMOD1|ELMOD1,0,5,0,9,2509,1446,1403,1433
ALKBH8|ALKBH8,78,260,168,235,0,0,0,0
LOC112531586|LOC112531586,0,0,0,0,0,0,0,0
LOC112531587|LOC112531587,13,4,5,20,196,83,49,77
ACAT1|ACAT1,6091,19246,13171,19465,119,78,59,56
GUCY1A2|GUCY1A2,238,167,290,571,30,35,35,4
AASDHPPT|AASDHPPT,25,81,32,95,0,0,0,0
KBTBD3|KBTBD3,11,27,18,22,2401,1173,1472,1532
MSANTD4|MSANTD4,150,390,302,444,645,381,503,371
PDGFD|PDGFD,10,42,27,66,777,235,267,230
LOC112531588|LOC112531588,0,0,0,4,13,30,20,18
LOC112531589|LOC112531589,0,0,0,2,1158,757,870,663
LOC107052200|LOC107052200,0,0,0,0,467,237,346,254
MMP10|MMP10,9,3,16,7,42,11,0,10
MMP27|MMP27,0,0,0,0,323,113,97,129
MMP7|MMP7,13,4,0,15,0,0,0,0
DYNC2H1|DYNC2H1,209,473,374,595,11,0,0,0
MIR7449,0,0,0,0,0,0,0,0
MIR7449|MIR7449,0,0,0,0,0,0,22,0
DCUN1D5|DCUN1D5,249,1057,617,1130,14,7,7,20
BIRC2|BIRC2,1067,3014,2121,5244,25132,14435,18378,14782
LOC101750351|LOC101750351,46,115,64,108,16,17,17,16
TMEM123|TMEM123,7375,24034,18441,26250,9,5,5,7
LOC107055527|LOC107055527,1,1,0,0,322,143,129,138
YAP1|YAP1,58,87,58,289,1230,481,501,537
LOC112531593|LOC112531593,0,0,0,0,490,286,208,146
LOC101751046|LOC101751046,0,0,0,0,76,114,34,15
LOC112531594|LOC112531594,2,0,0,0,57,11,23,15
PGR|PGR,11,28,8,31,699,253,227,245
TRPC6|TRPC6,0,0,4,18,30,5,4,13
TRNAP-AGG_3,0,0,0,0,1192,546,544,558
LOC107052378|LOC107052378,0,0,0,0,66,135,21,25
ARHGAP42|ARHGAP42,205,603,496,944,889,395,387,381
LOC112531595|LOC112531595,0,0,0,0,15440,5865,10038,9768
CCDC82|CCDC82,141,309,197,534,105,68,67,43
MTMR2|MTMR2,134,426,262,571,206,165,118,151
CEP57|CEP57,55,155,97,297,2023,733,1707,3451
MIR6570|MIR6570,0,0,0,0,0,0,4,0
MIR6570,0,0,0,0,0,0,0,0
MAML2|MAML2,39,95,71,238,2914,1238,1437,1454
FAM76B|FAM76B,59,214,151,239,1917,845,870,758
CNTN5|CNTN5,6,6,0,22,34,12,10,20
LOC112531614|LOC112531614,0,0,0,0,993,628,761,485
LOC107052369|LOC107052369,3,16,0,21,3088,1757,1483,1452
ENDOD1|ENDOD1,16,55,43,76,1265,487,596,536
SESN3|SESN3,398,883,683,2403,1321,481,501,531
CWC15|CWC15,408,1610,886,1389,683,535,362,531
LOC107052361|LOC107052361,22,71,29,24,5,27,1,18
AMOTL1|AMOTL1,50,210,111,266,661,335,305,357
ANKRD49|ANKRD49,121,374,238,335,3,32,18,42
GPR83|GPR83,0,0,0,0,191,272,298,566
PANX1|PANX1,46,187,132,280,47,28,14,27
MRE11|MRE11,177,585,445,869,9913,3548,1915,3021
TM4SF1a|TM4SF1a,1038,3553,2196,3656,1087,485,575,634
LOC107052349|LOC107052349,0,0,12,18,1421,560,541,543
VSTM5|VSTM5,11,44,14,64,0,0,0,3
MED17|MED17,224,706,484,1089,1133,476,662,736
SMCO4|SMCO4,59,291,184,339,0,0,0,1
CEP295|CEP295,58,769,313,1028,44,20,14,0
LOC112531635|LOC112531635,75,361,221,348,0,0,0,0
TAF1D|TAF1D,398,1665,859,1791,2546,1227,1246,1530
LOC112531644|LOC112531644,0,0,0,0,32,15,20,38
LOC112531631|LOC112531631,0,10,6,30,4,18,9,7
LOC112531628|LOC112531628,0,5,0,3,5134,2817,2724,2588
C1H11ORF54|C1H11ORF54,1346,5821,3226,4453,32,10,17,6
LOC112531637|LOC112531637,2,8,9,23,211,79,80,99
LOC112531633|LOC112531633,1,1,1,1,12967,5048,4452,5134
LOC112531629|LOC112531629,1,1,1,1,620,204,251,313
SLC36A4|SLC36A4,70,205,115,262,3023,1028,1134,1050
CHORDC1|CHORDC1,49,194,117,327,892,486,564,470
NAALAD2|NAALAD2,32,79,77,111,1360,460,784,755
FAT3|FAT3,17,0,0,28,815,376,377,348
FOLH1|FOLH1,92,151,72,260,26,15,11,0
NOX4|NOX4,35,89,59,187,57,45,30,67
MIR1657|MIR1657,0,0,0,0,2064,862,1058,934
MIR1657,0,0,0,0,22,8,2,7
RAB38|RAB38,5,5,10,12,193,137,160,137
CTSC|CTSC,669,1254,907,3016,462,215,262,255
LOC107052318|LOC107052318,10,22,22,18,35746,13480,10283,10596
FZD4|FZD4,270,556,365,684,0,9,6,4
PRSS23|PRSS23,93,293,158,396,14,16,8,15
LOC101750043|LOC101750043,0,0,0,0,413,602,244,621
TMEM135|TMEM135,742,1981,1059,2533,193,100,100,139
FAM181B|FAM181B,2,18,3,16,39,29,9,20
ME3|ME3,8,28,7,12,595,270,299,349
DDIAS|DDIAS,42,45,86,162,32,39,21,16
PRCP|PRCP,178,421,329,661,3,1,1,0
RAB30|RAB30,575,1941,1171,1907,0,0,0,0
LOC107052306|LOC107052306,48,81,91,249,763,315,285,375
ANKRD42|ANKRD42,3,6,10,13,0,0,0,0
CCDC90B|CCDC90B,66,196,135,228,0,0,0,0
PCF11|PCF11,976,2590,1589,3792,1209,686,770,654
SYTL2|SYTL2,7,18,23,44,38583,20015,20383,22403
EED|EED,93,274,182,312,6025,3441,3503,3682
CCDC83|CCDC83,0,0,0,0,226,104,119,107
PICALM|PICALM,266,724,553,1138,458,231,208,195
HIKESHI|HIKESHI,202,1017,550,769,9,5,0,7
NARS2|NARS2,88,309,137,269,61,151,16,0
DLG2|DLG2,15,68,24,61,0,2,0,0
LOC101751262|LOC101751262,0,0,0,0,0,0,0,0
CREBZF|CREBZF,82,350,305,436,1430,563,621,644
CCDC89|CCDC89,0,0,0,0,0,0,0,0
TMEM126A|TMEM126A,97,459,256,373,0,28,11,5
LOC101748083|LOC101748083,0,12,0,0,0,0,0,0
GAB2|GAB2,48,132,76,281,0,0,4,0
LOC100857685|LOC100857685,1,1,1,1,766,428,481,437
LOC112531600|LOC112531600,47,105,25,59,0,0,0,0
LOC112532751|LOC112532751,19,58,12,35,0,0,0,0
LOC112531601|LOC112531601,7,57,22,23,176,95,96,85
LOC112531602|LOC112531602,3,17,4,19,714,343,409,372
LOC112531598|LOC112531598,0,5,0,0,301,132,124,159
TENM4|TENM4,9,15,19,25,344,149,172,150
LOC101750591|LOC101750591,18,76,30,72,20,12,14,5
LOC112531599|LOC112531599,6,52,22,24,84,53,46,18
KCTD21|KCTD21,413,767,652,1272,2213,827,740,991
ALG8|ALG8,117,454,329,444,1680,923,856,960
NDUFC2|NDUFC2,890,3484,3090,2538,42,28,31,18
THRSPB|THRSPB,6226,29127,14052,8862,279,83,85,57
KCTD14|KCTD14,37,216,243,162,37,3,5,5
AAMDC|AAMDC,42,227,92,206,0,7,0,0
INTS4|INTS4,355,886,678,1423,887,421,495,620
RSF1|RSF1,199,392,351,905,478,287,281,327
PAK1|PAK1,21,72,40,101,211,88,117,107
AQP11|AQP11,138,611,227,393,21,0,59,6
LOC107055756|LOC107055756,0,1,0,0,15,0,0,6
CLNS1A|CLNS1A,345,1427,905,1221,6551,2712,4261,2888
OMP|OMP,0,0,0,4,536,242,201,240
CAPN5|CAPN5,53,90,52,119,303,69,101,133
MYO7A|MYO7A,42,73,14,115,0,7,8,5
TSKU|TSKU,47,37,29,72,70,30,47,34
LRRC32|LRRC32,12,7,9,27,8577,3356,3472,3384
ACER3|ACER3,292,482,443,1070,1655,582,600,786
EMSY|EMSY,121,342,204,561,434,176,169,401
LOC107052450|LOC107052450,73,196,138,199,1013,551,469,507
THAP12|THAP12,131,385,329,560,2,0,1,0
WNT11|WNT11,52,119,314,268,16,3,7,6
LOC101748650|LOC101748650,6272,31776,14980,9043,14,4,0,8
THRSP|THRSP,28248,101151,81064,40296,3,0,0,4
ART1|ART1,10,9,5,73,1,1,1,1
ART7B|ART7B,19,24,12,55,1,1,1,1
UVRAG|UVRAG,629,1443,737,1731,216,91,134,164
ART7C|ART7C,497,483,490,2494,28,10,17,21
MADPRT1|MADPRT1,14,9,13,128,435,175,282,241
LOC107052453|LOC107052453,2,26,31,16,202,114,64,121
LAMTOR1|LAMTOR1,164,1107,650,737,498,134,145,230
RNF121|RNF121,296,1473,589,1082,206,77,75,110
LOC107052454|LOC107052454,10,84,44,65,0,0,0,0
TRPC2L|TRPC2L,35,170,66,121,0,0,0,0
NUMA1|NUMA1,965,3768,2514,4758,6,0,10,2
LRTOMT|LRTOMT,7,29,9,47,3434,1898,1681,1746
LOC107052476|LOC107052476,6,30,20,37,24,10,31,23
LOC112531604|LOC112531604,0,0,0,0,5208,2119,1746,1741
WDR73|WDR73,42,111,89,159,2607,1059,1297,1020
ANAPC15|ANAPC15,370,1672,1049,1310,0,0,0,0
LOC112532752|LOC112532752,606,2491,1244,1652,538,268,188,193
LOC112531605|LOC112531605,4,14,4,30,0,0,0,0
LOC112531603|LOC112531603,5,11,2,14,32,6,15,0
KCNE3|KCNE3,19,39,30,44,21,5,11,6
LOC107052472|LOC107052472,3,0,0,0,183,88,133,178
LIPT2|LIPT2,80,377,288,371,1026,590,606,448
LOC112532801|LOC112532801,3,0,0,14,3169,1408,1886,1526
LOC107052473|LOC107052473,0,0,0,12,146,70,72,82
PGM2L1|PGM2L1,75,143,117,379,23,6,21,19
SLCO2B1|SLCO2B1,636,2422,1087,1493,298,152,182,156
POLD3|POLD3,119,413,297,460,4942,1983,2857,2712
P4HA3|P4HA3,0,5,11,10,59,40,14,18
UCP3|UCP3,0,9,21,12,353,115,172,152
DNAJB13|DNAJB13,0,7,7,10,0,0,0,0
PPME1|PPME1,399,1064,761,1366,1458,627,670,594
C2CD3|C2CD3,16,41,35,99,1048,533,643,615
LOC107052469|LOC107052469,0,0,5,0,77,31,64,32
CHRDL2|CHRDL2,18,36,18,28,0,4,0,0
XRRA1|XRRA1,0,0,0,7,0,3,0,3
NEU3|NEU3,123,588,292,436,370,237,298,249
RNF169|RNF169,166,521,402,634,495,268,287,208
SPCS2|SPCS2,1021,5740,3537,4318,442,174,229,291
PAAF1|PAAF1,66,376,150,412,0,0,0,0
COA4|COA4,50,157,98,118,29,9,16,0
MRPL48|MRPL48,453,1775,986,1226,211,89,138,120
LOC112532797|LOC112532797,6,20,0,25,1,0,1,1
PLEKHB1|PLEKHB1,63,233,192,198,52,27,64,57
RAB6A|RAB6A,790,3119,1760,2857,0,0,9,0
P2RY6|P2RY6,5,23,21,60,36,16,44,30
LOC112531607|LOC112531607,0,4,3,4,87,50,88,89
ARHGEF17|ARHGEF17,49,58,29,57,40,25,54,44
P2RY2|P2RY2,27,36,30,131,25,11,28,26
FAM168A|FAM168A,131,313,154,483,7,7,13,8
RELT|RELT,96,444,348,227,61,14,0,13
LOC112532796|LOC112532796,11,13,11,40,2187,811,965,1085
FCHSD2|FCHSD2,70,144,94,351,768,322,357,322
MIR1708|MIR1708,0,0,0,0,3265,2184,1831,1899
MIR1708,0,0,0,0,130,175,170,135
SERPINH1|SERPINH1,277,934,618,1216,349,239,330,247
LOC101751623|LOC101751623,0,4,0,3,1940,726,867,805
LOC112531620|LOC112531620,0,6,2,2,1183,552,731,681
RPS3|RPS3,3974,18751,11580,12105,1274,349,376,254
LOC112531619|LOC112531619,4,0,0,2,3,0,0,0
LOC112531621|LOC112531621,5,2,1,6,1646,757,943,895
MAP6|MAP6,0,0,0,0,105,49,56,50
DGAT2|DGAT2,34,65,80,119,171,69,35,103
AT2|AT2,30,19,34,180,0,0,0,0
LOC107055678|LOC107055678,0,0,0,24,311,95,136,53
LOC101750794|LOC101750794,0,0,0,0,161,60,32,87
LOC107055677|LOC107055677,7,28,14,39,1604,748,701,871
LOC107055625|LOC107055625,2,8,0,28,41,31,18,20
LOC107055626|LOC107055626,4,8,0,33,645,270,266,325
LOC107052467|LOC107052467,17,65,26,67,356,217,112,140
LOC107052466|LOC107052466,20,44,27,83,698,285,300,388
GDPD5|GDPD5,919,2657,2386,3426,576,106,206,141
NUP98|NUP98,394,1041,751,1763,10827,12487,817,1877
PGAP2|PGAP2,339,1316,1014,1177,11912,10084,846,2113
OR52L1|OR52L1,1,1,3,13,111619,29411,6915,13239
OLFR52I1L|OLFR52I1L,2,0,5,4,3633,1881,1501,2115
LOC100859837|LOC100859837,0,0,0,0,57,35,35,16
RHOG|RHOG,70,92,115,405,195,84,0,53
STIM1|STIM1,249,862,501,1141,3720,1592,1142,1111
OR52R1L2|OR52R1L2,3,0,0,0,67,32,47,20
RRM1|RRM1,141,682,285,741,5,16,13,3
HBE1|HBE1,0,99,133,70,916,416,397,340
FOLR1|FOLR1,0,3,0,8,26,9,4,13
HBBA|HBBA,807,3854,6544,4317,1153,614,560,491
FAM160A2|FAM160A2,107,630,325,670,52,44,38,22
APBB1|APBB1,50,67,31,123,125,44,51,42
SMPD1|SMPD1,662,3182,1870,2250,6450,2057,2642,2195
RPS11|RPS11,4165,20400,13687,12046,41,16,51,10
LOC112531624|LOC112531624,2,13,9,15,0,0,0,0
LOC112531623|LOC112531623,3,7,4,7,160,73,133,60
TRIM3|TRIM3,401,1375,799,1621,13,7,12,9
LOC107052456|LOC107052456,0,0,13,0,4,1,14,7
ARFIP2|ARFIP2,297,1192,679,1158,37,12,14,11
TIMM10B|TIMM10B,29,117,54,83,1225,752,922,735
LOC107052459|LOC107052459,0,0,4,12,2392,1357,1158,1007
LOC419074|LOC419074,132,439,315,505,10,0,18,0
RRP8|RRP8,57,400,190,277,3,0,0,0
ILK|ILK,541,2092,1713,1956,4077,1370,2440,1395
DCHS1|DCHS1,0,5,11,39,0,5,0,0
LCMT2|LCMT2,161,724,375,830,3,0,0,0
TAF10|TAF10,131,997,437,444,0,0,4,0
TPP1|TPP1,1360,5090,2575,4556,102,136,106,46
LOC107050990|LOC107050990,8,13,10,45,72,69,8,35
LOC112531963|LOC112531963,8,17,9,26,4567,2177,1911,1614
CHPF2|CHPF2,250,947,656,994,43,49,40,34
SMARCD3|SMARCD3,256,577,413,989,5,5,0,3
ABCF2|ABCF2,447,1824,847,1969,1,0,1,0
TMUB1|TMUB1,196,1198,587,786,26,17,26,8
AGAP3|AGAP3,473,1978,1129,1789,5,11,3,2
LOC112531696|LOC112531696,26,85,20,39,14,10,5,19
LOC107057170|LOC107057170,10,45,0,73,64,70,59,24
HPX|HPX,61039,324156,252470,205830,12,5,8,0
FASTK|FASTK,283,1327,686,1429,2151,732,738,806
SLC4A2|SLC4A2,346,1024,577,1154,0,0,0,0
CDK5|CDK5,232,1198,686,803,0,0,0,0
LOC107055878|LOC107055878,0,0,8,0,72,42,9,27
ABCB8|ABCB8,252,746,433,704,94,55,62,20
ATG9B|ATG9B,60,195,114,158,0,0,5,8
AOC1|AOC1,1168,3443,1802,1841,644,340,402,273
KCNH2|KCNH2,6,19,9,25,16,9,8,0
LOC112531694|LOC112531694,0,0,0,2,2099,714,946,807
LOC107052494|LOC107052494,0,9,7,10,150,28,44,43
LOC107049096|LOC107049096,75,201,99,272,0,0,0,0
LOC107052493|LOC107052493,4,9,5,27,25,8,7,4
GIMAP7L5|GIMAP7L5,20,56,55,153,18,12,5,0
MIR7461,0,0,0,0,108,112,88,124
MIR7461|MIR7461,0,0,0,0,3404,1088,1660,1146
AQP1|AQP1,37,75,45,232,391,168,246,157
FAM188B|FAM188B,33,146,104,303,711,209,205,240
ADCYAP1R1|ADCYAP1R1,0,0,0,18,450,114,205,107
SEC22C|SEC22C,237,731,467,831,0,0,0,0
VIPR1|VIPR1,260,850,480,1362,0,9,0,5
MIR1662|MIR1662,0,0,0,0,114,78,53,33
MIR1662,0,0,0,0,618,216,191,181
LOC112531922|LOC112531922,3,5,6,0,0,0,0,0
LOC100858196|LOC100858196,10,16,21,59,0,0,0,0
LOC112529948|LOC112529948,0,11,16,29,3,2,0,0
LOC107052495|LOC107052495,10,22,21,31,5,5,0,1
LRRC61|LRRC61,0,14,7,13,2705,1316,1086,780
LOC107052491|LOC107052491,87,279,130,203,14,5,0,0
LOC101748436|LOC101748436,9,53,15,36,433,159,170,248
ZNF212|ZNF212,369,1196,769,1314,431,285,383,201
ZNF746|ZNF746,48,135,79,125,12,11,21,17
ZNF767|ZNF767,144,478,272,483,761,393,606,433
LOC107052489|LOC107052489,62,285,176,216,1080,419,578,419
LOC426355|LOC426355,46,121,51,156,4729,2399,2411,1944
CDC25A|CDC25A,42,228,118,173,410,182,297,158
MIR1749|MIR1749,0,0,0,3,1939,882,1003,902
MIR1749,0,0,0,1,29,11,25,18
MAP4|MAP4,755,2254,1267,1956,33,11,10,15
DHX30|DHX30,334,1173,677,1393,88,47,22,32
MIR6710,0,0,1,0,59,41,25,27
LOC107052497|LOC107052497,0,3,0,0,15337,9048,11027,8272
SMARCC1|SMARCC1,302,745,470,1208,7,2,1,3
CSPG5|CSPG5,0,0,0,0,1766,792,757,574
SCAP|SCAP,1973,5901,2650,3829,479,215,184,151
LOC112531695|LOC112531695,0,0,0,3,2,2,2,0
GIMAP8L1|GIMAP8L1,154,374,209,560,1,1,1,0
LOC107052478|LOC107052478,13,10,13,22,64,13,8,19
GIMAP5L|GIMAP5L,29,63,50,138,815,344,368,363
LOC101749138|LOC101749138,313,903,563,980,0,0,5,0
RARRES2|RARRES2,16640,81578,57729,51864,0,0,0,0
SSPO|SSPO,4,7,0,0,4,0,0,0
LOC420368|LOC420368,50,147,137,383,48,67,11,10
GIMAP1|GIMAP1,38,125,86,320,27,27,3,8
GIMAP7L6|GIMAP7L6,65,220,135,538,56,21,15,14
LOC768735|LOC768735,13,64,38,24,0,0,5,0
LOC101748312|LOC101748312,70,403,257,282,920,730,453,432
LOC107052490|LOC107052490,31,242,77,180,346,133,172,86
LOC112531692|LOC112531692,108,371,266,370,1396,415,954,737
ZNF398L|ZNF398L,97,268,155,277,2147,801,790,844
LOC420374|LOC420374,494,2184,1402,1807,0,0,0,0
MIR6710|MIR6710,1,1,1,1,0,0,0,0
ELP6|ELP6,248,668,397,352,0,0,0,0
PTPN23|PTPN23,74,244,214,477,2984,1235,791,809
LOC112531693|LOC112531693,89,259,137,359,1343,557,682,499
NKTR|NKTR,446,1175,945,2287,47,28,3,25
LOC107052484|LOC107052484,0,0,0,0,1055,664,427,345
KLHL40|KLHL40,0,0,0,0,1767,809,654,548
HHATL|HHATL,0,0,16,13,1569,749,526,603
CCDC13|CCDC13,10,47,15,76,929,604,597,614
CYP8B1|CYP8B1,1695,7759,3201,5826,8545,3334,2106,965
OBSCN|OBSCN,38,76,35,94,19,37,9,6
LOC769510|LOC769510,36,60,41,111,0,0,0,0
GJC2|GJC2,14,64,13,73,1,0,0,8
GUK1|GUK1,113,562,269,296,4,0,4,3
C2H1orf35|C2H1orf35,63,233,107,156,12,0,0,0
ZBTB47|ZBTB47,91,202,143,243,0,0,3,0
HIGD1A|HIGD1A,310,1758,922,1137,0,0,0,0
IBA57|IBA57,396,1262,930,1539,0,0,0,0
MRPL55|MRPL55,70,306,201,190,0,0,0,0
LOC107052482|LOC107052482,0,0,0,0,0,0,0,0
WNT9A|WNT9A,15,60,12,76,0,0,0,0
LOC107052486|LOC107052486,3,0,0,0,0,0,0,0
ARF1|ARF1,3713,12077,6599,14337,0,0,0,0
SNAP47|SNAP47,130,416,294,637,120,95,0,32
MYL3|MYL3,0,7,8,15,0,0,0,0
JMJD4|JMJD4,85,177,106,286,0,0,0,0
ALS2CL|ALS2CL,119,216,114,540,13,64,6,0
MIR1639|MIR1639,0,0,1,2,0,0,0,0
MIR1639,0,0,0,1,0,0,0,0
LOC101752077|LOC101752077,115,307,251,468,1081,582,597,576
MIR460A|MIR460A,0,0,0,0,45,31,17,31
MIR460A,0,0,0,0,0,0,0,0
PTH1R|PTH1R,42,53,37,272,106,80,55,41
TNFRSF14|TNFRSF14,13,262,50,96,2470,1216,701,767
CHDSD|CHDSD,49,168,40,71,6,5,0,0
MIR1706|MIR1706,0,1,0,0,1552,591,610,518
MIR1706,0,1,0,0,10,4,6,0
CCDC12|CCDC12,444,1968,1330,1535,686,210,253,218
NBEAL2|NBEAL2,735,1960,1181,3310,1889,858,878,642
CATH1|CATH1,2,7,5,21,635,257,244,215
KIF9|KIF9,0,14,15,17,10,1,4,6
KLHL18|KLHL18,152,445,257,594,19,0,4,0
CATH3|CATH3,13,19,14,63,5992,2828,852,1457
SETD2|SETD2,1076,2821,2594,4545,0,7,8,0
NACAD|NACAD,8,0,0,11,15743,8912,11186,6986
LOC112531989|LOC112531989,0,10,0,5,11,6,5,6
LOC112531993|LOC112531993,0,2,3,3,5,4,5,5
TBRG4|TBRG4,449,1935,1230,1648,3780,2419,2295,1187
LOC112531990|LOC112531990,7,7,5,16,311925,169875,245581,108573
LOC112531992|LOC112531992,2,5,7,5,90,149,80,42
LOC420411|LOC420411,55,313,154,186,255,122,93,78
LOC112531994|LOC112531994,2,24,7,9,2757,1142,1018,763
CCM2|CCM2,293,941,662,1040,518,341,298,157
MYO1G|MYO1G,79,145,136,482,8055,5265,3498,2299
GIMAP5|GIMAP5,452,1901,1352,1924,23,18,10,11
CRHR2|CRHR2,268,1538,150,1803,9,4,0,5
LOC101748420|LOC101748420,2,0,0,7,347,125,164,105
GARS|GARS,1101,4505,2472,5941,12,23,13,12
VILL|VILL,53,97,74,230,71,122,43,63
PLCD1|PLCD1,112,174,303,705,0,0,0,0
CTDSPL|CTDSPL,1233,3621,2578,4728,0,0,0,0
MIR26A1|MIR26A1,0,0,0,0,378,125,71,131
MIR26A1,0,0,0,0,249,155,109,148
