"genes","logFC","logCPM","PValue","FDR"
"DMBT1L1",-8.29350947,-1.018045163,3.79746888838682e-15,6.28331998450895e-15
"QPCT",2.884038887,6.110199745,3.83791998694436e-15,6.34957503957707e-15
"DSCC1",-2.601498534,3.550799799,3.85572060134771e-15,6.37834631393159e-15
"SYNJ2",-2.126960856,4.130645188,3.86388254365808e-15,6.39116833888768e-15
"KCNB2",2.641981261,6.183371048,3.91295185762039e-15,6.47164447840854e-15
"LOC112532376",-3.767765006,2.521080867,3.93210398021852e-15,6.50262861771753e-15
"MECP2",-2.490573456,2.670977694,3.96258655008532e-15,6.55167208071498e-15
"LOC112533535",-5.015351393,1.108889392,3.96260295299835e-15,6.55167208071498e-15
"SLCO3A1",8.044352264,-1.059436179,3.98904004806747e-15,6.59468134674135e-15
"LOC101748003",4.860777976,1.468539362,4.01620131849882e-15,6.63887854817228e-15
"SGO2",-2.176199816,2.566877218,4.04380807988574e-15,6.68380268305944e-15
"PPP1R12A",2.37513887,4.127697825,4.13323971819472e-15,6.83089357189158e-15
"LOC101747535",-9.18700566,-0.146862796,4.18605204792132e-15,6.91743988790399e-15
"STMN3",-8.103468927,-1.211855524,4.2023230783128e-15,6.94358982762342e-15
"DYL1",2.638980504,5.33267643,4.23471780961928e-15,6.9963729217573e-15
"TRAPPC2L",4.229866591,2.493185527,4.28476097855566e-15,7.07829950244773e-15
"MRPS12",3.798911776,2.230314893,4.30719287125579e-15,7.11460050435813e-15
"TARS2",2.292043858,4.005313393,4.32323761555671e-15,7.14034465447762e-15
"TERF2IP",2.32717952,4.217490733,4.35070961987262e-15,7.18495482041411e-15
"IPO13",4.131514074,2.677944505,4.35745827988997e-15,7.19533569632464e-15
"LOC100858177",-5.011146086,4.011450772,4.37442436246425e-15,7.22258428926727e-15
"MIR6670.1",-10.50100433,1.125435977,4.41103304867208e-15,7.28225543124013e-15
"EREG",-4.912598706,4.593080945,4.41174193978655e-15,7.28265256514659e-15
"LOC426097",1.733355055,5.733196042,4.4862475259311e-15,7.40485606923136e-15
"LTC4SL",-2.881514451,3.094296377,4.50069367611553e-15,7.42791197873025e-15
"SIPA1L2",-2.501039875,4.367981521,4.56378219162876e-15,7.53123347976517e-15
"LOC100859273",2.563482396,4.143036006,4.57366581937461e-15,7.54674273039847e-15
"LOC107053648",9.041306428,-0.180205711,4.61790825986517e-15,7.61893617410115e-15
"GPATCH3",2.918210443,1.63938722,4.63515096325425e-15,7.64657304037806e-15
"ANAPC1",2.33083833,3.464970545,4.66420650371141e-15,7.69368952293544e-15
"MIR2188.1",-8.457088833,-0.886548043,4.6748309136926e-15,7.71039676579549e-15
"FBXW2",-2.48182219,6.700379001,4.68691176088083e-15,7.72950237370844e-15
"CALHM2",-5.375683422,2.403534727,4.74354499683789e-15,7.8220704878928e-15
"ZNF326",2.054578332,4.539695885,4.76124372888613e-15,7.85042307116736e-15
"EMILIN1",-2.090078758,4.65751814,4.79239489975962e-15,7.90094791043916e-15
"GRIN3A",-3.766640448,1.350457909,4.8478423527774e-15,7.99151368447881e-15
"RFC3",-2.195099201,2.662568626,4.85813990791549e-15,8.00763997965718e-15
"DMB2",-3.837931187,5.832063226,5.0105366042136e-15,8.25795910922326e-15
"CFAP69",-6.241767193,3.482835314,5.01650163027591e-15,8.26691398376329e-15
"NEIL2",-8.459730194,-0.856135864,5.13522718406839e-15,8.46167030966022e-15
"OCEL1",8.389393474,-0.746766318,5.24846303632559e-15,8.64734056101536e-15
"LOC112533223",-2.582211945,3.5171463,5.3481562376028e-15,8.81066103344884e-15
"APPBP2",3.530113043,4.036634294,5.47056494215183e-15,9.01136492059968e-15
"LARGE2",2.122797748,6.746151724,5.47779903486289e-15,9.02232549434572e-15
"BDH1A",4.065483681,2.107108319,5.51688176805496e-15,9.08573517191851e-15
"LGR6",-2.943064185,1.751452884,5.55509775644491e-15,9.14770413139028e-15
"ERR2984226.13776",-6.179469484,-0.206653195,5.56795569736097e-15,9.1679067232066e-15
"OR14J1L119",-7.958129298,-1.336142039,5.58466707815792e-15,9.19444923931769e-15
"LOC112532071",-9.054396353,-0.307414958,5.63428217343369e-15,9.27515221224792e-15
"DNAAF2",-1.877766097,3.817386619,5.66608515857798e-15,9.32651891773977e-15
"LOC112530756",-7.968731898,-1.329435889,5.67385384832024e-15,9.33831788117906e-15
"ANKRD28",3.029309084,3.724063368,5.6859452119744e-15,9.35722807135167e-15
"RIBC2",-8.125237274,-1.193133326,5.69730242607875e-15,9.37492621434122e-15
"ERAL1",2.382716695,3.855834615,5.70807430881262e-15,9.39165754968112e-15
"LOC112532304",5.194029648,-0.503555957,5.83355809367753e-15,9.59710414268785e-15
"LOC112530581",8.897395891,-0.295619398,5.9355304720088e-15,9.76383146511551e-15
"CCDC40",-3.030361194,2.888799032,5.97320679734762e-15,9.82476895480807e-15
"INPP5F",-1.856195897,4.343128372,6.03975565223276e-15,9.93317825406868e-15
"LOC112532090",-3.562715154,0.364983207,6.14438869923138e-15,1.01041924992648e-14
"MAPRE2",-1.775570646,4.386254551,6.20458961161332e-15,1.02021115005379e-14
"LOC112531143",-4.523733264,2.246483608,6.2504403196273e-15,1.02764164696769e-14
"CHTOP",1.748502047,5.163490155,6.33269419967736e-15,1.04105502489674e-14
"LOC422106",1.965122523,2.98352892,6.35745299754514e-15,1.04501473691149e-14
"LY86",5.393398409,4.575757927,6.54251598631317e-15,1.07532103992358e-14
"MAPKAPK3",-1.675361037,5.591943132,6.55591977131536e-15,1.07741019281287e-14
"GCAT",2.738358362,6.532427963,6.82460234747602e-15,1.12144738986846e-14
"COX14",5.54599167,2.187978629,6.82706420648447e-15,1.12173339402825e-14
"CDK3",-2.071854437,3.126208746,6.85484032623307e-15,1.1261782046796e-14
"RAE1",2.214711623,3.414362298,6.90020042029514e-15,1.13351063316701e-14
"AIFM1",1.748011141,5.259057568,7.02342276583689e-15,1.15363075957287e-14
"LOC107052454",8.432165759,-0.706529146,7.15859047665844e-15,1.17570851195647e-14
"LOC107050356",-8.061616056,-1.248879334,7.23228684206692e-15,1.18768677150851e-14
"SLC30A4",-2.425781138,8.094537533,7.28284885182301e-15,1.1958637766193e-14
"AP3M1",-1.700728111,7.378706504,7.38560284848247e-15,1.21260821765286e-14
"LOC112533440",-3.133712559,3.800856112,7.43085641497955e-15,1.21990938822774e-14
"LOC101747934",4.254452023,0.771808708,7.4724004424889e-15,1.22660009374752e-14
"ING4",-1.699424163,5.128118757,7.66679549241748e-15,1.25837734755216e-14
"SLC18A2",-3.489599416,0.89901419,7.80406898051897e-15,1.28077332609045e-14
"PEX26",4.849597274,3.167225616,8.00515576608605e-15,1.31363626174164e-14
"CRYAB",-4.628831672,2.623277187,8.25595933305078e-15,1.35464986418634e-14
"IL8L1",-3.847682373,1.059178123,8.2593668896685e-15,1.35506599635308e-14
"LOC107054903",-7.890870614,-1.400804605,8.29805849380375e-15,1.36127027723018e-14
"LOC107050951",-1.887816126,3.703706457,8.45356841819791e-15,1.38663490403985e-14
"CABP1",-3.195259944,0.293474316,8.52447250978337e-15,1.39811778849416e-14
"LOC107054990",-2.949867562,4.035385273,8.57555524733752e-15,1.40634764918897e-14
"PITPNC1",3.738276504,4.469900872,8.59126401024079e-15,1.4087752331461e-14
"LOC107053348",4.859008737,1.146123521,8.59518025508614e-15,1.40926879973207e-14
"HOXB4",6.325264942,0.05784188,8.61429155053115e-15,1.41225338545872e-14
