gene_id,CN_2w_2,CN_2w_1,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_4
IL15RA|IL15RA,13,66,133,2,2,2
MEST|MEST,74,279,217,1,1,1
COPG2|COPG2,402,1211,1782,1214,388,507
FBXO18|FBXO18,137,443,732,0,0,0
ANKRD16|ANKRD16,118,302,353,0,0,0
ASB13|ASB13,190,607,748,304,199,255
TUBAL3|TUBAL3,0,0,0,360,177,206
LOC416695|LOC416695,0,0,0,2432,1028,1012
UCN3|UCN3,0,0,0,83,41,56
NET1|NET1,282,1777,1338,1262,514,751
LOC101748925|LOC101748925,0,0,0,342,156,193
SLC35B4|SLC35B4,87,231,393,941,433,454
COL7A1L|COL7A1L,0,0,2,0,7,0
MIR205B|MIR205B,0,0,0,1208,482,710
MIR205B,0,0,0,0,0,0
FAM208B|FAM208B,194,286,1017,12001,4139,3443
LOC107053421|LOC107053421,0,0,0,493,217,196
GDI2|GDI2,2423,7150,8097,0,22,0
CHCHD3|CHCHD3,485,1538,1559,1663,958,491
LOC101750196|LOC101750196,0,11,44,0,0,0
LOC107054205|LOC107054205,5,11,26,0,0,0
LOC101748467|LOC101748467,13,26,80,2744,955,926
LOC107054320|LOC107054320,0,4,9,9,4,0
LOC107054228|LOC107054228,2,12,33,0,0,0
EXOC4|EXOC4,382,1056,1645,2,2,0
LOC101750035|LOC101750035,8,14,21,0,2,0
LOC107055493|LOC107055493,0,0,3,1,0,0
LOC101747803|LOC101747803,0,3,18,6,3,0
LOC112532918|LOC112532918,3,3,17,0,0,0
LOC107055494|LOC107055494,6,2,16,0,0,0
LOC100858111|LOC100858111,0,10,22,11,0,2
MIR6659|MIR6659,0,0,0,3,0,2
MIR6659,0,0,0,2137,997,1080
LOC107053233|LOC107053233,11,14,43,6,5,0
LOC101749355|LOC101749355,4,5,23,14,8,2
MIR6621,0,0,1,3,0,0
MIR6621|MIR6621,3,4,7,13,0,6
PODXL|PODXL,161,306,745,7,0,4
PLXNA4|PLXNA4,231,305,646,8,4,0
LOC101750931|LOC101750931,46,64,113,0,0,0
MKLN1|MKLN1,599,1654,2475,0,0,0
LOC107055713|LOC107055713,42,109,271,732,313,331
K123|K123,331,255,1830,1168,247,618
LOC112532968|LOC112532968,4,6,6,0,0,0
LOC107053972|LOC107053972,13,32,27,9,4,6
PRKCQ|PRKCQ,56,90,472,98,58,55
LOC419112|LOC419112,0,6,26,0,0,0
RBM17|RBM17,309,916,991,0,0,0
PFKFB3|PFKFB3,362,331,881,3363,1411,1761
IL2RA|IL2RA,46,4,237,160,77,108
ITIH5|ITIH5,51,100,411,1438,1145,984
SFMBT2|SFMBT2,295,803,1007,0,7,0
LOC107054553|LOC107054553,0,0,0,51,34,23
GATA3|GATA3,26,39,103,144,142,102
TAF3|TAF3,300,775,1108,26,30,6
MIR1596|MIR1596,0,0,0,1375,589,691
MIR1596,0,0,0,840,788,139
CELF2|CELF2,14,16,151,286,131,127
USP6NL|USP6NL,161,436,603,1497,433,642
ECHDC3|ECHDC3,741,2959,2270,279,194,198
PROSER2|PROSER2,338,1272,1421,0,0,0
ITIH2|ITIH2,13815,33897,48643,64,43,32
KIN|KIN,100,262,318,1792,707,650
ATP5C1|ATP5C1,2086,7696,6850,0,0,0
UPF2|UPF2,517,1243,2085,0,0,0
DHTKD1|DHTKD1,1125,3048,5088,0,0,0
SEC61A2|SEC61A2,243,1123,1233,0,0,0
NUDT5|NUDT5,5553,19082,18931,81,45,47
CDC123|CDC123,466,1365,2005,873,376,361
CCDC3|CCDC3,6,12,51,3209,1902,1603
LOC112532973|LOC112532973,22,87,66,1930,711,809
CAMK1D|CAMK1D,1954,8688,11384,2462,1126,1206
MCM10|MCM10,9,35,27,9821,4476,4831
OPTN|OPTN,565,1797,2453,89734,35221,53081
PHYH|PHYH,1449,4449,3817,551,236,266
SEPHS1|SEPHS1,359,879,1103,8596,2639,3002
BEND7|BEND7,430,1340,1601,24604,13282,16383
PRPF18|PRPF18,206,584,765,1188,434,404
HSPA14|HSPA14,64,416,333,2354,1218,1126
DCLRE1C|DCLRE1C,22,46,70,30,15,20
MEIG1|MEIG1,0,5,0,45,14,11
SUV39H2|SUV39H2,221,613,667,190,90,114
FAM107B|FAM107B,157,180,1023,17552,5809,7113
LOC112532975|LOC112532975,0,0,0,3444,1561,1503
FRMD4A|FRMD4A,43,109,278,9621,3771,4633
MIR1460|MIR1460,0,0,0,1736,704,613
MIR1460,0,0,0,3011,1199,1403
DMTF1|DMTF1,345,931,1292,985,576,619
TMEM243|TMEM243,56,483,330,403,165,180
SEMA3D|SEMA3D,9,31,29,750,460,325
KIAA1324L|KIAA1324L,1659,4301,7914,0,0,0
SEMA3E|SEMA3E,0,0,12,337,149,133
SEMA3A|SEMA3A,12,0,11,0,0,0
PCLO|PCLO,0,5,11,0,0,0
LOC107055432|LOC107055432,0,0,0,1015,446,552
LOC107055502|LOC107055502,3,0,0,113,46,28
LOC112532986|LOC112532986,0,0,0,1417,621,683
LOC107057089|LOC107057089,0,0,14,151,171,139
HGF|HGF,26,70,219,0,0,0
SEMA3C|SEMA3C,20,56,92,67,20,16
CACNA2D1|CACNA2D1,52,62,162,0,0,0
LOC112532984|LOC112532984,0,3,0,6314,2120,3930
GNAT3|GNAT3,0,0,0,21,7,11
GNAI1|GNAI1,79,115,295,0,0,0
CD36|CD36,3538,10399,13753,0,0,0
TMEM60|TMEM60,89,311,339,0,0,0
PHTF2|PHTF2,76,169,477,15,0,8
RSBN1L|RSBN1L,208,600,964,220,90,107
LOC112532992|LOC112532992,0,0,20,6,0,0
LOC107051625|LOC107051625,137,4,210,65,72,39
PTPN12|PTPN12,524,1191,1930,210,136,134
MAGI2|MAGI2,29,42,87,0,0,0
ARMC10|ARMC10,15,25,53,336,287,114
FBXL13|FBXL13,0,0,0,390,262,175
LRRC17|LRRC17,6,18,15,24548,11958,11185
NAPEPLD|NAPEPLD,199,520,1096,356,216,315
GSAP|GSAP,324,837,1083,140,60,69
CCDC146|CCDC146,6,32,33,1276,481,570
LOC107051626|LOC107051626,4,15,4,2222,807,980
FGL2|FGL2,209,120,1143,64,35,44
FAM185A|FAM185A,52,192,249,5,0,0
DNAJC2|DNAJC2,365,1523,1520,21,20,4
PMPCB|PMPCB,440,1478,1698,1163,612,740
PSMC2|PSMC2,1152,4770,4264,1762,691,868
ORC5|ORC5,45,262,341,14,37,14
TRNAG-CCC,0,0,0,11,0,116
RELN|RELN,209,416,1082,7,10,11
SLC26A5|SLC26A5,1441,1899,4810,929,758,623
LOC112533002|LOC112533002,5,0,16,393,156,202
LOC101752215|LOC101752215,93,189,243,1513,746,788
KMT2E|KMT2E,895,1754,2907,2010,908,1011
LOC107051628|LOC107051628,24,131,123,5694,2571,2534
SRPK2|SRPK2,180,405,776,299,118,134
LOC107051629|LOC107051629,0,0,0,0,0,0
LOC107051627|LOC107051627,13,16,36,18,13,3
EFCAB10|EFCAB10,0,5,0,2134,751,719
RINT1|RINT1,127,475,636,9860,5605,5140
PUS7|PUS7,312,794,1114,14,6,14
CCDC71L|CCDC71L,118,498,385,379,131,119
LOC112533020|LOC112533020,0,0,6,3864,1428,2341
ATXN7L1|ATXN7L1,369,962,1495,74,40,52
CDHR3|CDHR3,7,42,61,912,403,452
