gene_id,CN_2w_2,CN_2w_1,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_4
LOC107053405|LOC107053405,41,88,63,2702,1201,1404
BRSK2|BRSK2,33,115,86,10363,1964,4275
LOC107053406|LOC107053406,16,23,35,0,0,0
TOLLIP|TOLLIP,857,2346,3740,669,264,288
LOC107053414|LOC107053414,33,87,277,6285,2131,3142
MUC6|MUC6,0,7,23,0,0,29
LOC107053416|LOC107053416,7,10,36,0,2,6
LOC112532569|LOC112532569,1,0,1,0,0,0
LOC107053408|LOC107053408,0,0,0,0,0,0
LOC395381|LOC395381,18,72,87,0,0,0
MUC2|MUC2,0,0,0,563,402,566
LOC112532571|LOC112532571,0,0,0,10,13,6
LOC112532573|LOC112532573,0,0,0,41,24,12
LOC112532572|LOC112532572,0,0,0,34,24,22
CHID1|CHID1,134,284,400,85,232,6
LOC107053411|LOC107053411,0,0,0,8,21,16
LOC107053409|LOC107053409,0,53,76,16366,4726,4846
AP2A2|AP2A2,815,1790,2758,265,86,75
CRACR2B|CRACR2B,32,22,191,18,12,18
TSPAN4|TSPAN4,355,591,1772,561,325,306
POLR2L|POLR2L,216,1027,793,3741,1986,2480
CD151|CD151,802,2213,3865,2151,943,1036
PNPLA2|PNPLA2,763,2015,3774,40,6,17
LRRC27|LRRC27,138,266,448,0,0,0
LOC425462|LOC425462,17,80,63,0,0,0
RPLP2|RPLP2,3266,17390,11756,55,17,14
LOC112532592|LOC112532592,4,5,7,87,65,54
MIR1663|MIR1663,0,0,0,609,342,281
MIR1663,0,0,0,14,17,0
SLC25A22|SLC25A22,330,1600,1593,0,0,0
LOC112532583|LOC112532583,8,44,49,362,203,132
IRF7|IRF7,164,533,740,183,105,141
PHRF1|PHRF1,470,1111,1836,252,111,106
RASSF7|RASSF7,214,707,666,18,0,14
LOC107053412|LOC107053412,9,7,21,35,8,0
LOC112532486|LOC112532486,11,11,43,2382,538,623
LRRC56|LRRC56,64,173,106,6008,3172,2632
HRAS|HRAS,775,4838,2716,39,19,23
LOC423110|LOC423110,162,322,638,132,99,100
ERR2984226.9512|TRNAA-AGC,3,1,2,455,229,177
LOC101750423|LOC101750423,0,0,4,2376,842,1002
RNH1|RNH1,965,3974,3629,12,0,0
KMT5B|KMT5B,276,616,1146,814,221,272
CHKA|CHKA,1001,3224,3903,22,23,14
C11orf24|C11orf24,527,1195,1234,15,0,7
LOC107053423|LOC107053423,0,0,11,2644,1118,1383
ERR2984226.9524|TRNAA-AGC,1,6,2,0,0,0
LRP5|LRP5,422,899,1454,1383,474,534
PPP6R3|PPP6R3,437,1011,1675,32,5,7
LOC107053422|LOC107053422,17,53,108,1637,677,794
FADS1L2|FADS1L2,0,0,3,360,253,203
FADS1L1|FADS1L1,0,56,42,2175,1171,1399
CPT1A|CPT1A,830,2357,3427,19313,9735,10542
FADS1|FADS1,9234,28643,30296,4364,3131,4687
FADS2|FADS2,36786,96044,97552,0,0,0
LOC112532506|LOC112532506,1,0,2,415,203,217
LOC101751752|LOC101751752,0,0,0,1262,594,992
LOC112532507|LOC112532507,0,0,0,3,3,2
LOC112532508|LOC112532508,0,0,0,6,4,2
DMBT1L2|DMBT1L2,0,6,0,0,0,0
LOC112532509|LOC112532509,0,0,6,0,3,0
LOC107053424|LOC107053424,0,0,0,2,0,0
LOC107053436|LOC107053436,0,0,0,1393,553,688
LOC112532513|LOC112532513,0,0,0,22,4,3
LOC112529937|LOC112529937,0,0,0,178,105,104
LOC768687|LOC768687,0,0,0,306,248,83
LOC101750540|LOC101750540,0,0,0,3,4,5
LOC107053426|LOC107053426,0,1,0,189,124,124
MPEG1|MPEG1,602,823,3390,2807,957,966
DTX4|DTX4,734,3552,2474,87,70,33
CNTF|CNTF,3,31,26,0,0,5
LOC112532487|LOC112532487,9,3,6,0,0,3
ZFP91|ZFP91,648,2273,2335,1624,728,956
CLP1|CLP1,75,311,333,190,137,95
RAB3IL1|RAB3IL1,1057,3912,4700,778,277,247
BEST1|BEST1,15,19,22,42120,16486,15735
FTH1|FTH1,39311,173199,138175,136,44,61
LPXN|LPXN,27,101,164,2606,1255,1300
CTNND1|CTNND1,1612,5276,5085,110,84,88
BTBD18|BTBD18,0,4,5,304,183,85
SELENOH|SELENOH,111,473,210,1693,861,911
TMX2|TMX2,163,931,598,205,98,83
MED19|MED19,114,626,403,669,242,261
ZDHHC5|ZDHHC5,184,449,561,730,440,335
SMTNL1|SMTNL1,2,17,14,1007,344,407
RTN4RL2|RTN4RL2,4,18,33,12645,5426,5749
TIMM10|TIMM10,89,684,245,7,0,0
PGR2/3|PGR2/3,5,5,5,0,0,0
SLC43A3|SLC43A3,209,724,603,10471,7818,7715
APLNR|APLNR,31,49,125,1005,479,570
SSRP1|SSRP1,454,1853,1726,224,94,70
INCENPL|INCENPL,7,4,14,12,47,25
MIR1802|MIR1802,0,0,0,1700,919,863
MIR1802,0,0,0,15,17,18
TNKS1BP1|TNKS1BP1,149,504,510,71,61,19
INCENP|INCENP,31,91,109,3254,1120,966
TPCN2|TPCN2,169,502,520,84,18,29
LOC107053438|LOC107053438,4,0,13,256,61,149
UBE2L6|UBE2L6,49,233,156,53,56,17
YPEL4|YPEL4,4,36,15,0,0,0
SERPING1|SERPING1,9432,33826,28438,0,0,0
LOC101749515|LOC101749515,60,138,113,12399,8200,8229
FGF19|FGF19,74,681,832,4,4,3
FGF3|FGF3,0,6,12,23,3,4
LOC107053430|LOC107053430,43,77,97,1989,827,853
FGF4|FGF4,0,0,0,7,0,0
ORAOV1|ORAOV1,269,1005,933,6989,2090,2231
LOC107053429|LOC107053429,10,0,8,3896,1879,1481
CCND1|CCND1,115,272,498,3,0,3
LOC107053440|LOC107053440,12,0,18,136,68,92
FADD|FADD,436,1189,1705,362,217,200
PPFIA1|PPFIA1,485,1221,2039,1519,629,645
ANO1|ANO1,6270,18452,21652,221,124,159
CTTN|CTTN,988,2868,3606,10,4,5
SHANK2|SHANK2,34,88,248,475,246,202
ACTBL2L|ACTBL2L,6,19,16,3,0,0
LOC415641|LOC415641,864,1537,2394,54,24,30
LOC112532514|LOC112532514,155,214,520,2588,1362,1420
LOC112532515|LOC112532515,44,26,166,5894,2167,2443
FBXO3|FBXO3,718,1706,2113,0,6,0
LMO2|LMO2,317,641,1138,2164,644,1117
ABTB2|ABTB2,92,212,406,9631,5081,3849
NAT10|NAT10,381,1964,1613,24,26,20
CAPRIN1|CAPRIN1,1552,3486,5858,4,4,7
LOC101750856|LOC101750856,1,0,0,346,283,356
EHF|EHF,17,31,41,19567,8594,7598
PDHX|PDHX,1051,2412,2719,169,211,113
APIP|APIP,515,1117,1404,67,17,21
CD44|CD44,208,240,1177,8,12,7
LOC101751606|LOC101751606,3,0,11,0,0,0
FJX1|FJX1,4,11,6,0,0,0
LOC107053458|LOC107053458,0,0,0,0,0,3
PAMR1|PAMR1,19,51,38,449,247,309
SLC1A2|SLC1A2,58,107,160,671,208,183
LOC107053464|LOC107053464,0,0,4,1707,552,640
LOC107053462|LOC107053462,6,0,0,1743,728,786
LOC107053461|LOC107053461,0,0,0,1198,577,620
PRR5L|PRR5L,32,42,189,5471,2809,1933
LDLRAD3|LDLRAD3,124,286,482,75,30,40
COMMD9|COMMD9,379,1040,1071,552,296,286
TRAF6|TRAF6,630,1533,2657,1738,734,806
LOC107056418|LOC107056418,1,0,1,20070,8456,8415
RAG2|RAG2,11,27,12,5600,2198,2117
C5H11orf74|C5H11orf74,71,250,193,1558,453,642
CAT|CAT,39017,98717,121958,10389,3090,10202
API5|API5,742,1878,2925,158,116,133
TTC17|TTC17,541,1197,2549,104,42,188
ALKBH3|ALKBH3,58,186,204,226,113,84
C5H11ORF96|C5H11ORF96,68,521,232,0,0,0
ACCS|ACCS,58,209,250,2195,913,988
ALX4|ALX4,0,0,0,565,167,205
EXT2|EXT2,250,446,947,54,19,12
LOC107053454|LOC107053454,0,0,0,2833,1252,1405
HSD17B12|HSD17B12,6960,21055,21232,2,2,2
CD82|CD82,870,2374,3673,0,2,0
LOC107053451|LOC107053451,0,0,7,92,91,19
TSPAN18|TSPAN18,10,14,71,33,56,28
TP53I11|TP53I11,193,394,680,2686,965,946
PRDM11|PRDM11,312,859,1302,0,0,0
LOC101747869|LOC101747869,134,581,631,33,51,12
LOC107053450|LOC107053450,0,0,0,26,13,12
LOC107053449|LOC107053449,0,0,0,15,6,8
FUT8|FUT8,16,32,74,17,0,27
SLC39A13|SLC39A13,436,1428,1829,1142,416,507
LOC112532479|LOC112532479,4,0,0,2439,1612,772
SPI1|SPI1,340,412,1937,16,15,10
KBTBD4|KBTBD4,162,554,763,1081,727,604
CELF1|CELF1,476,1203,1571,15,18,7
RAPSN|RAPSN,6,69,189,148,67,96
PSMC3|PSMC3,1424,5504,4958,2848,963,872
FAM180B|FAM180B,12,7,9,45104,24630,23290
NDUFS3|NDUFS3,570,2640,2007,1012,623,411
PTPMT1|PTPMT1,39,259,189,0,0,4
MIR1725|MIR1725,1,1,4,5,0,7
ERR2984226.9703|MIR1725,1,1,1,272,117,132
MADD|MADD,238,520,1192,15257,5123,5647
MIR6603|MIR6603,0,0,0,1370,432,493
MIR6603,0,0,0,1658,799,688
LRP4|LRP4,677,1874,2789,123,45,97
NR1H3|NR1H3,1938,6170,8789,43,32,67
DDB2|DDB2,152,568,720,23,10,22
C5H11orf49|C5H11orf49,30,45,84,5321,1782,1847
ACP2|ACP2,1015,3169,3603,366,38,104
PACSIN3|PACSIN3,78,373,385,21,406,8
ARFGAP2|ARFGAP2,428,1409,1395,1,1,0
ZNF408|ZNF408,110,547,511,0,0,0
ARHGAP1|ARHGAP1,415,1458,2082,107,774,177
MDK|MDK,17,59,48,12,21,9
ATG13|ATG13,1596,3589,5998,697,260,254
HARBI1|HARBI1,42,291,262,0,0,0
AMBRA1|AMBRA1,354,1020,1498,72,97,25
CHRM4|CHRM4,6,62,30,4385,1740,1691
LOC100859648|LOC100859648,16,19,15,2157,816,852
CREB3L1|CREB3L1,19,57,54,802,541,308
DGKZ|DGKZ,853,3000,3774,112,161,38
MIR6706,0,0,0,5245,2577,2225
MIR6706|MIR6706,1,1,1,4735,2994,2141
CKAP5|CKAP5,248,660,1321,12676,7445,5574
LOC112532595|LOC112532595,0,0,0,10,3,3
F2|F2,26403,80818,95779,508,261,365
PHF21A|PHF21A,704,2229,2961,0,0,0
LOC107053471|LOC107053471,0,0,0,0,0,0
MAPK8IP1|MAPK8IP1,64,385,216,123,28,48
LARGE2|LARGE2,977,4129,2846,2954,1326,1021
PEX16|PEX16,563,2852,2161,84,4,25
CRY2|CRY2,1711,5694,6088,610,412,298
SLC35C1|SLC35C1,351,1114,1025,2361,956,1162
LOC776275|LOC776275,71,101,184,1050,497,437
UVS.2L|UVS.2L,0,0,0,13,16,0
PPP1R14D|PPP1R14D,6,26,29,61,10,4
ZFYVE19|ZFYVE19,257,805,792,80,91,145
VPS18|VPS18,83,181,410,3568,2327,1713
SPINT1|SPINT1,443,1266,1771,390,266,237
LOC112532537|LOC112532537,0,0,7,3,1,1
LOC107053444|LOC107053444,6,16,11,0,7,8
DLL4|DLL4,179,378,552,4258,2258,3585
LOC112532473|LOC112532473,0,0,0,1412,761,802
CHAC1|CHAC1,59,65,90,2988,4128,6697
MIR6544|MIR6544,1,1,1,3302,1318,1276
LOC112532474|LOC112532474,0,15,14,3395,1156,1139
INO80|INO80,372,1009,1705,4,0,0
ERR2984226.9788|MIR6544,0,0,0,0,0,0
CHP1|CHP1,1250,4330,4535,2331,1025,1180
OIP5|OIP5,9,28,69,99,48,69
NUSAP1|NUSAP1,21,18,75,30,0,0
OIP5-AS1|OIP5-AS1,1906,5179,7109,8040,3436,5062
LOC101747844|LOC101747844,5,43,15,46365,18814,21277
NDUFAF1|NDUFAF1,726,2411,2768,165905,57054,62828
RTF1|RTF1,456,1372,1969,6,5,0
ITPKA_1|ITPKA,185,233,783,0,3,0
LTK|LTK,27,21,40,5,0,0
RPAP1|RPAP1,214,445,856,0,0,0
LOC771422|LOC771422,0,0,5,0,4,3
TYRO3|TYRO3,1112,4243,4741,0,0,0
MGA|MGA,552,1595,2714,13,0,2
MIR6685|MIR6685,0,0,0,0,0,0
MIR6685,0,0,0,0,0,0
LOC112532493|LOC112532493,0,0,0,1,0,0
EHD4|EHD4,48,109,373,0,0,0
PLA2G4EL1|PLA2G4EL1,0,0,0,0,0,0
MAPKBP1|MAPKBP1,99,267,561,1,0,0
PLA2G4B|PLA2G4B,62,173,194,0,0,0
JMJD7|JMJD7,268,696,779,0,0,0
ACOT1L|ACOT1L,617,1874,1937,5,0,0
PLA2G4F|PLA2G4F,6,35,35,4223,1644,1412
VPS39|VPS39,314,650,1062,4234,1715,1492
CAPN3|CAPN3,16,17,11,98,108,31
ZNF106|ZNF106,314,705,980,76,26,30
TMEM87A|TMEM87A,829,2523,3478,6,10,6
GANC|GANC,825,2781,3651,3521,1204,1596
SNAP23|SNAP23,844,2157,3070,5027,2148,2002
LRRC57|LRRC57,78,309,458,36,31,11
HAUS2|HAUS2,95,296,353,162807,99147,69545
TTBK2|TTBK2,60,80,143,331,177,131
STARD9|STARD9,43,183,258,8791,2983,2783
CDAN1|CDAN1,431,638,923,0,6,0
LOC423240|LOC423240,32,132,111,845,536,429
TMEM62|TMEM62,182,469,756,317,346,105
ROM1|ROM1,37,81,94,599,268,194
UBR1|UBR1,514,1163,2393,890,304,293
PTGR2|PTGR2,365,1463,1713,9,0,0
ACOT4|ACOT4,283,819,888,318,211,112
C5H14ORF169|C5H14ORF169,70,349,300,16,31,3
MIR6587|MIR6587,2,2,2,4,0,9
ERR2984226.9850|MIR6587,1,1,1,724,416,250
ELMSAN1|ELMSAN1,182,525,943,2310,938,884
DNAL1|DNAL1,22,64,106,232,85,63
LOC112532548|LOC112532548,0,0,0,765,200,154
LOC112532547|LOC112532547,19,88,85,9,5,3
ACOT2L|ACOT2L,213,515,630,0,0,0
NUMB|NUMB,808,2259,2447,0,0,0
PAPLN|PAPLN,663,1338,1835,202,76,92
LOC107053443|LOC107053443,58,76,185,1069,367,433
PSEN1|PSEN1,1019,2210,3577,8,0,0
RBM25|RBM25,493,1570,2242,159,74,47
DCAF4|DCAF4,105,583,674,2,0,0
ZFYVE1|ZFYVE1,243,748,1072,0,0,0
DPF3|DPF3,112,255,464,72318,20788,12763
LOC112532470|LOC112532470,0,0,5,198,138,99
SIPA1L1|SIPA1L1,77,165,351,32,9,4
RGS6|RGS6,14,22,51,1077,609,593
MAP3K9|MAP3K9,70,167,133,12,18,11
TTC9|TTC9,14,68,75,526,228,146
LOC100857840|LOC100857840,5,18,11,1317,361,316
MED6|MED6,405,1721,1447,207,67,87
LOC112532556|LOC112532556,0,0,0,3,2,0
PCNX1|PCNX1,715,1470,3271,9,0,0
SYNJ2BP|SYNJ2BP,254,917,947,4,6,0
COX16|COX16,58,225,133,2428,1190,1479
SLC8A3|SLC8A3,47,90,83,35764,9929,13238
SMOC1|SMOC1,52,49,66,2969,1433,1401
MIR1710|MIR1710,4,0,0,5282,1801,2338
ERR2984226.9902|MIR1710,1,0,0,125,77,59
SRSF5|SRSF5,1222,4024,5177,57,20,20
SUSD6|SUSD6,693,1819,2958,3188,1787,1638
PLEKHD1|PLEKHD1,80,269,497,812,320,521
CCDC177|CCDC177,4,7,8,239,102,135
SLC39A9|SLC39A9,1317,4315,5301,2920,1405,1383
ERH|ERH,686,2473,2431,1644,826,680
GALNT16|GALNT16,94,265,414,449,125,141
EXD2|EXD2,196,697,748,9595,3681,3609
DCAF5|DCAF5,248,638,764,7,0,0
ACTN1|ACTN1,373,1243,1522,1335,599,454
LOC112532527|LOC112532527,7,29,52,0,0,4
LOC107053484|LOC107053484,25,63,38,51,59,56
SRSF5A|SRSF5A,1809,5079,7217,5504,2177,3842
ZFP36L1|ZFP36L1,1588,4527,4324,2512,1111,2343
LOC101749472|LOC101749472,0,11,16,167,73,33
PLEKHH1|PLEKHH1,19,16,104,4,0,0
LOC112532518|LOC112532518,0,0,0,0,0,0
LOC107053490|LOC107053490,0,4,4,0,0,0
TMEM229B|TMEM229B,589,1941,2675,0,0,0
PIGH|PIGH,194,662,753,89,41,18
RAD51B|RAD51B,235,742,783,688,551,591
LOC112532528|LOC112532528,0,0,0,10,3,5
LOC112532529|LOC112532529,0,0,0,14,9,0
LOC101749146|LOC101749146,16,64,63,584,218,116
LOC107053486|LOC107053486,11,0,5,1362,738,710
ARG2|ARG2,0,29,25,102,53,43
VTI1B|VTI1B,149,568,644,3805,1210,1763
LOC423277|LOC423277,16,70,37,0,0,1
ZFYVE26|ZFYVE26,477,1073,1586,30,16,29
RDH12|RDH12,475,1164,1044,288,173,150
MPP5|MPP5,153,534,743,0,0,0
EIF2S1|EIF2S1,639,2640,2783,0,0,0
ATP6V1D|ATP6V1D,675,2530,2692,203977,89294,96386
BMF|BMF,86,91,476,28,7,6
GPHN|GPHN,805,1909,2435,3778,1941,1684
LOC107053491|LOC107053491,9,0,0,3936,1539,1604
GPR176|GPR176,5,27,63,296,155,122
THBS1|THBS1,63,225,251,250,559,141
EIF2AK4|EIF2AK4,521,1545,2865,294,307,147
SRP14|SRP14,308,2110,1802,32355,12192,10212
LOC107053492|LOC107053492,15,73,129,0,0,0
KATNBL1|KATNBL1,83,351,402,1690,736,725
LOC107053493|LOC107053493,0,0,0,5002,2546,2841
LOC107053494|LOC107053494,4,0,0,107,59,63
LOC112532477|LOC112532477,52,105,175,966,457,490
LOC107053496|LOC107053496,0,0,7,0,0,0
EMC7|EMC7,596,1789,2003,0,0,0
CHRM5|CHRM5,6,32,20,0,0,0
AVEN|AVEN,74,261,285,1837,460,949
MIR6683|MIR6683,1,1,1,730,260,440
ERR2984226.9991|MIR6683,1,1,1,22,4,4
LOC107053497|LOC107053497,0,0,0,0,0,0
GREM1|GREM1,0,7,7,0,0,0
LOC112532584|LOC112532584,0,0,0,90,63,47
SCG5|SCG5,46,22,174,2027,867,1045
FMN1|FMN1,0,8,27,175,0,0
RYR3|RYR3,0,9,33,6245,2979,2570
LOC112532478|LOC112532478,23,37,66,2621,1250,1220
RASGRP1|RASGRP1,48,47,342,986,414,353
ARHGAP11A|ARHGAP11A,547,1575,2356,193,163,91
LOC107053598|LOC107053598,0,0,0,3,1,1
FAM98B|FAM98B,240,762,899,1,1,1
SPRED1|SPRED1,287,578,1194,3038,1076,1101
LOC112532485|LOC112532485,57,105,105,0,0,0
LOC107053499|LOC107053499,24,35,59,1642,1190,1033
MEIS2|MEIS2,67,97,215,1245,531,661
LOC112532577|LOC112532577,0,0,7,0,0,0
LOC107053500|LOC107053500,25,19,50,0,0,0
C5H15orf41|C5H15orf41,219,451,612,989,465,365
MIR1718|MIR1718,0,0,0,139,77,79
MIR1718,0,0,0,12236,4833,4914
LOC112532576|LOC112532576,0,2,0,5719,2154,2175
ACTC1|ACTC1,0,0,0,608,296,272
DPH6|DPH6,105,257,376,2193,977,969
LOC112532588|LOC112532588,0,0,0,4490,1352,1640
LOC107053502|LOC107053502,10,13,19,634,258,189
AQR|AQR,432,1161,2005,2717,919,995
LOC112532482|LOC112532482,0,0,0,9387,3764,4139
STXBP6|STXBP6,367,823,952,269,92,65
LOC112532568|LOC112532568,0,0,5,47,59,13
NOVA1|NOVA1,30,48,132,1969,671,725
MIR3532|MIR3532,0,0,0,82,19,18
MIR3532,0,0,0,117,101,14
FOXG1|FOXG1,0,14,31,53,17,18
PRKD1|PRKD1,60,136,288,4731,1511,1144
LOC101747910|LOC101747910,0,8,6,0,0,0
G2E3|G2E3,156,284,642,1,1,1
LOC107053509|LOC107053509,19,64,51,4246,1785,1694
SCFD1|SCFD1,493,1245,1637,0,0,0
LOC112532476|LOC112532476,38,88,109,1587,476,711
COCH|COCH,3144,8715,11189,0,0,0
LOC101748151|LOC101748151,90,210,393,142319,71727,74345
STRN3|STRN3,608,1302,2115,282,80,88
AP4S1|AP4S1,60,96,136,7268,2976,2945
LOC101748199|LOC101748199,9,33,20,2873,1404,1295
DTD2|DTD2,95,415,166,11481,3847,2712
NUBPL|NUBPL,156,413,405,1756,916,828
HECTD1|HECTD1,1130,2279,4229,49,34,7
LOC107053511|LOC107053511,51,126,65,352,187,169
HEATR5A|HEATR5A,165,397,746,0,0,0
ARHGAP5|ARHGAP5,308,689,1330,1094,531,436
AKAP6|AKAP6,21,19,130,9,20,0
NPAS3|NPAS3,5,7,31,533,274,259
LOC112532533|LOC112532533,15,22,55,2657,1359,1606
LOC107053512|LOC107053512,0,0,0,14,8,9
EGLN3|EGLN3,1983,4773,7734,1145,503,632
SPTSSA|SPTSSA,440,1626,1201,0,0,0
EAPP|EAPP,121,472,588,152,63,169
SNX6|SNX6,354,1328,1561,1,1,1
CFL2|CFL2,569,2260,2202,2386,770,905
BAZ1A|BAZ1A,542,1265,2358,0,0,0
LOC112532557|LOC112532557,0,0,0,20,24,44
LOC100859161|LOC100859161,16,52,57,6828,3260,3011
SRP54|SRP54,640,2172,3389,64,37,68
PPP2R3C|PPP2R3C,158,479,759,100,51,35
FAM177A1|FAM177A1,390,735,1208,9715,3550,4572
LOC107053514|LOC107053514,3,14,28,3563,1448,1548
MRPP3|MRPP3,221,579,932,2408,1136,1289
NFKBIA|NFKBIA,156,580,1029,18,7,40
LOC112532558|LOC112532558,17,28,16,1353,547,1049
PSMA6|PSMA6,835,3593,2977,88,32,65
BRMS1L|BRMS1L,193,708,893,1040,355,427
MBIP|MBIP,95,221,289,2,0,9
NKX2-1|NKX2-1,0,0,0,6919,2900,3153
LOC112532497|LOC112532497,0,0,0,3427,1020,1563
INSM2|INSM2,0,0,0,0,0,0
RALGAPA1|RALGAPA1,270,559,1004,0,0,0
SLC25A21|SLC25A21,146,299,307,523,137,236
MIPOL1|MIPOL1,119,313,474,0,0,0
FOXA1|FOXA1,549,1407,1501,266,194,161
TTC6|TTC6,0,16,17,588,143,278
LOC101752122|LOC101752122,6,62,254,1150,650,720
LOC112532542|LOC112532542,19,172,133,2793,1625,2117
SSTR1|SSTR1,307,1646,3559,5,0,0
GEMIN2|GEMIN2,141,587,549,0,0,13
TRAPPC6B|TRAPPC6B,65,290,292,1581,569,767
SEC23A|SEC23A,1830,5651,7516,8,0,0
FBXO33|FBXO33,294,584,1008,54,19,16
ZNF410|ZNF410,138,540,704,1429,632,819
FAM161B|FAM161B,32,66,106,4398,1830,1829
MIA2|MIA2,1995,3512,7562,5289,1710,1824
PNN|PNN,751,2156,3806,5631,2174,2375
LOC107053516|LOC107053516,10,22,9,584,234,255
COQ6|COQ6,90,470,320,566,359,335
ENTPD5|ENTPD5,1047,2974,3937,278,105,187
LIN52|LIN52,419,1488,2002,158,72,136
BBOF1|BBOF1,111,226,629,1792,622,788
ALDH6A1|ALDH6A1,4542,11573,18158,124,63,48
VRTN|VRTN,4,7,4,115,86,71
SYNDIG1L|SYNDIG1L,8,26,14,3391,1453,1726
ACSS1L|ACSS1L,143,302,883,1119,490,521
ABCD4|ABCD4,749,2398,2658,1616,676,1312
MIR6598|MIR6598,0,0,0,2103,695,637
MIR6598,0,0,0,269,172,89
LTBP2|LTBP2,0,18,16,2,2,2
ISCA2|ISCA2,146,414,491,1,1,1
NPC2|NPC2,1360,10040,5797,1217,421,567
AREL1|AREL1,437,1220,1828,156,102,80
FCF1|FCF1,311,1559,1283,6,0,0
YLPM1|YLPM1,288,688,1297,79,45,50
PGF|PGF,0,25,23,1321,444,316
EIF2B2|EIF2B2,169,682,691,5161,1441,1984
RPS6KL1|RPS6KL1,28,407,201,5731,1575,2773
DLST|DLST,1015,3976,3808,369,116,226
MLH3|MLH3,260,680,925,6446,3535,4472
ACYP1|ACYP1,56,208,124,734,380,391
BATF|BATF,12,48,70,2745,897,1453
FOS|FOS,48,328,194,1829,699,1021
LOC112532480|LOC112532480,9,0,5,531,189,159
JDP2|JDP2,73,124,147,67,40,18
FLVCR2|FLVCR2,11,44,113,8,0,3
ZC2HC1C|ZC2HC1C,594,3218,2219,462,113,204
NEK9|NEK9,740,2680,3168,327,103,183
TMED10|TMED10,2764,10060,11591,47,19,19
LOC107053517|LOC107053517,5,10,8,6,0,0
TGFB3|TGFB3,82,501,506,4958,1837,2261
IFT43|IFT43,11,46,51,15,18,6
LOC112532503|LOC112532503,0,4,7,2090,989,1059
TTLL5|TTLL5,323,1143,1706,1393,694,641
C5H14orf1|C5H14orf1,1808,11340,6003,126,36,72
GPATCH2L|GPATCH2L,80,69,345,162,34,78
LOC112532504|LOC112532504,151,428,616,122,125,66
LOC107053520|LOC107053520,10,15,20,5585,2016,2066
C5H14orf4|C5H14orf4,190,642,632,4414,1555,2001
LOC112532559|LOC112532559,16,61,33,515,104,140
CIPC|CIPC,216,491,756,408,83,193
MIR6645|MIR6645,0,1,1,9,3,6
MIR6645,0,0,0,6353,2717,2860
NGB|NGB,0,8,0,2789,1395,1374
TMEM63C|TMEM63C,44,241,206,1192,496,556
ESRRB|ESRRB,0,3,12,1401,553,540
LOC107053519|LOC107053519,64,251,172,1943,635,554
ANGEL1|ANGEL1,1156,4172,4829,30,17,16
LRRC74A|LRRC74A,0,0,0,69,51,27
VASH1|VASH1,481,1327,2569,10436,4615,5197
SAMD15|SAMD15,7,8,0,8032,3222,1693
NOXRED1|NOXRED1,9,21,37,1067,565,516
LOC772017|LOC772017,0,27,26,0,0,0
TMED8|TMED8,465,1179,1963,148,45,82
POMT2|POMT2,314,848,1045,7,5,7
GSTZ1|GSTZ1,2635,10326,8275,9,0,6
ISM2|ISM2,56,231,198,27,15,0
VIPAS39|VIPAS39,378,1513,1694,138,57,25
LOC107053522|LOC107053522,16,30,31,0,0,0
AHSA1|AHSA1,728,3134,2716,0,0,0
LOC107053523|LOC107053523,8,11,31,3919,1315,1111
ALKBH1|ALKBH1,130,510,619,1159,477,667
ADCK1|ADCK1,80,304,335,33,12,9
SPTLC2|SPTLC2,115,331,540,731,496,308
SLIRP|SLIRP,259,1837,737,6,49,0
SNW1|SNW1,388,1150,1524,2342,771,1114
DIO2|DIO2,3933,1521,3555,64,49,46
CEP128|CEP128,0,47,66,1572,840,590
TRNAG-CCC_1,0,0,0,937,416,484
TSHR|TSHR,0,0,0,2927,1135,1135
LOC112532501|LOC112532501,0,0,0,3306,1517,1562
GTF2A1|GTF2A1,701,1680,2976,883,646,1266
STON2|STON2,857,2279,3402,4349,1465,2017
LOC101748507|LOC101748507,0,0,0,0,0,3
SEL1L|SEL1L,1456,4278,7534,40,9,5
LOC101748673|LOC101748673,0,0,0,403,241,191
FLRT2|FLRT2,28,44,168,3496,1413,1609
GALC|GALC,14,34,81,1357,623,580
GPR65|GPR65,86,72,434,165,68,57
LOC107053528|LOC107053528,0,0,14,523,254,205
SPATA7|SPATA7,31,151,146,219,62,54
PTPN21|PTPN21,487,1217,1622,0,0,0
ZC3H14|ZC3H14,360,1208,1243,2587,1280,1220
EML5|EML5,6,19,11,36,5,2
LOC112532549|LOC112532549,0,0,0,495,278,180
TTC8|TTC8,120,149,232,1,1,1
KCNK13|KCNK13,8,5,41,1,1,1
EFCAB11|EFCAB11,0,0,14,11,5,0
LOC107053529|LOC107053529,0,0,0,18,11,6
TDP1|TDP1,31,111,129,59,33,58
FOXN3|FOXN3,639,1177,2031,62,42,41
LOC112532560|LOC112532560,0,29,1,2,0,0
LOC112532561|LOC112532561,0,0,0,219,17,9
LOC112532562|LOC112532562,0,22,39,186,185,156
LOC112532490|LOC112532490,0,0,0,3222,969,1183
PSMC1|PSMC1,1102,4503,4645,1062,432,487
NRDE2|NRDE2,137,336,449,1517,645,682
TTC7B|TTC7B,47,119,207,184,115,68
CALM1|CALM1,2736,7422,10043,73,41,41
RPS6KA5|RPS6KA5,149,229,592,349,128,135
GPR68|GPR68,0,24,22,11,0,6
